gov_id,official_release_date,week_range,round_idx,rounds_cumsum,current_week_real_idx,current_week_active_idx,gap_real_week_2to1,gap_real_week_1tocurrent,boxoffice_week_2,boxoffice_week_1,audience_week_2,audience_week_1,screens_week_2,screens_week_1,open_week1_days,open_week1_boxoffice,open_week1_boxoffice_daily_avg,open_week2_boxoffice,amount,tickets,theater_count,boxoffice_cumsum,boxoffice_round1_cumsum,boxoffice_current_round_cumsum,audience_cumsum,audience_round1_cumsum,audience_current_round_cumsum,release_year,release_month,ticket_price_avg_current,region,publisher,film_length,is_restricted
13460,2019-07-12,2019-07-08~2019-07-14,1,1,1,1.0,0,0,,,,,,,3,890052.0,296684.0,959929.0,890052.0,3980.0,19,0.0,0.0,0.0,0,0,0,2019,7,224,美國,車庫娛樂股份有限公司,146.0,1.0
13460,2019-07-12,2019-07-15~2019-07-21,1,1,2,2.0,0,0,,890052.0,,3980.0,,19.0,3,890052.0,296684.0,959929.0,959929.0,4255.0,19,890052.0,890052.0,890052.0,3980,3980,3980,2019,7,224,美國,車庫娛樂股份有限公司,146.0,1.0
13460,2019-07-12,2019-07-22~2019-07-28,1,1,3,3.0,0,0,890052.0,959929.0,3980.0,4255.0,19.0,19.0,3,890052.0,296684.0,959929.0,360104.0,1621.0,13,1849981.0,1849981.0,1849981.0,8235,8235,8235,2019,7,224,美國,車庫娛樂股份有限公司,146.0,1.0
13460,2019-07-12,2019-07-29~2019-08-04,1,1,4,4.0,0,0,959929.0,360104.0,4255.0,1621.0,19.0,13.0,3,890052.0,296684.0,959929.0,167345.0,751.0,8,2210085.0,2210085.0,2210085.0,9856,9856,9856,2019,7,224,美國,車庫娛樂股份有限公司,146.0,1.0
13460,2019-07-12,2019-08-05~2019-08-11,1,1,5,5.0,0,0,360104.0,167345.0,1621.0,751.0,13.0,8.0,3,890052.0,296684.0,959929.0,63720.0,288.0,2,2377430.0,2377430.0,2377430.0,10607,10607,10607,2019,7,224,美國,車庫娛樂股份有限公司,146.0,1.0
13460,2019-07-12,2019-08-12~2019-08-18,1,1,6,6.0,0,0,167345.0,63720.0,751.0,288.0,8.0,2.0,3,890052.0,296684.0,959929.0,11960.0,53.0,2,2441150.0,2441150.0,2441150.0,10895,10895,10895,2019,7,224,美國,車庫娛樂股份有限公司,146.0,1.0
13460,2019-07-12,2025-09-15~2025-09-21,2,2,1,1.0,0,0,,,,,,,3,890052.0,296684.0,959929.0,537603.0,1983.0,38,2453110.0,2453110.0,0.0,10948,10948,0,2019,7,252,美國,車庫娛樂股份有限公司,146.0,1.0
13460,2019-07-12,2025-09-22~2025-09-28,2,2,2,2.0,0,0,,537603.0,,1983.0,,38.0,3,890052.0,296684.0,959929.0,492329.0,1859.0,38,2990713.0,2453110.0,537603.0,12931,10948,1983,2019,7,252,美國,車庫娛樂股份有限公司,146.0,1.0
13460,2019-07-12,2025-09-29~2025-10-05,2,2,3,3.0,0,0,537603.0,492329.0,1983.0,1859.0,38.0,38.0,3,890052.0,296684.0,959929.0,169103.0,634.0,22,3483042.0,2453110.0,1029932.0,14790,10948,3842,2019,7,252,美國,車庫娛樂股份有限公司,146.0,1.0
13460,2019-07-12,2025-10-06~2025-10-12,2,2,4,4.0,0,0,492329.0,169103.0,1859.0,634.0,38.0,22.0,3,890052.0,296684.0,959929.0,24067.0,95.0,6,3652145.0,2453110.0,1199035.0,15424,10948,4476,2019,7,252,美國,車庫娛樂股份有限公司,146.0,1.0
13460,2019-07-12,2025-10-13~2025-10-19,2,2,5,5.0,0,0,169103.0,24067.0,634.0,95.0,22.0,6.0,3,890052.0,296684.0,959929.0,1660.0,6.0,1,3676212.0,2453110.0,1223102.0,15519,10948,4571,2019,7,252,美國,車庫娛樂股份有限公司,146.0,1.0
15103,2019-12-20,2019-12-16~2019-12-22,1,1,1,1.0,0,0,,,,,,,3,363289.0,121096.33333333331,722436.0,363289.0,1639.0,13,0.0,0.0,0.0,0,0,0,2019,12,224,法國,東昊影業有限公司,121.0,0.0
15103,2019-12-20,2019-12-23~2019-12-29,1,1,2,2.0,0,0,,363289.0,,1639.0,,13.0,3,363289.0,121096.33333333331,722436.0,722436.0,3276.0,13,363289.0,363289.0,363289.0,1639,1639,1639,2019,12,224,法國,東昊影業有限公司,121.0,0.0
15103,2019-12-20,2019-12-30~2020-01-05,1,1,3,3.0,0,0,363289.0,722436.0,1639.0,3276.0,13.0,13.0,3,363289.0,121096.33333333331,722436.0,763124.0,3460.0,10,1085725.0,1085725.0,1085725.0,4915,4915,4915,2019,12,224,法國,東昊影業有限公司,121.0,0.0
15103,2019-12-20,2020-01-06~2020-01-12,1,1,4,4.0,0,0,722436.0,763124.0,3276.0,3460.0,13.0,10.0,3,363289.0,121096.33333333331,722436.0,463425.0,2109.0,10,1848849.0,1848849.0,1848849.0,8375,8375,8375,2019,12,225,法國,東昊影業有限公司,121.0,0.0
15103,2019-12-20,2020-01-13~2020-01-19,1,1,5,5.0,0,0,763124.0,463425.0,3460.0,2109.0,10.0,10.0,3,363289.0,121096.33333333331,722436.0,397452.0,1791.0,10,2312274.0,2312274.0,2312274.0,10484,10484,10484,2019,12,225,法國,東昊影業有限公司,121.0,0.0
15103,2019-12-20,2020-01-20~2020-01-26,1,1,6,6.0,0,0,463425.0,397452.0,2109.0,1791.0,10.0,10.0,3,363289.0,121096.33333333331,722436.0,198417.0,893.0,9,2709726.0,2709726.0,2709726.0,12275,12275,12275,2019,12,225,法國,東昊影業有限公司,121.0,0.0
15103,2019-12-20,2020-01-27~2020-02-02,1,1,7,7.0,0,0,397452.0,198417.0,1791.0,893.0,10.0,9.0,3,363289.0,121096.33333333331,722436.0,131840.0,604.0,7,2908143.0,2908143.0,2908143.0,13168,13168,13168,2019,12,225,法國,東昊影業有限公司,121.0,0.0
15103,2019-12-20,2020-02-03~2020-02-09,1,1,8,8.0,0,0,198417.0,131840.0,893.0,604.0,9.0,7.0,3,363289.0,121096.33333333331,722436.0,94940.0,432.0,6,3039983.0,3039983.0,3039983.0,13772,13772,13772,2019,12,225,法國,東昊影業有限公司,121.0,0.0
15103,2019-12-20,2020-02-10~2020-02-16,1,1,9,9.0,0,0,131840.0,94940.0,604.0,432.0,7.0,6.0,3,363289.0,121096.33333333331,722436.0,83720.0,371.0,5,3134923.0,3134923.0,3134923.0,14204,14204,14204,2019,12,225,法國,東昊影業有限公司,121.0,0.0
15103,2019-12-20,2020-02-17~2020-02-23,1,1,10,10.0,0,0,94940.0,83720.0,432.0,371.0,6.0,5.0,3,363289.0,121096.33333333331,722436.0,41285.0,183.0,3,3218643.0,3218643.0,3218643.0,14575,14575,14575,2019,12,225,法國,東昊影業有限公司,121.0,0.0
15103,2019-12-20,2020-02-24~2020-03-01,1,1,11,11.0,0,0,83720.0,41285.0,371.0,183.0,5.0,3.0,3,363289.0,121096.33333333331,722436.0,35220.0,159.0,2,3259928.0,3259928.0,3259928.0,14758,14758,14758,2019,12,225,法國,東昊影業有限公司,121.0,0.0
