gov_id,official_release_date,week_range,round_idx,rounds_cumsum,current_week_real_idx,current_week_active_idx,gap_real_week_2to1,gap_real_week_1tocurrent,boxoffice_week_2,boxoffice_week_1,audience_week_2,audience_week_1,screens_week_2,screens_week_1,open_week1_days,open_week1_boxoffice,open_week1_boxoffice_daily_avg,open_week2_boxoffice,amount,tickets,theater_count,boxoffice_cumsum,boxoffice_round1_cumsum,boxoffice_current_round_cumsum,audience_cumsum,audience_round1_cumsum,audience_current_round_cumsum
13460,2019-07-12,2019-07-08~2019-07-14,1,1,1,1.0,0,0,,,,,,,3,890052.0,296684.0,959929.0,890052.0,3980.0,19,0.0,0.0,0.0,0,0,0
13460,2019-07-12,2019-07-15~2019-07-21,1,1,2,2.0,0,0,,890052.0,,3980.0,,19.0,3,890052.0,296684.0,959929.0,959929.0,4255.0,19,890052.0,890052.0,890052.0,3980,3980,3980
13460,2019-07-12,2019-07-22~2019-07-28,1,1,3,3.0,0,0,890052.0,959929.0,3980.0,4255.0,19.0,19.0,3,890052.0,296684.0,959929.0,360104.0,1621.0,13,1849981.0,1849981.0,1849981.0,8235,8235,8235
13460,2019-07-12,2019-07-29~2019-08-04,1,1,4,4.0,0,0,959929.0,360104.0,4255.0,1621.0,19.0,13.0,3,890052.0,296684.0,959929.0,167345.0,751.0,8,2210085.0,2210085.0,2210085.0,9856,9856,9856
13460,2019-07-12,2019-08-05~2019-08-11,1,1,5,5.0,0,0,360104.0,167345.0,1621.0,751.0,13.0,8.0,3,890052.0,296684.0,959929.0,63720.0,288.0,2,2377430.0,2377430.0,2377430.0,10607,10607,10607
13460,2019-07-12,2019-08-12~2019-08-18,1,1,6,6.0,0,0,167345.0,63720.0,751.0,288.0,8.0,2.0,3,890052.0,296684.0,959929.0,11960.0,53.0,2,2441150.0,2441150.0,2441150.0,10895,10895,10895
13460,2019-07-12,2025-09-15~2025-09-21,2,2,1,1.0,0,0,,,,,,,3,890052.0,296684.0,959929.0,537603.0,1983.0,38,2453110.0,2453110.0,0.0,10948,10948,0
13460,2019-07-12,2025-09-22~2025-09-28,2,2,2,2.0,0,0,,537603.0,,1983.0,,38.0,3,890052.0,296684.0,959929.0,492329.0,1859.0,38,2990713.0,2453110.0,537603.0,12931,10948,1983
13460,2019-07-12,2025-09-29~2025-10-05,2,2,3,3.0,0,0,537603.0,492329.0,1983.0,1859.0,38.0,38.0,3,890052.0,296684.0,959929.0,169103.0,634.0,22,3483042.0,2453110.0,1029932.0,14790,10948,3842
13460,2019-07-12,2025-10-06~2025-10-12,2,2,4,4.0,0,0,492329.0,169103.0,1859.0,634.0,38.0,22.0,3,890052.0,296684.0,959929.0,24067.0,95.0,6,3652145.0,2453110.0,1199035.0,15424,10948,4476
13460,2019-07-12,2025-10-13~2025-10-19,2,2,5,5.0,0,0,169103.0,24067.0,634.0,95.0,22.0,6.0,3,890052.0,296684.0,959929.0,1660.0,6.0,1,3676212.0,2453110.0,1223102.0,15519,10948,4571
17126,2020-10-15,2020-10-12~2020-10-18,1,1,1,1.0,0,0,,,,,,,4,280921.0,70230.25,273917.0,280921.0,1236.0,15,0.0,0.0,0.0,0,0,0
17126,2020-10-15,2020-10-19~2020-10-25,1,1,2,2.0,0,0,,280921.0,,1236.0,,15.0,4,280921.0,70230.25,273917.0,273917.0,1205.0,15,280921.0,280921.0,280921.0,1236,1236,1236
17126,2020-10-15,2020-10-26~2020-11-01,1,1,3,3.0,0,0,280921.0,273917.0,1236.0,1205.0,15.0,15.0,4,280921.0,70230.25,273917.0,130775.0,560.0,14,554838.0,554838.0,554838.0,2441,2441,2441
17126,2020-10-15,2020-11-02~2020-11-08,1,1,4,4.0,0,0,273917.0,130775.0,1205.0,560.0,15.0,14.0,4,280921.0,70230.25,273917.0,68680.0,286.0,6,685613.0,685613.0,685613.0,3001,3001,3001
17126,2020-10-15,2020-11-09~2020-11-15,1,1,5,5.0,0,0,130775.0,68680.0,560.0,286.0,14.0,6.0,4,280921.0,70230.25,273917.0,57405.0,246.0,5,754293.0,754293.0,754293.0,3287,3287,3287
17126,2020-10-15,2020-11-16~2020-11-22,1,1,6,6.0,0,0,68680.0,57405.0,286.0,246.0,6.0,5.0,4,280921.0,70230.25,273917.0,46600.0,198.0,4,811698.0,811698.0,811698.0,3533,3533,3533
