gov_id,official_release_date,week_range,round_idx,rounds_cumsum,current_week_real_idx,current_week_active_idx,gap_real_week_2to1,gap_real_week_1tocurrent,boxoffice_cumsum,boxoffice_round1_cumsum,boxoffice_current_round_cumsum,amount,audience_cumsum,audience_round1_cumsum,audience_current_round_cumsum,,tickets,theater_count
,,,,,,,,,跨輪(票房),首輪(),當輪(),,跨輪(觀眾),首輪(觀眾),當輪(觀眾),,,
8873,2018/6/8,2018-06-04~2018-06-10,1,1,1,1,0,0,0,0,0,102590,0,0,0,,500,2
8873,2018/6/8,2018-06-11~2018-06-17,1,1,2,2,0,0,102590,102590,102590,83785,500,500,500,,405,2
8873,2018/6/8,2018-06-18~2018-06-24,1,1,3,3,0,0,186375,186375,186375,31795,905,905,905,,149,2
8873,2018/6/8,2018-06-25~2018-07-01,1,1,4,4,0,0,218170,218170,218170,8085,1054,1054,1054,,36,1
8878,2018/6/8,2018-06-04~2018-06-10,1,1,1,1,0,0,0,0,0,144545,0,0,0,,682,2
8878,2018/6/8,2018-06-11~2018-06-17,1,1,2,2,0,0,144545,144545,144545,152730,682,682,682,,721,2
8878,2018/6/8,2018-06-18~2018-06-24,1,1,3,3,0,0,297275,297275,297275,37955,1403,1403,1403,,172,2
9161,2018/6/13,2018-06-11~2018-06-17,1,1,1,1,0,0,0,0,0,10239938,0,0,0,,43676,81
9161,2018/6/13,2018-06-18~2018-06-24,1,1,2,2,0,0,10239938,10239938,10239938,11123494,43676,43676,43676,,48255,82
9161,2018/6/13,2018-06-25~2018-07-01,1,1,3,3,0,0,21363432,21363432,21363432,3787451,91931,91931,91931,,16197,81
9161,2018/6/13,2018-07-02~2018-07-08,1,1,4,4,0,0,25150883,25150883,25150883,895784,108128,108128,108128,,3776,56
9161,2018/6/13,2018-07-09~2018-07-15,1,1,5,5,0,0,26046667,26046667,26046667,190423,111904,111904,111904,,800,10
9161,2018/6/13,2018-07-16~2018-07-22,1,1,6,6,0,0,26237090,26237090,26237090,46915,112704,112704,112704,,191,4
9161,2018/6/13,2018-07-23~2018-07-29,1,1,7,7,0,0,26284005,26284005,26284005,11040,112895,112895,112895,,43,1
9161,2018/6/13,2018-08-13~2018-08-19,1,1,10,8,0,2,26295045,26295045,26295045,17160,112938,112938,112938,,205,3
9161,2018/6/13,2018-08-20~2018-08-26,1,1,11,9,2,0,26312205,26312205,26312205,17720,113143,113143,113143,,208,3
9161,2018/6/13,2018-08-27~2018-09-02,1,1,12,10,0,0,26329925,26329925,26329925,12240,113351,113351,113351,,137,4
9161,2018/6/13,2018-09-03~2018-09-09,1,1,13,11,0,0,26342165,26342165,26342165,24600,113488,113488,113488,,405,3
9161,2018/6/13,2018-09-10~2018-09-16,1,1,14,12,0,0,26366765,26366765,26366765,33485,113893,113893,113893,,504,4
9161,2018/6/13,2018-09-17~2018-09-23,1,1,15,13,0,0,26400250,26400250,26400250,23890,114397,114397,114397,,259,3
9161,2018/6/13,2018-09-24~2018-09-30,1,1,16,14,0,0,26424140,26424140,26424140,14240,114656,114656,114656,,122,2
9161,2018/6/13,2018-10-01~2018-10-07,1,1,17,15,0,0,26438380,26438380,26438380,5320,114778,114778,114778,,38,1
9161,2018/6/13,2018-07-30~2018-08-05,1,1,8,,0,0,0,0,0,0,0,0,0,,0,0
9161,2018/6/13,2018-08-06~2018-08-12,1,1,9,,0,0,0,0,0,0,0,0,0,,0,0
9161,2018/6/13,2025-09-15~2025-09-21,2,2,1,1,0,0,26443700,26443700,0,345190,114816,114816,0,,1242,21
9161,2018/6/13,2025-09-22~2025-09-28,2,2,2,2,0,0,26788890,26443700,345190,443232,116058,114816,1242,,1465,22
9161,2018/6/13,2025-09-29~2025-10-05,2,2,3,3,0,0,27232122,26443700,788422,54968,117523,114816,2707,,213,15
