feature,coefficient
is_restricted,-335746.74361872725
release_month_sin,170268.29649980718
release_month_cos,-165217.5974615219
release_year,22341.777353364414
open_week1_days,20933.1295309117
gap_real_week_2to1,-15769.408138348645
current_week_active_idx,12850.967317001996
gap_real_week_1tocurrent,-11742.715941840772
screens_week_1,4782.036135594484
screens_week_2,3598.7717737064845
film_length,2491.44578612796
audience_week_2,-360.65309914623356
audience_week_1,259.5104347089533
boxoffice_week_2,1.064597547369746
open_week1_boxoffice_daily_avg,-0.12979458396455323
boxoffice_week_1,-0.04432114214545396
open_week1_boxoffice,0.010275223155047048
open_week2_boxoffice,0.009348186481875303
round_idx,0.0
