feature,importance
boxoffice_week_1,0.7896937534976712
audience_week_1,0.20998428860375754
film_length,0.00012499576472793365
current_week_active_idx,8.11458063007831e-05
audience_week_2,4.690553356174574e-05
screens_week_2,2.3671638847837143e-05
boxoffice_week_2,2.035767626801915e-05
release_month_cos,1.6853872547945852e-05
screens_week_1,5.098110732767491e-06
release_month_sin,2.912325212282603e-06
open_week2_boxoffice,1.717037217933648e-08
gap_real_week_2to1,0.0
round_idx,0.0
open_week1_days,0.0
gap_real_week_1tocurrent,0.0
release_year,0.0
open_week1_boxoffice_daily_avg,0.0
open_week1_boxoffice,0.0
is_restricted,0.0
