feature,importance
boxoffice_week_1,0.8623105364826464
audience_week_1,0.1374993726829846
film_length,7.95635954473288e-05
boxoffice_week_2,4.7368596442814854e-05
release_month_sin,2.6426748758164707e-05
screens_week_1,1.9786078887899505e-05
current_week_active_idx,1.466811036415042e-05
release_month_cos,9.848544639531598e-07
screens_week_2,9.307138712126973e-07
audience_week_2,1.6658939981506238e-07
open_week2_boxoffice,1.6056731686636782e-07
open_week1_boxoffice,3.497941674495624e-08
round_idx,0.0
gap_real_week_2to1,0.0
gap_real_week_1tocurrent,0.0
open_week1_days,0.0
open_week1_boxoffice_daily_avg,0.0
release_year,0.0
is_restricted,0.0
