feature,importance
boxoffice_week_1,0.8001932512540416
audience_week_1,0.19973673333216882
screens_week_2,2.270561318960478e-05
current_week_active_idx,1.1014864322618273e-05
open_week1_boxoffice,9.811029254139819e-06
audience_week_2,9.697779320520784e-06
screens_week_1,9.544809070530873e-06
open_week2_boxoffice,2.934699601680099e-06
boxoffice_week_2,2.2374952895056926e-06
release_month_cos,1.1173282317999433e-06
open_week1_boxoffice_daily_avg,9.517955091970356e-07
gap_real_week_2to1,0.0
round_idx,0.0
open_week1_days,0.0
gap_real_week_1tocurrent,0.0
release_year,0.0
film_length,0.0
is_restricted,0.0
release_month_sin,0.0
