feature,LightGBM_Importance,RandomForest_Importance
open_week2_boxoffice,894,0.15954836751309942
open_week1_boxoffice_daily_avg,736,0.09371981864967414
film_length_x,729,0.12575219242872487
open_week1_boxoffice,674,0.06290975896699828
release_month_cos,349,0.07507654849237295
amount,232,0.015485711372204992
release_month_sin,232,0.09047490487346081
open_week1_days,184,0.041610203019985775
is_restricted,183,0.026600371492918672
screens_week_2,172,0.016553015965612105
boxoffice_week_1,134,0.0053045852647970885
region_美國,100,0.0187351535100457
screens_week_1,96,0.005932831920713402
audience_week_1,96,0.005920652210065102
boxoffice_week_2,94,0.0038427520812354147
current_week_active_idx,90,0.0048979028961082865
region_日本,90,0.07047555043407845
region_中華民國,76,0.017097586019546876
audience_week_2,45,0.0037506052263873726
region_英國,13,0.0030380274064374384
region_韓國,3,0.011597586468847463
gap_real_week_2to1,0,1.3275104526538652e-06
gap_real_week_1tocurrent,0,1.0828483162524345e-05
region_德國,0,0.00011965452822383189
region_印尼,0,0.0032988246819255457
film_length_y,0,0.1313653560694777
region_法國,0,0.0
region_捷克,0,0.0005170212659300972
region_挪威,0,0.0031786396165857573
region_瑞士,0,0.0
region_泰國,0,0.0014329992172711114
region_西班牙,0,4.176991874865196e-05
region_香港,0,0.0016086420568278245
region_馬來西亞,0,0.00010081043807974067
