feature,Linear_Coeff,LightGBM_Importance,Tree_Importance,RandomForest_Importance
open_week2_boxoffice,1.332761648823916e-08,1307,0.13495003435149014,0.17593141089039285
film_length_x,0.0029635790693901564,1165,0.15633826722623248,0.17134312659893575
open_week1_boxoffice,7.204811015257613e-09,963,0.02998387102276112,0.08148705970117526
open_week1_boxoffice_daily_avg,4.670393701353328e-08,769,0.09231638561521932,0.10862995279114791
release_month_cos,0.026997626522154962,522,0.12570233391279764,0.07966704463324686
amount,3.0774045993192663e-09,437,1.5534445817449652e-16,0.014501701448393354
screens_week_2,0.004195901816694878,358,0.00490251892931714,0.02098591946345518
boxoffice_week_1,3.735286529049146e-09,318,9.137909304382148e-16,0.006781669699946341
is_restricted,0.3479817352619032,295,0.00531178710962175,0.02224336077625638
audience_week_1,1.7887868129046576e-06,268,0.005251356150963453,0.006154777185199698
release_month_sin,0.40824748919780407,264,0.08562681281561084,0.08536031198597238
screens_week_1,0.009602010816489825,249,0.006465491066586952,0.00627220004341523
open_week1_days,0.027714082812454785,240,0.12568629986864732,0.046912226190917804
current_week_active_idx,0.059637384639396246,227,3.655163721752859e-17,0.004976440428766398
boxoffice_week_2,1.4849312927173896e-08,212,5.48274558262929e-16,0.004944244125839287
audience_week_2,4.5516129388071046e-06,164,0.0022874478711516705,0.00439903731110819
gap_real_week_2to1,0.05980579101784147,0,0.0,4.670313739620019e-05
gap_real_week_1tocurrent,0.1770099909330586,0,0.0,4.055342575599907e-05
film_length_y,0.0029635790693917194,0,0.2251773940595984,0.15932226016267903
