current_week_active_idx,gap_real_week_2to1,gap_real_week_1tocurrent,boxoffice_week_2,boxoffice_week_1,audience_week_2,audience_week_1,screens_week_2,screens_week_1,open_week1_days,open_week1_boxoffice,open_week1_boxoffice_daily_avg,open_week2_boxoffice,amount,film_length_x,is_restricted,release_month_sin,release_month_cos,region,film_length_y
3,0,0,890052,959929,3980,4255,19,19,3,890052,296684,959929,360104,146,1,-0.5,-0.866025404,美國,146
4,0,0,959929,360104,4255,1621,19,13,3,890052,296684,959929,167345,146,1,-0.5,-0.866025404,美國,146
5,0,0,360104,167345,1621,751,13,8,3,890052,296684,959929,63720,146,1,-0.5,-0.866025404,美國,146
6,0,0,167345,63720,751,288,8,2,3,890052,296684,959929,11960,146,1,-0.5,-0.866025404,美國,146
3,0,0,280921,273917,1236,1205,15,15,4,280921,70230.25,273917,130775,118,0,-0.866025404,0.5,香港,118
4,0,0,273917,130775,1205,560,15,14,4,280921,70230.25,273917,68680,118,0,-0.866025404,0.5,香港,118
5,0,0,130775,68680,560,286,14,6,4,280921,70230.25,273917,57405,118,0,-0.866025404,0.5,香港,118
6,0,0,68680,57405,286,246,6,5,4,280921,70230.25,273917,46600,118,0,-0.866025404,0.5,香港,118
7,0,0,57405,46600,246,198,5,4,4,280921,70230.25,273917,53270,118,0,-0.866025404,0.5,香港,118
8,0,0,46600,53270,198,230,4,4,4,280921,70230.25,273917,26955,118,0,-0.866025404,0.5,香港,118
9,0,0,53270,26955,230,129,4,4,4,280921,70230.25,273917,3740,118,0,-0.866025404,0.5,香港,118
10,0,0,26955,3740,129,24,4,2,4,280921,70230.25,273917,1350,118,0,-0.866025404,0.5,香港,118
3,0,0,1627162,1135447,6726,4720,55,56,6,1627162,271193.6667,1135447,415865,100,1,0.5,-0.866025404,英國,100
4,0,0,1135447,415865,4720,1767,56,56,6,1627162,271193.6667,1135447,119751,100,1,0.5,-0.866025404,英國,100
5,0,0,415865,119751,1767,510,56,21,6,1627162,271193.6667,1135447,28667,100,1,0.5,-0.866025404,英國,100
6,0,0,119751,28667,510,121,21,6,6,1627162,271193.6667,1135447,5575,100,1,0.5,-0.866025404,英國,100
3,0,0,1075634,1106268,4415,4542,83,83,3,1075634,358544.6667,1106268,259383,94,0,-0.866025404,-0.5,美國,94
4,0,0,1106268,259383,4542,1057,83,75,3,1075634,358544.6667,1106268,35530,94,0,-0.866025404,-0.5,美國,94
5,0,0,259383,35530,1057,142,75,45,3,1075634,358544.6667,1106268,1055,94,0,-0.866025404,-0.5,美國,94
3,0,0,155414929,169116379,486814,516534,100,100,5,155414929,31082985.8,169116379,140351478,192,0,-2.45E-16,1,美國,192
4,0,0,169116379,140351478,516534,420662,100,100,5,155414929,31082985.8,169116379,84817996,192,0,-2.45E-16,1,美國,192
5,0,0,140351478,84817996,420662,247421,100,100,5,155414929,31082985.8,169116379,44379087,192,0,-2.45E-16,1,美國,192
6,0,0,84817996,44379087,247421,127064,100,101,5,155414929,31082985.8,169116379,38917959,192,0,-2.45E-16,1,美國,192
7,0,0,44379087,38917959,127064,110937,101,99,5,155414929,31082985.8,169116379,67346401,192,0,-2.45E-16,1,美國,192
8,0,0,38917959,67346401,110937,192094,99,97,5,155414929,31082985.8,169116379,20028748,192,0,-2.45E-16,1,美國,192
9,0,0,67346401,20028748,192094,56845,97,97,5,155414929,31082985.8,169116379,13146440,192,0,-2.45E-16,1,美國,192
10,0,0,20028748,13146440,56845,36884,97,96,5,155414929,31082985.8,169116379,4979756,192,0,-2.45E-16,1,美國,192
11,0,0,13146440,4979756,36884,14684,96,89,5,155414929,31082985.8,169116379,2683409,192,0,-2.45E-16,1,美國,192
12,0,0,4979756,2683409,14684,8095,89,72,5,155414929,31082985.8,169116379,2547895,192,0,-2.45E-16,1,美國,192
13,0,0,2683409,2547895,8095,7520,72,59,5,155414929,31082985.8,169116379,692803,192,0,-2.45E-16,1,美國,192
14,0,0,2547895,692803,7520,2016,59,48,5,155414929,31082985.8,169116379,236495,192,0,-2.45E-16,1,美國,192
15,0,0,692803,236495,2016,719,48,29,5,155414929,31082985.8,169116379,64560,192,0,-2.45E-16,1,美國,192
3,1,0,50445,549690,227,2361,1,16,5,50445,10089,549690,1462053,101,0,0.5,0.866025404,英國,101
4,0,0,549690,1462053,2361,6160,16,16,5,50445,10089,549690,1139755,101,0,0.5,0.866025404,英國,101
5,0,0,1462053,1139755,6160,4754,16,14,5,50445,10089,549690,988318,101,0,0.5,0.866025404,英國,101
6,0,0,1139755,988318,4754,4065,14,14,5,50445,10089,549690,546563,101,0,0.5,0.866025404,英國,101
7,0,0,988318,546563,4065,2061,14,13,5,50445,10089,549690,262845,101,0,0.5,0.866025404,英國,101
8,0,0,546563,262845,2061,1089,13,12,5,50445,10089,549690,155110,101,0,0.5,0.866025404,英國,101
9,0,0,262845,155110,1089,662,12,9,5,50445,10089,549690,96520,101,0,0.5,0.866025404,英國,101
10,0,0,155110,96520,662,403,9,8,5,50445,10089,549690,57020,101,0,0.5,0.866025404,英國,101
11,0,0,96520,57020,403,228,8,2,5,50445,10089,549690,11180,101,0,0.5,0.866025404,英國,101
12,0,2,57020,11180,228,45,2,1,5,50445,10089,549690,1035,101,0,0.5,0.866025404,英國,101
13,2,2,11180,1035,45,5,1,1,5,50445,10089,549690,2490,101,0,0.5,0.866025404,英國,101
3,0,0,1332497,2904283,5336,11754,54,52,4,1332497,333124.25,2904283,1816367,116,0,0.866025404,0.5,美國,116
4,0,0,2904283,1816367,11754,7278,52,52,4,1332497,333124.25,2904283,1160717,116,0,0.866025404,0.5,美國,116
5,0,0,1816367,1160717,7278,4660,52,52,4,1332497,333124.25,2904283,977851,116,0,0.866025404,0.5,美國,116
6,0,0,1160717,977851,4660,3921,52,41,4,1332497,333124.25,2904283,395575,116,0,0.866025404,0.5,美國,116
7,0,0,977851,395575,3921,1640,41,38,4,1332497,333124.25,2904283,1177072,116,0,0.866025404,0.5,美國,116
8,0,0,395575,1177072,1640,4706,38,42,4,1332497,333124.25,2904283,541984,116,0,0.866025404,0.5,美國,116
9,0,0,1177072,541984,4706,2215,42,41,4,1332497,333124.25,2904283,221275,116,0,0.866025404,0.5,美國,116
10,0,0,541984,221275,2215,908,41,28,4,1332497,333124.25,2904283,113506,116,0,0.866025404,0.5,美國,116
11,0,0,221275,113506,908,447,28,11,4,1332497,333124.25,2904283,25076,116,0,0.866025404,0.5,美國,116
12,0,0,113506,25076,447,103,11,5,4,1332497,333124.25,2904283,16236,116,0,0.866025404,0.5,美國,116
13,0,0,25076,16236,103,64,5,4,4,1332497,333124.25,2904283,11250,116,0,0.866025404,0.5,美國,116
14,0,0,16236,11250,64,43,4,2,4,1332497,333124.25,2904283,5042,116,0,0.866025404,0.5,美國,116
15,0,0,11250,5042,43,19,2,2,4,1332497,333124.25,2904283,540,116,0,0.866025404,0.5,美國,116
3,0,0,607138,677741,2236,2544,74,73,3,607138,202379.3333,677741,251624,179,1,0.866025404,-0.5,美國,179
4,0,0,677741,251624,2544,953,73,60,3,607138,202379.3333,677741,74804,179,1,0.866025404,-0.5,美國,179
5,0,0,251624,74804,953,290,60,16,3,607138,202379.3333,677741,27515,179,1,0.866025404,-0.5,美國,179
6,0,0,74804,27515,290,107,16,6,3,607138,202379.3333,677741,14195,179,1,0.866025404,-0.5,美國,179
7,0,0,27515,14195,107,54,6,2,3,607138,202379.3333,677741,610,179,1,0.866025404,-0.5,美國,179
3,0,0,105158,177625,457,728,8,8,3,105158,35052.66667,177625,81850,172,0,0.866025404,-0.5,日本,172
4,0,0,177625,81850,728,329,8,6,3,105158,35052.66667,177625,16450,172,0,0.866025404,-0.5,日本,172
5,0,0,81850,16450,329,65,6,4,3,105158,35052.66667,177625,12650,172,0,0.866025404,-0.5,日本,172
6,0,0,16450,12650,65,52,4,4,3,105158,35052.66667,177625,2400,172,0,0.866025404,-0.5,日本,172
7,0,0,12650,2400,52,10,4,3,3,105158,35052.66667,177625,2500,172,0,0.866025404,-0.5,日本,172
3,0,0,624330,1853892,2496,7443,61,62,3,624330,208110,1853892,2767891,105,0,-0.5,-0.866025404,美國,105
4,0,0,1853892,2767891,7443,11143,62,62,3,624330,208110,1853892,1343836,105,0,-0.5,-0.866025404,美國,105
