gov_id,region,rating,film_length,imdb_id,imdb_rating
13460,美國,限制級,146,tt8772262,7.1
17126,香港,輔12級,118,tt11810546,7.1
21389,英國,限制級,100,tt13841850,6
21930,美國,輔15級,94,tt8110652,6.2
23322,美國,保護級,192,tt1630029,7.5
23548,英國,保護級,101,tt19770238,7.6
23614,美國,保護級,116,tt13833688,7.6
24046,美國,限制級,179,tt13521006,6.6
24086,日本,普遍級,172,tt14141970,8.1
25044,美國,普遍級,105,tt13238346,7.8
25045,英國,輔15級,94,tt10638522,7.1
26305,美國,輔12級,101,tt21942866,6.8
26439,中華民國,輔12級,110,tt17079606,7
26514,日本,普遍級,93,tt0104652,7.7
26625,美國,保護級,112,tt22041854,6.5
26779,英國,保護級,104,tt7160372,7.3
27106,中華民國,輔15級,102,tt2546132,6.8
27343,美國,輔15級,108,tt17279496,7
27899,中華民國,輔12級,118,tt1641385,5.7
29081,美國,輔12級,214,tt8999762,7.3
29378,中華民國,保護級,98,tt0109611,5.4
29380,中華民國,輔15級,142,tt1294728,5.4
29513,美國,輔15級,111,tt28015403,7
29653,日本,輔12級,144,tt33175825,9.2
29831,美國,限制級,114,tt6450428,2.9
29882,中華民國,普遍級,117,tt37093338,7.6
30021,美國,保護級,106,tt28479262,7.6
30062,美國,輔12級,95,tt4718500,6.4
30155,美國,限制級,136,tt24176060,6.4
30366,挪威,輔15級,79,tt14828040,5.4
30436,西班牙,輔15級,107,tt5215952,7.4
30530,中華民國,普遍級,111,tt14539726,7.7
30560,日本,普遍級,86,tt33477504,7.2
30636,美國,輔12級,86,tt23131648,3.7
30655,韓國,普遍級,125,tt35571591,9
30699,美國,輔12級,107,tt27131358,7
30704,中華民國,普遍級,105,tt37150285,7.7
30717,美國,普遍級,125,tt0892769,8.1
30738,美國,保護級,107,tt0275847,7.4
30739,美國,輔12級,169,tt9603208,7.2
30808,美國,限制級,104,tt32246771,7.2
30809,日本,保護級,109,tt35444710,6.8
30863,泰國,輔12級,90,tt35449514,7.1
30864,英國,輔12級,148,tt0077504,6.1
30960,美國,限制級,114,tt10548174,6.6
31027,美國,保護級,155,tt16311594,7.7
31037,美國,輔12級,103,tt11092020,4.7
31082,美國,普遍級,97,tt4900148,6.7
31123,美國,保護級,133,tt31036941,5.9
31128,美國,輔15級,119,tt26342662,6.1
31158,韓國,限制級,122,tt35851026,6.6
31159,泰國,普遍級,85,tt31520900,6.5
31186,美國,保護級,129,tt5950044,7.1
31190,日本,普遍級,104,tt0076759,8.6
31191,韓國,保護級,98,tt0120458,5.1
31201,美國,保護級,103,tt30017619,7.1
31222,瑞士,保護級,90,tt33055004,7
31251,美國,普遍級,91,tt18069420,4.3
31301,中華民國,普遍級,103,tt38284699,4.3
31305,德國,輔12級,139,tt33294838,6.9
31329,韓國,輔12級,116,tt30254719,5.6
31352,美國,保護級,114,tt10676052,7
31355,日本,普遍級,105,tt35009463,6.9
31364,美國,限制級,128,tt26581740,7.5
31365,日本,輔12級,154,tt32820897,8.5
31402,美國,普遍級,116,tt30253473,6.3
31474,中華民國,限制級,123,tt37998920,7.2
31502,美國,保護級,92,tt26238710,6.7
31507,日本,保護級,117,tt0399877,5.2
31520,日本,輔12級,119,tt36551651,5.2
31523,英國,普遍級,127,tt3783958,8
31531,中華民國,輔12級,93,tt38355705,4.3
31541,中國大陸,普遍級,123,tt20865078,6.8
31547,美國,普遍級,110,tt31956415,6.5
31570,香港,普遍級,91,tt35724928,6.3
31596,美國,輔15級,135,tt22898462,6.3
31650,日本,普遍級,116,tt31735255,6.6
31651,美國,輔15級,101,tt31184028,6.7
31654,日本,保護級,104,tt36592985,8.2
31662,泰國,輔12級,107,tt19637278,4.8
31668,中華民國,保護級,123,tt1285248,4.1
31670,馬來西亞,輔12級,116,tt33096017,7.2
31679,韓國,普遍級,112,tt35382678,6.6
31685,日本,保護級,110,tt36956670,7.9
31701,日本,普遍級,58,tt37529019,4.3
31702,德國,輔15級,162,tt0388562,7
