gov_id,official_release_date,week_range,round_idx,rounds_cumsum,current_week_real_idx,current_week_active_idx,gap_real_week_2to1,gap_real_week_1tocurrent,boxoffice_week_2,boxoffice_week_1,audience_week_2,audience_week_1,screens_week_2,screens_week_1,open_week1_days,open_week1_boxoffice,open_week1_boxoffice_daily_avg,open_week2_boxoffice,amount,tickets,theater_count,boxoffice_cumsum,boxoffice_round1_cumsum,boxoffice_current_round_cumsum,audience_cumsum,audience_round1_cumsum,audience_current_round_cumsum
13460,2019/7/12,2019-07-08~2019-07-14,1,1,1,1,0,0,,,,,,,3,890052,296684,959929,890052,3980,19,0,0,0,0,0,0
13460,2019/7/12,2019-07-15~2019-07-21,1,1,2,2,0,0,,890052,,3980,,19,3,890052,296684,959929,959929,4255,19,890052,890052,890052,3980,3980,3980
13460,2019/7/12,2019-07-22~2019-07-28,1,1,3,3,0,0,890052,959929,3980,4255,19,19,3,890052,296684,959929,360104,1621,13,1849981,1849981,1849981,8235,8235,8235
13460,2019/7/12,2019-07-29~2019-08-04,1,1,4,4,0,0,959929,360104,4255,1621,19,13,3,890052,296684,959929,167345,751,8,2210085,2210085,2210085,9856,9856,9856
13460,2019/7/12,2019-08-05~2019-08-11,1,1,5,5,0,0,360104,167345,1621,751,13,8,3,890052,296684,959929,63720,288,2,2377430,2377430,2377430,10607,10607,10607
13460,2019/7/12,2019-08-12~2019-08-18,1,1,6,6,0,0,167345,63720,751,288,8,2,3,890052,296684,959929,11960,53,2,2441150,2441150,2441150,10895,10895,10895
13460,2019/7/12,2025-09-15~2025-09-21,2,2,1,1,0,0,,,,,,,3,890052,296684,959929,537603,1983,38,2453110,2453110,0,10948,10948,0
13460,2019/7/12,2025-09-22~2025-09-28,2,2,2,2,0,0,,537603,,1983,,38,3,890052,296684,959929,492329,1859,38,2990713,2453110,537603,12931,10948,1983
13460,2019/7/12,2025-09-29~2025-10-05,2,2,3,3,0,0,537603,492329,1983,1859,38,38,3,890052,296684,959929,169103,634,22,3483042,2453110,1029932,14790,10948,3842
13460,2019/7/12,2025-10-06~2025-10-12,2,2,4,4,0,0,492329,169103,1859,634,38,22,3,890052,296684,959929,24067,95,6,3652145,2453110,1199035,15424,10948,4476
13460,2019/7/12,2025-10-13~2025-10-19,2,2,5,5,0,0,169103,24067,634,95,22,6,3,890052,296684,959929,1660,6,1,3676212,2453110,1223102,15519,10948,4571
17126,2020/10/15,2020-10-12~2020-10-18,1,1,1,1,0,0,,,,,,,4,280921,70230.25,273917,280921,1236,15,0,0,0,0,0,0
17126,2020/10/15,2020-10-19~2020-10-25,1,1,2,2,0,0,,280921,,1236,,15,4,280921,70230.25,273917,273917,1205,15,280921,280921,280921,1236,1236,1236
17126,2020/10/15,2020-10-26~2020-11-01,1,1,3,3,0,0,280921,273917,1236,1205,15,15,4,280921,70230.25,273917,130775,560,14,554838,554838,554838,2441,2441,2441
17126,2020/10/15,2020-11-02~2020-11-08,1,1,4,4,0,0,273917,130775,1205,560,15,14,4,280921,70230.25,273917,68680,286,6,685613,685613,685613,3001,3001,3001
17126,2020/10/15,2020-11-09~2020-11-15,1,1,5,5,0,0,130775,68680,560,286,14,6,4,280921,70230.25,273917,57405,246,5,754293,754293,754293,3287,3287,3287
17126,2020/10/15,2020-11-16~2020-11-22,1,1,6,6,0,0,68680,57405,286,246,6,5,4,280921,70230.25,273917,46600,198,4,811698,811698,811698,3533,3533,3533
17126,2020/10/15,2020-11-23~2020-11-29,1,1,7,7,0,0,57405,46600,246,198,5,4,4,280921,70230.25,273917,53270,230,4,858298,858298,858298,3731,3731,3731
17126,2020/10/15,2020-11-30~2020-12-06,1,1,8,8,0,0,46600,53270,198,230,4,4,4,280921,70230.25,273917,26955,129,4,911568,911568,911568,3961,3961,3961
17126,2020/10/15,2020-12-07~2020-12-13,1,1,9,9,0,0,53270,26955,230,129,4,4,4,280921,70230.25,273917,3740,24,2,938523,938523,938523,4090,4090,4090
17126,2020/10/15,2020-12-14~2020-12-20,1,1,10,10,0,0,26955,3740,129,24,4,2,4,280921,70230.25,273917,1350,9,1,942263,942263,942263,4114,4114,4114
21389,2022/5/31,2022-05-30~2022-06-05,1,1,1,1,0,0,,,,,,,6,1627162,271193.6667,1135447,1627162,6726,55,0,0,0,0,0,0
21389,2022/5/31,2022-06-06~2022-06-12,1,1,2,2,0,0,,1627162,,6726,,55,6,1627162,271193.6667,1135447,1135447,4720,56,1627162,1627162,1627162,6726,6726,6726
21389,2022/5/31,2022-06-13~2022-06-19,1,1,3,3,0,0,1627162,1135447,6726,4720,55,56,6,1627162,271193.6667,1135447,415865,1767,56,2762609,2762609,2762609,11446,11446,11446
21389,2022/5/31,2022-06-20~2022-06-26,1,1,4,4,0,0,1135447,415865,4720,1767,56,56,6,1627162,271193.6667,1135447,119751,510,21,3178474,3178474,3178474,13213,13213,13213
21389,2022/5/31,2022-06-27~2022-07-03,1,1,5,5,0,0,415865,119751,1767,510,56,21,6,1627162,271193.6667,1135447,28667,121,6,3298225,3298225,3298225,13723,13723,13723
21389,2022/5/31,2022-07-04~2022-07-10,1,1,6,6,0,0,119751,28667,510,121,21,6,6,1627162,271193.6667,1135447,5575,23,3,3326892,3326892,3326892,13844,13844,13844
21389,2022/5/31,2025-09-15~2025-09-21,2,2,1,1,0,0,,,,,,,6,1627162,271193.6667,1135447,18830,68,1,3332467,3332467,0,13867,13867,0
21389,2022/5/31,2025-09-22~2025-09-28,2,2,2,,0,0,,,,,,,6,1627162,271193.6667,1135447,0,0,0,3351297,3332467,18830,13935,13867,68
21389,2022/5/31,2025-09-29~2025-10-05,2,2,3,2,0,1,,18830,,68,,1,6,1627162,271193.6667,1135447,11387,41,1,3351297,3332467,18830,13935,13867,68
21389,2022/5/31,2025-10-06~2025-10-12,2,2,4,3,1,0,18830,11387,68,41,1,1,6,1627162,271193.6667,1135447,11748,44,1,3362684,3332467,30217,13976,13867,109
21930,2022/8/19,2022-08-15~2022-08-21,1,1,1,1,0,0,,,,,,,3,1075634,358544.6667,1106268,1075634,4415,83,0,0,0,0,0,0
21930,2022/8/19,2022-08-22~2022-08-28,1,1,2,2,0,0,,1075634,,4415,,83,3,1075634,358544.6667,1106268,1106268,4542,83,1075634,1075634,1075634,4415,4415,4415
