gov_id,title_zh,release_round,is_re_release,official_release_date_x,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,second_week_amount_growth_rate,momentum_3w,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,momentum_score,promotion_urgency_score,early_decline_weeks,long_tail_weeks,momentum_status,promotion_level,avg_ticket_price,previous_round_count,previous_total_amount,re_release_gap_days,previous_avg_amount,same_class_amount_last_week,market_heat_level,gov_title_zh,gov_title_en,region,movie_class,official_release_date_y,publisher,film_length,director,actor_list,source_file,long_tail_strength,retention_index
13460,仲夏魘,2,True,2019-07-12,2025-09-15,2025-10-19,35,5,5,1224762.0,4577.0,244952.4,915.4,537603.0,2025-09-15~2025-09-21,38,21.0,-0.084,-0.533,-0.506,-0.931,False,下檔,2019-07-08,2025-11-03 11:04:38,-0.99,9.93,4,2,衰退,需行動,267.59,1,2453110.0,2220,408851.67,2439313.4121276597,C,仲夏魘,MIDSOMMAR,美國,限制級,2019-07-12,車庫娛樂股份有限公司,,,,13460_仲夏魘.csv,0.8851291777986592,0.747
17126,幻愛,1,False,2020-10-15,2020-10-12,2020-12-20,70,10,10,943613.0,4123.0,94361.3,412.3,280921.0,2020-10-12~2020-10-18,15,7.0,-0.443,-0.48,-0.323,-0.639,False,下檔,2020-10-12,2025-11-03 11:04:38,-0.95,9.52,3,2,衰退,需行動,228.87,0,0.0,0,0.0,1046015.47,C,幻愛,Beyond the Dream,香港,輔12級,2020-10-15,光年映畫有限公司,,周冠威,蔡思韵; 劉俊謙; 潘燦良; 鮑起靜; 張滿源; 黃嵐; 魏綺珊; 駱振偉; 蘇皓兒,17126_幻愛.csv,1.6233750996844971,0.8385
21389,們,2,True,2022-05-31,2025-09-15,2025-10-12,28,4,3,41965.0,153.0,13988.33,51.0,18830.0,2025-09-15~2025-09-21,1,1.0,-0.395,-0.182,0.011,0.032,False,下檔,2022-05-30,2025-11-03 11:04:38,-0.376,0.0,0,3,衰退,正常,274.28,1,3332467.0,1163,555411.17,153621.79833333334,E,們,MEN,英國,限制級,2022-05-31,車庫娛樂股份有限公司,,九把刀,柯震東; 陳妍希; 敖犬; 胡家瑋; 郝劭文; 蔡昌憲; 鄢勝宇; 柯義浤; 王彩樺; 李維維; 邱彥翔; 李鳳新; 段正平; 高麗紅[TW]; 蔡武雄; 許麗娜; 劉雨辰; 陳永晉; 嚴藝文; 賴炳輝; 陳繼平,21389_們.csv,1.5917340953973251,0.8694999999999999
21930,天黑請斃命,2,True,2022-08-19,2022-10-10,2022-11-06,28,4,4,44734.0,452.0,11183.5,113.0,18307.0,2022-10-17~2022-10-23,3,2.25,1.578,0.22,0.165,-0.79,False,下檔,2022-08-15,2025-11-03 11:04:38,-0.816,7.56,2,2,衰退,需行動,98.97,1,2477870.0,22,495574.0,2439313.4121276597,E,天黑請斃命,BODIES BODIES BODIES,美國,輔15級,2022-08-19,美商台灣索尼影業發行股份有限公司台灣分公司,,哈琳娜瑞金,雅蔓德拉史坦柏; 瑪麗亞巴卡洛娃; 瑞秋森諾特; 雀絲蘇萬德斯; 彼得戴維森; 麥哈拉哈羅德; 李培斯; Conner O'Malley; Semih Senturk,21930_天黑請斃命.csv,1.3438806568824737,0.9175
22894,一一,1,False,2025-10-01,2025-09-29,2025-11-02,35,5,5,1895697.0,7123.0,379139.4,1424.6,989335.0,2025-09-29~2025-10-05,25,12.4,-0.538,-0.636,-0.504,-0.407,False,上映中,2025-09-29,2025-11-03 11:04:38,-0.782,8.74,4,2,衰退,需行動,266.14,1,4742658.0,-27,790443.0,3483269.1605,C,一一 25周年4K數位修復版,YIYI-A ONE AND A TWO,中華民國,保護級,2025-09-19,傳影互動股份有限公司,,,,22894_一一 25周年4K數位修復版.csv,0.8887126967371153,0.748
22894,一一,1,False,2025-10-01,2025-09-29,2025-11-02,35,5,5,1895697.0,7123.0,379139.4,1424.6,989335.0,2025-09-29~2025-10-05,25,12.4,-0.538,-0.636,-0.504,-0.407,False,上映中,2025-09-29,2025-11-03 11:04:38,-0.782,8.74,4,2,衰退,需行動,266.14,1,4742658.0,-27,790443.0,3483269.1605,C,一一,YIYI-A ONE AND A TWO,中華民國,保護級,2025-10-01,傳影互動股份有限公司,,,,22894_一一.csv,0.8887126967371153,0.748
23322,阿凡達：水之道,3,True,2022-12-14,2023-05-29,2023-08-06,70,10,10,590733.0,6314.0,59073.3,631.4,151407.0,2023-06-05~2023-06-11,5,3.2,0.63,0.094,0.033,-0.624,False,下檔,2022-12-12,2025-11-03 11:04:38,0.252,3.41,1,4,成長中,注意,93.56,2,746464676.0,22,25114201.34,2439313.4121276597,D,阿凡達：水之道,AVATAR: THE WAY OF WATER,美國,保護級,2022-12-14,博偉電影股份有限公司,,詹姆斯卡麥隆,山姆沃辛頓; 柔伊莎達娜; 楊紫瓊; 凱特溫絲蕾; 雪歌妮薇佛; 傑梅奈克萊門特; 奧娜卓別林; 喬凡尼瑞比希; 史帝芬朗; 愛迪法珂; 克里夫柯提斯; 克蘿伊科爾曼; CCH龐德 CCH Pounder; 喬大衛摩爾; 貝里巴斯; 傑米弗拉特斯; 傑克查恩,23322_阿凡達：水之道.csv,2.3187647287960242,0.9835
23548,日麗,3,True,2023-01-25,2025-09-22,2025-10-19,28,4,3,188491.0,639.0,62830.33,213.0,67575.0,2025-09-22~2025-09-28,1,1.0,-0.109,-0.05,0.003,0.008,False,下檔,2023-01-23,2025-11-03 11:04:38,-0.102,0.0,0,3,穩定,正常,294.98,2,5337789.0,806,244843.74,153621.79833333334,D,日麗,Aftersun,英國,保護級,2023-01-25,東昊影業有限公司,,Charlotte Wells,保羅梅茲卡爾; Frankie Corio; Celia Rowlson-Hall; Kayleigh Coleman; Sally Messham; Harry Perdios; Ethan Smith; Ruby Thompson; Brooklyn Toulson,23548_日麗.csv,1.6046095986967979,0.8734999999999999
23614,我的鯨魚老爸,2,True,2023-02-02,2025-09-22,2025-10-26,35,5,3,75755.0,268.0,25251.67,89.33,29020.0,2025-10-20~2025-10-26,1,1.0,-0.223,0.098,0.0,0.0,False,上映中,2023-01-30,2025-11-03 11:04:38,0.104,0.0,0,3,穩定,正常,282.67,1,10699271.0,862,713284.73,2439313.4121276597,E,我的鯨魚老爸,THE WHALE,美國,保護級,2023-02-02,車庫娛樂股份有限公司,,戴倫亞洛諾夫斯基,布蘭登費雪; 莎蒂辛克; 周洪; 泰辛普金斯; 珊曼莎摩頓; Sathya Sridharan; Jacey Sink,23614_我的鯨魚老爸.csv,1.791759469228055,0.8
24046,寶可噩夢,2,True,2023-04-21,2025-09-15,2025-10-19,35,5,3,41773.0,153.0,13924.33,51.0,17173.0,2025-09-29~2025-10-05,1,1.0,0.285,-0.03,0.0,0.0,False,下檔,2023-04-17,2025-11-03 11:04:38,-0.159,0.0,1,3,穩定,正常,273.03,1,1653627.0,834,236232.43,2439313.4121276597,E,寶可噩夢,Beau Is Afraid,美國,限制級,2023-04-21,薩摩亞商雄讚股份有限公司台灣分公司,,亞瑞阿斯特,瓦昆菲尼克斯; 帕可兒波茜; 奈森連恩; 哈莉絲奎爾斯; 艾美萊恩; Richard Kind; 柔伊利斯特瓊斯; Michael Gandolfini; Patti LuPone; Kylie Rogers; 丹尼斯曼努奇; 阿爾緬納哈普蒂安; 史蒂芬亨德森; Julia Antonelli; Theodore Pellerin,24046_寶可噩夢.csv,1.791759469228055,0.8
