gov_id,title_zh,momentum_score,momentum_3w,second_week_amount_growth_rate,retention_index,decline_rate_mean,active_weeks,is_long_tail,avg_theater_count,peak_theater_count,total_weeks,total_amount,avg_amount_per_week,market_heat_level,region,movie_class
13460,仲夏魘,-0.99,-0.533,-0.084,0.747,-0.506,5,False,21.0,38,5,1224762.0,244952.4,C,美國,限制級
17126,幻愛,-0.95,-0.48,-0.443,0.8385,-0.323,10,False,7.0,15,10,943613.0,94361.3,C,香港,輔12級
21389,們,-0.376,-0.182,-0.395,0.8694999999999999,0.011,3,False,1.0,1,4,41965.0,13988.33,E,英國,限制級
21930,天黑請斃命,-0.816,0.22,1.578,0.9175,0.165,4,False,2.25,3,4,44734.0,11183.5,E,美國,輔15級
22894,一一,-0.782,-0.636,-0.538,0.748,-0.504,5,False,12.4,25,5,1895697.0,379139.4,C,中華民國,保護級
22894,一一,-0.782,-0.636,-0.538,0.748,-0.504,5,False,12.4,25,5,1895697.0,379139.4,C,中華民國,保護級
23322,阿凡達：水之道,0.252,0.094,0.63,0.9835,0.033,10,False,3.2,5,10,590733.0,59073.3,D,美國,保護級
23548,日麗,-0.102,-0.05,-0.109,0.8734999999999999,0.003,3,False,1.0,1,4,188491.0,62830.33,D,英國,保護級
23614,我的鯨魚老爸,0.104,0.098,-0.223,0.8,0.0,3,False,1.0,1,5,75755.0,25251.67,E,美國,保護級
24046,寶可噩夢,-0.159,-0.03,0.285,0.8,0.0,3,False,1.0,1,5,41773.0,13924.33,E,美國,限制級
24086,Fishmans,-0.802,-0.538,-0.276,0.882,-0.236,7,False,4.86,8,7,398633.0,56947.57,D,日本,普遍級
25044,之前的我們,2.156,-0.119,-0.304,0.677,0.521,7,False,1.14,2,8,4440.0,634.29,E,美國,普遍級
25045,鬼手鬼手 請開口,-0.202,-0.106,-0.136,0.8625,-0.025,3,False,1.0,1,4,44381.0,14793.67,E,英國,輔15級
26305,夢行者保羅,0.264,0.241,0.766,0.8,0.0,3,False,1.0,1,5,41074.0,13691.33,E,美國,輔12級
26439,鬼才之道,-0.753,-0.264,-0.319,0.880741935483871,0.174,29,True,34.17,99,31,61115916.0,2107445.38,A,中華民國,輔12級
26514,紅豬,-0.962,-0.558,-0.427,0.7125,-0.575,7,False,55.57,88,7,11458379.0,1636911.29,B,日本,普遍級
26625,貓王與我,0.0,0.0,-0.346,0.8333333333333333,0.0,2,False,1.0,1,3,25650.0,12825.0,E,美國,保護級
26779,夢想集中營,0.0,0.0,-0.495,0.8333333333333333,0.0,2,False,1.0,1,3,115875.0,57937.5,E,英國,保護級
27106,河鰻,-0.969,-0.671,-0.819,0.9585,0.083,5,False,9.2,14,5,739058.0,147811.6,D,中華民國,輔15級
27343,帝國浩劫：美國內戰,0.182,0.09,0.181,0.8,0.0,3,False,1.0,1,5,38762.0,12920.67,E,美國,輔15級
27899,96分鐘,-0.848,-0.046,0.0,-0.033500000000000085,2.067,9,False,92.56,94,9,196353314.0,21817034.89,A,中華民國,輔12級
29081,粗獷派建築師,0.518,0.248,0.053,0.9175,0.165,3,False,1.0,1,3,110178.0,36726.0,E,美國,輔12級
29111,台灣超人,2.027,-0.125,0.477,0.6695714285714285,0.518,6,False,2.33,5,7,370440.0,61740.0,D,中華民國,普遍級
29378,我家的事,-0.93,-0.418,-0.471,0.22199999999999998,1.556,8,False,43.38,66,8,9928017.0,1241002.12,B,中華民國,保護級
29380,失明,-0.913,-0.71,-0.72,0.964,-0.072,7,False,31.0,71,7,2419129.0,345589.86,C,中華民國,輔15級
29513,異教詭屋,0.152,0.083,-0.061,0.8,0.0,3,False,1.0,1,5,45506.0,15168.67,E,美國,輔15級
29611,交換禮物,1.531,-0.248,-0.153,0.8740454545454546,0.161,40,True,9.62,55,44,8472157.0,211803.92,B,中華民國,普遍級
29653,劇場版「進擊的巨人」完結篇THE LAST ATTACK,0.0,0.0,-0.24,0.8333333333333333,0.0,2,False,1.0,1,3,15790.0,7895.0,E,日本,輔12級
29831,乖女孩,0.03,0.118,-0.351,0.8165,-0.117,3,False,1.0,1,4,52527.0,17509.0,E,美國,限制級
29882,進行曲,-0.904,-0.409,-0.602,0.994,0.012,10,False,37.0,81,10,9878157.0,987815.7,B,中華民國,普遍級
30021,辛辛監獄劇團,-0.357,-0.154,-0.423,0.8,0.0,3,False,1.0,1,5,62087.0,20695.67,E,美國,保護級
30062,鬼吹簫,-0.984,-0.808,-0.722,0.723,-0.554,4,False,27.75,52,4,401685.0,100421.25,D,美國,輔12級
30155,QUEER,-0.464,-0.59,-0.495,0.9385,0.123,8,False,13.0,28,8,1795973.0,224496.62,C,美國,限制級
30366,取精急轉彎,-0.973,-0.611,-0.708,0.71,-0.58,9,False,28.33,53,9,14073573.0,1563730.33,A,挪威,輔15級
30436,泣聲驚魂,-0.977,-0.837,-0.709,0.7855,-0.429,3,False,11.0,15,3,80162.0,26720.67,E,西班牙,輔15級
30497,沈睡的水下巨人,24.091,-0.466,-0.354,-1.674,5.348,11,True,12.27,30,11,2697918.0,245265.27,C,中華民國,普遍級
