gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,previous_round_count,previous_total_amount,re_release_gap_days,previous_avg_amount
13460,仲夏魘,2,True,2019-07-12,2025-09-15,2025-10-19,35,5,5,1224762.0,4577.0,244952.4,915.4,537603.0,2025-09-15~2025-09-21,38,21.0,-0.084,-0.506,-0.931,False,上映中,2019-07-15,2025-10-29 12:08:36,1,1563058.0,2220,312611.6
17126,幻愛,1,False,2020-10-15,2020-10-19,2020-12-20,63,9,9,662692.0,2887.0,73632.44,320.78,273917.0,2020-10-19~2020-10-25,15,6.11,-0.523,-0.358,-0.639,False,下檔,2020-10-19,2025-10-29 12:08:36,0,0.0,0,0.0
21389,們,3,True,2022-05-31,2025-09-15,2025-10-12,28,4,3,41965.0,153.0,13988.33,51.0,18830.0,2025-09-15~2025-09-21,1,1.0,-0.395,0.011,0.032,False,下檔,2022-06-06,2025-10-29 12:08:36,1,1705305.0,1163,341061.0
21930,天黑請斃命,3,True,2022-08-19,2025-09-15,2025-10-12,28,4,2,10360.0,40.0,5180.0,20.0,7042.0,2025-10-06~2025-10-12,1,1.0,1.122,0.0,0.0,False,下檔,2022-08-22,2025-10-29 12:08:36,2,1446970.0,1044,180871.25
22894,一一 25周年4K數位修復版,1,False,2025-09-19,2025-09-22,2025-10-26,35,5,5,3482591.0,13073.0,696518.2,2614.6,1623554.0,2025-09-22~2025-09-28,25,16.8,-0.391,-0.365,-0.632,False,上映中,2025-09-22,2025-10-29 12:08:36,0,0.0,0,0.0
23322,阿凡達：水之道,3,True,2022-12-14,2023-05-29,2023-08-06,70,10,10,590733.0,6314.0,59073.3,631.4,151407.0,2023-06-05~2023-06-11,5,3.2,0.63,0.033,-0.624,False,下檔,2022-12-19,2025-10-29 12:08:36,2,591049747.0,22,21336821.34
23548,日麗,8,True,2023-01-25,2025-09-22,2025-10-19,28,4,3,188491.0,639.0,62830.33,213.0,67575.0,2025-09-22~2025-09-28,1,1.0,-0.109,0.003,0.008,False,上映中,2023-02-06,2025-10-29 12:08:36,2,5290869.0,806,222739.12
23614,我的鯨魚老爸,4,True,2023-02-02,2025-09-22,2025-10-26,35,5,3,75755.0,268.0,25251.67,89.33,29020.0,2025-10-20~2025-10-26,1,1.0,-0.223,0.0,0.0,False,上映中,2023-02-06,2025-10-29 12:08:36,1,9366774.0,862,669055.29
24046,寶可噩夢,2,True,2023-04-21,2025-09-15,2025-10-19,35,5,3,41773.0,153.0,13924.33,51.0,17173.0,2025-09-29~2025-10-05,1,1.0,0.285,0.0,0.0,False,上映中,2023-04-24,2025-10-29 12:08:36,1,1046489.0,834,174414.83
24086,Fishmans,1,False,2023-04-21,2023-04-24,2023-06-04,42,6,6,293475.0,1194.0,48912.5,199.0,177625.0,2023-04-24~2023-04-30,8,4.33,-0.539,-0.275,0.042,False,下檔,2023-04-24,2025-10-29 12:08:36,0,0.0,0,0.0
25044,之前的我們,5,True,2023-07-28,2025-09-22,2025-10-19,28,4,2,153892.0,522.0,76946.0,261.0,97976.0,2025-09-22~2025-09-28,1,1.0,-0.429,0.0,0.0,False,上映中,2023-07-31,2025-10-29 12:08:36,2,7689129.0,211,349621.19
25045,鬼手鬼手 請開口,4,True,2023-08-11,2025-09-15,2025-10-12,28,4,3,44381.0,158.0,14793.67,52.67,16671.0,2025-09-15~2025-09-21,1,1.0,-0.136,-0.025,-0.076,False,下檔,2023-08-14,2025-10-29 12:08:36,3,4525968.0,50,217053.93
26305,夢行者保羅,3,True,2023-12-04,2025-09-15,2025-10-19,35,5,3,41074.0,153.0,13691.33,51.0,18000.0,2025-09-29~2025-10-05,1,1.0,0.766,0.0,0.0,False,上映中,2023-12-04,2025-10-29 12:08:36,1,2743366.0,603,391909.43
26439,鬼才之道,3,True,2024-08-07,2025-08-11,2025-09-07,28,4,2,64800.0,288.0,32400.0,144.0,47200.0,2025-09-01~2025-09-07,2,1.5,1.682,0.0,0.0,False,下檔,2024-08-12,2025-10-29 12:08:36,1,46180628.0,155,1649308.14
26514,紅豬,3,True,2024-01-01,2025-09-01,2025-10-19,49,7,7,11458379.0,42785.0,1636911.29,6112.14,6081169.0,2025-09-01~2025-09-07,88,55.57,-0.427,-0.575,-0.882,False,上映中,2024-01-01,2025-10-29 12:08:36,1,105460.0,281,26365.0
26625,貓王與我,2,True,2024-01-26,2025-09-22,2025-10-12,21,3,2,25650.0,92.0,12825.0,46.0,15510.0,2025-09-22~2025-09-28,1,1.0,-0.346,0.0,0.0,False,下檔,2024-01-29,2025-10-29 12:08:36,1,278141.0,568,55628.2
