gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,second_week_amount_growth_rate,momentum_3w,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,momentum_score,promotion_urgency_score,early_decline_weeks,long_tail_weeks,momentum_status,promotion_level,avg_ticket_price,previous_round_count,previous_total_amount,re_release_gap_days,previous_avg_amount,same_class_amount_last_week,market_heat_level
13460,仲夏魘,2,True,2019-07-12,2025-09-15,2025-10-19,35,5,5,1224762.0,4577.0,244952.4,915.4,537603.0,2025-09-15~2025-09-21,38,21.0,-0.084,-0.533,-0.506,-0.931,False,下檔,2019-07-08,2025-11-03 11:04:38,-0.99,9.93,4,2,衰退,需行動,267.59,1,2453110.0,2220,408851.67,0,C
17126,幻愛,1,False,2020-10-15,2020-10-12,2020-12-20,70,10,10,943613.0,4123.0,94361.3,412.3,280921.0,2020-10-12~2020-10-18,15,7.0,-0.443,-0.48,-0.323,-0.639,False,下檔,2020-10-12,2025-11-03 11:04:38,-0.95,9.52,3,2,衰退,需行動,228.87,0,0.0,0,0.0,0,C
21389,們,2,True,2022-05-31,2025-09-15,2025-10-12,28,4,3,41965.0,153.0,13988.33,51.0,18830.0,2025-09-15~2025-09-21,1,1.0,-0.395,-0.182,0.011,0.032,False,下檔,2022-05-30,2025-11-03 11:04:38,-0.376,0.0,0,3,衰退,正常,274.28,1,3332467.0,1163,555411.17,0,E
21930,天黑請斃命,2,True,2022-08-19,2022-10-10,2022-11-06,28,4,4,44734.0,452.0,11183.5,113.0,18307.0,2022-10-17~2022-10-23,3,2.25,1.578,0.22,0.165,-0.79,False,下檔,2022-08-15,2025-11-03 11:04:38,-0.816,7.56,2,2,衰退,需行動,98.97,1,2477870.0,22,495574.0,0,E
22894,一一,1,False,2025-10-01,2025-09-29,2025-11-02,35,5,5,1895697.0,7123.0,379139.4,1424.6,989335.0,2025-09-29~2025-10-05,25,12.4,-0.538,-0.636,-0.504,-0.407,False,上映中,2025-09-29,2025-11-03 11:04:38,-0.782,8.74,4,2,衰退,需行動,266.14,1,4742658.0,-27,790443.0,0,C
23322,阿凡達：水之道,3,True,2022-12-14,2023-05-29,2023-08-06,70,10,10,590733.0,6314.0,59073.3,631.4,151407.0,2023-06-05~2023-06-11,5,3.2,0.63,0.094,0.033,-0.624,False,下檔,2022-12-12,2025-11-03 11:04:38,0.252,3.41,1,4,成長中,注意,93.56,2,746464676.0,22,25114201.34,0,D
23548,日麗,3,True,2023-01-25,2025-09-22,2025-10-19,28,4,3,188491.0,639.0,62830.33,213.0,67575.0,2025-09-22~2025-09-28,1,1.0,-0.109,-0.05,0.003,0.008,False,下檔,2023-01-23,2025-11-03 11:04:38,-0.102,0.0,0,3,穩定,正常,294.98,2,5337789.0,806,244843.74,0,D
23614,我的鯨魚老爸,2,True,2023-02-02,2025-09-22,2025-10-26,35,5,3,75755.0,268.0,25251.67,89.33,29020.0,2025-10-20~2025-10-26,1,1.0,-0.223,0.098,0.0,0.0,False,上映中,2023-01-30,2025-11-03 11:04:38,0.104,0.0,0,3,穩定,正常,282.67,1,10699271.0,862,713284.73,0,E
24046,寶可噩夢,2,True,2023-04-21,2025-09-15,2025-10-19,35,5,3,41773.0,153.0,13924.33,51.0,17173.0,2025-09-29~2025-10-05,1,1.0,0.285,-0.03,0.0,0.0,False,下檔,2023-04-17,2025-11-03 11:04:38,-0.159,0.0,1,3,穩定,正常,273.03,1,1653627.0,834,236232.43,0,E
24086,Fishmans,1,False,2023-04-21,2023-04-17,2023-06-04,49,7,7,398633.0,1651.0,56947.57,235.86,177625.0,2023-04-24~2023-04-30,8,4.86,-0.276,-0.538,-0.236,0.042,False,下檔,2023-04-17,2025-11-03 11:04:38,-0.802,7.62,0,2,衰退,需行動,241.45,0,0.0,0,0.0,0,D
