gov_id,title_zh,release_round,is_re_release,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at
13460,仲夏魘,1,False,2019-07-08,2019-08-18,42,6,6,2453110.0,10948.0,408851.67,1824.67,959929.0,2019-07-15~2019-07-21,19,10.5,0.079,-0.419,-0.812,False,下檔,2019-07-08,2025-10-29 11:24:08
13460,仲夏魘,2,True,2025-09-15,2025-10-19,35,5,5,1224762.0,4577.0,244952.4,915.4,537603.0,2025-09-15~2025-09-21,38,21.0,-0.084,-0.506,-0.931,False,下檔,2019-07-08,2025-10-29 11:24:08
17126,幻愛,1,False,2020-10-12,2020-12-20,70,10,10,943613.0,4123.0,94361.3,412.3,280921.0,2020-10-12~2020-10-18,15,7.0,-0.025,-0.323,-0.639,False,下檔,2020-10-12,2025-10-29 11:24:08
21389,們,1,False,2022-05-30,2022-07-10,42,6,6,3332467.0,13867.0,555411.17,2311.17,1627162.0,2022-05-30~2022-06-05,56,32.83,-0.302,-0.536,-0.806,False,下檔,2022-05-30,2025-10-29 11:24:08
21389,們,3,True,2025-09-15,2025-10-12,28,4,3,41965.0,153.0,13988.33,51.0,18830.0,2025-09-15~2025-09-21,1,1.0,-0.395,0.011,0.032,False,下檔,2022-05-30,2025-10-29 11:24:08
21930,天黑請斃命,1,False,2022-08-15,2022-09-18,35,5,5,2477870.0,10160.0,495574.0,2032.0,1106268.0,2022-08-22~2022-08-28,83,57.6,0.028,-0.514,-0.97,False,下檔,2022-08-15,2025-10-29 11:24:08
21930,天黑請斃命,2,True,2022-10-10,2022-11-06,28,4,4,44734.0,452.0,11183.5,113.0,18307.0,2022-10-17~2022-10-23,3,2.25,1.578,0.165,-0.79,False,下檔,2022-08-15,2025-10-29 11:24:08
21930,天黑請斃命,3,True,2025-09-15,2025-10-12,28,4,2,10360.0,40.0,5180.0,20.0,7042.0,2025-10-06~2025-10-12,1,1.0,1.122,0.0,0.0,False,下檔,2022-08-15,2025-10-29 11:24:08
22894,一一 25周年4K數位修復版,1,False,2025-09-15,2025-10-26,42,6,6,4742658.0,17656.0,790443.0,2942.67,1623554.0,2025-09-22~2025-09-28,25,18.17,0.288,-0.304,-0.632,False,下檔,2025-09-15,2025-10-29 11:24:08
23322,阿凡達：水之道,1,False,2022-12-12,2023-03-26,105,15,15,744724335.0,2228483.0,49648289.0,148565.53,169116379.0,2022-12-19~2022-12-25,101,79.27,0.088,-0.309,-0.727,True,下檔,2022-12-12,2025-10-29 11:24:08
