gov_id,gov_title_zh,gov_title_en,region,rating_class,publisher,film_length,release_round,release_start,release_end,release_days,total_weeks,total_amount,total_tickets,peak_amount,is_long_tail,status,update_at
13460,仲夏魘,MIDSOMMAR,美國,限制級,車庫娛樂股份有限公司,,2.0,2025-09-15,2025-10-19,35.0,5.0,1224762.0,4577.0,537603.0,False,上映中,2025-10-29 14:03:59
17126,幻愛,Beyond the Dream,香港,輔12級,光年映畫有限公司,,1.0,2020-10-19,2020-12-20,63.0,9.0,662692.0,2887.0,273917.0,False,下檔,2025-10-29 14:03:59
21389,們,MEN,英國,限制級,車庫娛樂股份有限公司,,2.0,2025-09-15,2025-10-12,28.0,4.0,41965.0,153.0,18830.0,False,下檔,2025-10-29 14:03:59
21930,天黑請斃命,BODIES BODIES BODIES,美國,輔15級,美商台灣索尼影業發行股份有限公司台灣分公司,,3.0,2025-09-15,2025-10-12,28.0,4.0,10360.0,40.0,7042.0,False,下檔,2025-10-29 14:03:59
22894,一一 25周年4K數位修復版,YIYI-A ONE AND A TWO,中華民國,保護級,傳影互動股份有限公司,,1.0,2025-09-22,2025-10-26,35.0,5.0,3482591.0,13073.0,1623554.0,False,上映中,2025-10-29 14:03:59
23322,阿凡達：水之道,AVATAR: THE WAY OF WATER,美國,保護級,博偉電影股份有限公司,,2.0,2023-05-29,2023-08-06,70.0,10.0,590733.0,6314.0,151407.0,False,下檔,2025-10-29 14:03:59
23548,日麗,Aftersun,英國,保護級,東昊影業有限公司,,2.0,2025-09-22,2025-10-19,28.0,4.0,188491.0,639.0,67575.0,False,上映中,2025-10-29 14:03:59
23614,我的鯨魚老爸,THE WHALE,美國,保護級,車庫娛樂股份有限公司,,2.0,2025-09-22,2025-10-26,35.0,5.0,75755.0,268.0,29020.0,False,上映中,2025-10-29 14:03:59
24046,寶可噩夢,Beau Is Afraid,美國,限制級,薩摩亞商雄讚股份有限公司台灣分公司,,2.0,2025-09-15,2025-10-19,35.0,5.0,41773.0,153.0,17173.0,False,上映中,2025-10-29 14:03:59
24086,Fishmans,The Fishmans Movie,日本,普遍級,造次文化有限公司,,1.0,2023-04-24,2023-06-04,42.0,6.0,293475.0,1194.0,177625.0,False,下檔,2025-10-29 14:03:59
25044,之前的我們,PAST LIVES,美國,普遍級,車庫娛樂股份有限公司,,3.0,2025-09-22,2025-10-19,28.0,4.0,153892.0,522.0,97976.0,False,上映中,2025-10-29 14:03:59
25045,鬼手鬼手 請開口,Talk to Me,英國,輔15級,薩摩亞商雄讚股份有限公司台灣分公司,,3.0,2025-09-15,2025-10-12,28.0,4.0,44381.0,158.0,16671.0,False,下檔,2025-10-29 14:03:59
26305,夢行者保羅,DREAM SCENARIO,美國,輔12級,車庫娛樂股份有限公司,,2.0,2025-09-15,2025-10-19,35.0,5.0,41074.0,153.0,18000.0,False,上映中,2025-10-29 14:03:59
