gov_id,gov_title_zh,gov_title_en,region,rating_class,official_release_date_gov,publisher,film_length,director,actor_list,source_file,title_zh,release_round,is_re_release,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,previous_round_count,previous_total_amount,re_release_gap_days,previous_avg_amount
13460,仲夏魘,MIDSOMMAR,美國,限制級,2019-07-12,車庫娛樂股份有限公司,,,,13460_仲夏魘.csv,仲夏魘,2.0,True,2025-09-15,2025-10-19,35.0,5.0,5.0,1224762.0,4577.0,244952.4,915.4,537603.0,2025-09-15~2025-09-21,38.0,21.0,-0.084,-0.506,-0.931,False,上映中,2019-07-15,2025-10-29 14:03:59,1.0,1563058.0,2220.0,312611.6
17126,幻愛,Beyond the Dream,香港,輔12級,2020-10-15,光年映畫有限公司,,周冠威,蔡思韵; 劉俊謙; 潘燦良; 鮑起靜; 張滿源; 黃嵐; 魏綺珊; 駱振偉; 蘇皓兒,17126_幻愛.csv,幻愛,1.0,False,2020-10-19,2020-12-20,63.0,9.0,9.0,662692.0,2887.0,73632.44,320.78,273917.0,2020-10-19~2020-10-25,15.0,6.11,-0.523,-0.358,-0.639,False,下檔,2020-10-19,2025-10-29 14:03:59,0.0,0.0,0.0,0.0
21389,們,MEN,英國,限制級,2022-05-31,車庫娛樂股份有限公司,,九把刀,柯震東; 陳妍希; 敖犬; 胡家瑋; 郝劭文; 蔡昌憲; 鄢勝宇; 柯義浤; 王彩樺; 李維維; 邱彥翔; 李鳳新; 段正平; 高麗紅[TW]; 蔡武雄; 許麗娜; 劉雨辰; 陳永晉; 嚴藝文; 賴炳輝; 陳繼平,21389_們.csv,們,2.0,True,2025-09-15,2025-10-12,28.0,4.0,3.0,41965.0,153.0,13988.33,51.0,18830.0,2025-09-15~2025-09-21,1.0,1.0,-0.395,0.011,0.032,False,下檔,2022-06-06,2025-10-29 14:03:59,1.0,1705305.0,1163.0,341061.0
21930,天黑請斃命,BODIES BODIES BODIES,美國,輔15級,2022-08-19,美商台灣索尼影業發行股份有限公司台灣分公司,,哈琳娜瑞金,雅蔓德拉史坦柏; 瑪麗亞巴卡洛娃; 瑞秋森諾特; 雀絲蘇萬德斯; 彼得戴維森; 麥哈拉哈羅德; 李培斯; Conner O'Malley; Semih Senturk,21930_天黑請斃命.csv,天黑請斃命,3.0,True,2025-09-15,2025-10-12,28.0,4.0,2.0,10360.0,40.0,5180.0,20.0,7042.0,2025-10-06~2025-10-12,1.0,1.0,1.122,0.0,0.0,False,下檔,2022-08-22,2025-10-29 14:03:59,2.0,1446970.0,1044.0,180871.25
22894,一一 25周年4K數位修復版,YIYI-A ONE AND A TWO,中華民國,保護級,2025-09-19,傳影互動股份有限公司,,,,22894_一一 25周年4K數位修復版.csv,一一 25周年4K數位修復版,1.0,False,2025-09-22,2025-10-26,35.0,5.0,5.0,3482591.0,13073.0,696518.2,2614.6,1623554.0,2025-09-22~2025-09-28,25.0,16.8,-0.391,-0.365,-0.632,False,上映中,2025-09-22,2025-10-29 14:03:59,0.0,0.0,0.0,0.0
23322,阿凡達：水之道,AVATAR: THE WAY OF WATER,美國,保護級,2022-12-14,博偉電影股份有限公司,,詹姆斯卡麥隆,山姆沃辛頓; 柔伊莎達娜; 楊紫瓊; 凱特溫絲蕾; 雪歌妮薇佛; 傑梅奈克萊門特; 奧娜卓別林; 喬凡尼瑞比希; 史帝芬朗; 愛迪法珂; 克里夫柯提斯; 克蘿伊科爾曼; CCH龐德 CCH Pounder; 喬大衛摩爾; 貝里巴斯; 傑米弗拉特斯; 傑克查恩,23322_阿凡達：水之道.csv,阿凡達：水之道,2.0,True,2023-05-29,2023-08-06,70.0,10.0,10.0,590733.0,6314.0,59073.3,631.4,151407.0,2023-06-05~2023-06-11,5.0,3.2,0.63,0.033,-0.624,False,下檔,2022-12-19,2025-10-29 14:03:59,1.0,589309406.0,64.0,42093529.0
23548,日麗,Aftersun,英國,保護級,2023-01-25,東昊影業有限公司,,Charlotte Wells,保羅梅茲卡爾; Frankie Corio; Celia Rowlson-Hall; Kayleigh Coleman; Sally Messham; Harry Perdios; Ethan Smith; Ruby Thompson; Brooklyn Toulson,23548_日麗.csv,日麗,2.0,True,2025-09-22,2025-10-19,28.0,4.0,3.0,188491.0,639.0,62830.33,213.0,67575.0,2025-09-22~2025-09-28,1.0,1.0,-0.109,0.003,0.008,False,上映中,2023-02-06,2025-10-29 14:03:59,1.0,5272579.0,848.0,439381.58
23614,我的鯨魚老爸,THE WHALE,美國,保護級,2023-02-02,車庫娛樂股份有限公司,,戴倫亞洛諾夫斯基,布蘭登費雪; 莎蒂辛克; 周洪; 泰辛普金斯; 珊曼莎摩頓; Sathya Sridharan; Jacey Sink,23614_我的鯨魚老爸.csv,我的鯨魚老爸,2.0,True,2025-09-22,2025-10-26,35.0,5.0,3.0,75755.0,268.0,25251.67,89.33,29020.0,2025-10-20~2025-10-26,1.0,1.0,-0.223,0.0,0.0,False,上映中,2023-02-06,2025-10-29 14:03:59,1.0,9366774.0,862.0,669055.29
24046,寶可噩夢,Beau Is Afraid,美國,限制級,2023-04-21,薩摩亞商雄讚股份有限公司台灣分公司,,亞瑞阿斯特,瓦昆菲尼克斯; 帕可兒波茜; 奈森連恩; 哈莉絲奎爾斯; 艾美萊恩; Richard Kind; 柔伊利斯特瓊斯; Michael Gandolfini; Patti LuPone; Kylie Rogers; 丹尼斯曼努奇; 阿爾緬納哈普蒂安; 史蒂芬亨德森; Julia Antonelli; Theodore Pellerin,24046_寶可噩夢.csv,寶可噩夢,2.0,True,2025-09-15,2025-10-19,35.0,5.0,3.0,41773.0,153.0,13924.33,51.0,17173.0,2025-09-29~2025-10-05,1.0,1.0,0.285,0.0,0.0,False,上映中,2023-04-24,2025-10-29 14:03:59,1.0,1046489.0,834.0,174414.83
24086,Fishmans,The Fishmans Movie,日本,普遍級,2023-04-21,造次文化有限公司,,,,24086_Fishmans.csv,Fishmans,1.0,False,2023-04-24,2023-06-04,42.0,6.0,6.0,293475.0,1194.0,48912.5,199.0,177625.0,2023-04-24~2023-04-30,8.0,4.33,-0.539,-0.275,0.042,False,下檔,2023-04-24,2025-10-29 14:03:59,0.0,0.0,0.0,0.0
25044,之前的我們,PAST LIVES,美國,普遍級,2023-07-28,車庫娛樂股份有限公司,,席琳宋,劉台午; 約翰馬加羅; 葛麗塔李,25044_之前的我們.csv,之前的我們,3.0,True,2025-09-22,2025-10-19,28.0,4.0,2.0,153892.0,522.0,76946.0,261.0,97976.0,2025-09-22~2025-09-28,1.0,1.0,-0.429,0.0,0.0,False,上映中,2023-07-31,2025-10-29 14:03:59,2.0,7689129.0,211.0,349621.19
25045,鬼手鬼手 請開口,Talk to Me,英國,輔15級,2023-08-11,薩摩亞商雄讚股份有限公司台灣分公司,,麥可菲利浦; 丹尼菲利普,蘇菲魏爾德; 柔伊泰拉克斯; 喬伯德; 克里斯阿洛西奧,25045_鬼手鬼手 請開口.csv,鬼手鬼手 請開口,3.0,True,2025-09-15,2025-10-12,28.0,4.0,3.0,44381.0,158.0,14793.67,52.67,16671.0,2025-09-15~2025-09-21,1.0,1.0,-0.136,-0.025,-0.076,False,下檔,2023-08-14,2025-10-29 14:03:59,2.0,4515713.0,652.0,323871.73
26305,夢行者保羅,DREAM SCENARIO,美國,輔12級,2023-12-04,車庫娛樂股份有限公司,,克里斯多佛博格利,麥可塞拉; 狄倫貝克; 尼可拉斯凱吉; 茱莉安娜妮克遜,26305_夢行者保羅.csv,夢行者保羅,2.0,True,2025-09-15,2025-10-19,35.0,5.0,3.0,41074.0,153.0,13691.33,51.0,18000.0,2025-09-29~2025-10-05,1.0,1.0,0.766,0.0,0.0,False,上映中,2023-12-04,2025-10-29 14:03:59,1.0,2743366.0,603.0,391909.43
26439,鬼才之道,Dead Talents Society,中華民國,輔12級,2024-08-07,牽猴子股份有限公司,,徐漢強,百白; 陳柏霖; 張榕容; 王淨; 曾威豪; 姚以緹,26439_鬼才之道.csv,鬼才之道,2.0,True,2025-08-11,2025-09-07,28.0,4.0,2.0,64800.0,288.0,32400.0,144.0,47200.0,2025-09-01~2025-09-07,2.0,1.5,1.682,0.0,0.0,False,下檔,2024-08-12,2025-10-29 14:03:59,1.0,46180628.0,155.0,1649308.14
26514,紅豬,Porco Rosso,日本,普遍級,2024-01-01,香港商甲上娛樂有限公司台灣分公司,,宮崎駿,岡村明美; 上條恆彥; 桂三枝; 森山周一郎; 加藤登紀子,26514_紅豬.csv,紅豬,2.0,True,2025-09-01,2025-10-19,49.0,7.0,7.0,11458379.0,42785.0,1636911.29,6112.14,6081169.0,2025-09-01~2025-09-07,88.0,55.57,-0.427,-0.575,-0.882,False,上映中,2024-10-14,2025-10-29 14:03:59,1.0,105460.0,281.0,26365.0
