gov_id,title_zh,total_amount,avg_amount_per_week,decline_rate_mean,decline_rate_last,peak_amount,avg_theater_count,peak_theater_count,total_weeks,momentum_score,second_week_amount_growth_rate,momentum_3w,region,movie_class,film_length,publisher,same_class_amount_last_week
13460,仲夏魘,1224762.0,244952.4,-0.506,-0.931,537603.0,21.0,38,5,-0.99,-0.084,-0.533,美國,限制級,,車庫娛樂股份有限公司,2439313.4121276597
17126,幻愛,943613.0,94361.3,-0.323,-0.639,280921.0,7.0,15,10,-0.95,-0.443,-0.48,香港,輔12級,,光年映畫有限公司,1046015.47
21389,們,41965.0,13988.33,0.011,0.032,18830.0,1.0,1,4,-0.376,-0.395,-0.182,英國,限制級,,車庫娛樂股份有限公司,153621.79833333334
21930,天黑請斃命,44734.0,11183.5,0.165,-0.79,18307.0,2.25,3,4,-0.816,1.578,0.22,美國,輔15級,,美商台灣索尼影業發行股份有限公司台灣分公司,2439313.4121276597
22894,一一,1895697.0,379139.4,-0.504,-0.407,989335.0,12.4,25,5,-0.782,-0.538,-0.636,中華民國,保護級,,傳影互動股份有限公司,3483269.1605
22894,一一,1895697.0,379139.4,-0.504,-0.407,989335.0,12.4,25,5,-0.782,-0.538,-0.636,中華民國,保護級,,傳影互動股份有限公司,3483269.1605
23322,阿凡達：水之道,590733.0,59073.3,0.033,-0.624,151407.0,3.2,5,10,0.252,0.63,0.094,美國,保護級,,博偉電影股份有限公司,2439313.4121276597
23548,日麗,188491.0,62830.33,0.003,0.008,67575.0,1.0,1,4,-0.102,-0.109,-0.05,英國,保護級,,東昊影業有限公司,153621.79833333334
23614,我的鯨魚老爸,75755.0,25251.67,0.0,0.0,29020.0,1.0,1,5,0.104,-0.223,0.098,美國,保護級,,車庫娛樂股份有限公司,2439313.4121276597
24046,寶可噩夢,41773.0,13924.33,0.0,0.0,17173.0,1.0,1,5,-0.159,0.285,-0.03,美國,限制級,,薩摩亞商雄讚股份有限公司台灣分公司,2439313.4121276597
24086,Fishmans,398633.0,56947.57,-0.236,0.042,177625.0,4.86,8,7,-0.802,-0.276,-0.538,日本,普遍級,,造次文化有限公司,4661519.714814815
25044,之前的我們,4440.0,634.29,0.521,0.0,1600.0,1.14,2,8,2.156,-0.304,-0.119,美國,普遍級,,車庫娛樂股份有限公司,2439313.4121276597
25045,鬼手鬼手 請開口,44381.0,14793.67,-0.025,-0.076,16671.0,1.0,1,4,-0.202,-0.136,-0.106,英國,輔15級,,薩摩亞商雄讚股份有限公司台灣分公司,153621.79833333334
26305,夢行者保羅,41074.0,13691.33,0.0,0.0,18000.0,1.0,1,5,0.264,0.766,0.241,美國,輔12級,,車庫娛樂股份有限公司,2439313.4121276597
26439,鬼才之道,61115916.0,2107445.38,0.174,-0.747,14935288.0,34.17,99,31,-0.753,-0.319,-0.264,中華民國,輔12級,,牽猴子股份有限公司,3483269.1605
26514,紅豬,11458379.0,1636911.29,-0.575,-0.882,6081169.0,55.57,88,7,-0.962,-0.427,-0.558,日本,普遍級,,香港商甲上娛樂有限公司台灣分公司,4661519.714814815
26625,貓王與我,25650.0,12825.0,0.0,0.0,15510.0,1.0,1,3,0.0,-0.346,0.0,美國,保護級,,車庫娛樂股份有限公司,2439313.4121276597
26779,夢想集中營,115875.0,57937.5,0.0,0.0,76975.0,1.0,1,3,0.0,-0.495,0.0,英國,保護級,,車庫娛樂股份有限公司,153621.79833333334
27106,河鰻,739058.0,147811.6,0.083,-0.437,418336.0,9.2,14,5,-0.969,-0.819,-0.671,中華民國,輔15級,,底噪影像有限公司,3483269.1605
27343,帝國浩劫：美國內戰,38762.0,12920.67,0.0,0.0,13620.0,1.0,1,5,0.182,0.181,0.09,美國,輔15級,,車庫娛樂股份有限公司,2439313.4121276597
27899,96分鐘,196353314.0,21817034.89,2.067,-0.826,39730790.0,92.56,94,9,-0.848,0.0,-0.046,中華民國,輔12級,,華影國際影藝有限公司,3483269.1605
29081,粗獷派建築師,110178.0,36726.0,0.165,0.442,46838.0,1.0,1,3,0.518,0.053,0.248,美國,輔12級,,美商美國環球影片股份有限公司台灣分公司,2439313.4121276597
29111,台灣超人,370440.0,61740.0,0.518,-0.219,93080.0,2.33,5,7,2.027,0.477,-0.125,中華民國,普遍級,,牽猴子股份有限公司,3483269.1605
29378,我家的事,9928017.0,1241002.12,1.556,-0.772,3264678.0,43.38,66,8,-0.93,-0.471,-0.418,中華民國,保護級,,酷映有影工作室有限公司,3483269.1605
29380,失明,2419129.0,345589.86,-0.072,-0.464,1220588.0,31.0,71,7,-0.913,-0.72,-0.71,中華民國,輔15級,,周子娛樂有限公司,3483269.1605
29513,異教詭屋,45506.0,15168.67,0.0,0.0,16960.0,1.0,1,5,0.152,-0.061,0.083,美國,輔15級,,車庫娛樂股份有限公司,2439313.4121276597
29611,交換禮物,8472157.0,211803.92,0.161,0.0,1470683.0,9.62,55,44,1.531,-0.153,-0.248,中華民國,普遍級,,台北双喜電影發行股份有限公司,3483269.1605
29653,劇場版「進擊的巨人」完結篇THE LAST ATTACK,15790.0,7895.0,0.0,0.0,8970.0,1.0,1,3,0.0,-0.24,0.0,日本,輔12級,,木棉花國際股份有限公司,4661519.714814815
29831,乖女孩,52527.0,17509.0,-0.117,0.0,20190.0,1.0,1,4,0.03,-0.351,0.118,美國,限制級,,車庫娛樂股份有限公司,2439313.4121276597
29882,進行曲,9878157.0,987815.7,0.012,-0.859,2629324.0,37.0,81,10,-0.904,-0.602,-0.409,中華民國,普遍級,,華映國際文創股份有限公司,3483269.1605
30021,辛辛監獄劇團,62087.0,20695.67,0.0,0.0,27960.0,1.0,1,5,-0.357,-0.423,-0.154,美國,保護級,,薩摩亞商雄讚股份有限公司台灣分公司,2439313.4121276597
30062,鬼吹簫,401685.0,100421.25,-0.554,-0.77,263012.0,27.75,52,4,-0.984,-0.722,-0.808,美國,輔12級,,車庫娛樂股份有限公司,2439313.4121276597
30155,QUEER,1795973.0,224496.62,0.123,-0.086,715372.0,13.0,28,8,-0.464,-0.495,-0.59,美國,限制級,,采昌國際多媒體股份有限公司,2439313.4121276597
30366,取精急轉彎,14073573.0,1563730.33,-0.58,-0.76,6642009.0,28.33,53,9,-0.973,-0.708,-0.611,挪威,輔15級,,原創娛樂股份有限公司,794486.165
30436,泣聲驚魂,80162.0,26720.67,-0.429,-0.966,47101.0,11.0,15,3,-0.977,-0.709,-0.837,西班牙,輔15級,,原創娛樂股份有限公司,27571.17
30497,沈睡的水下巨人,2697918.0,245265.27,5.348,-0.416,1034306.0,12.27,30,11,24.091,-0.354,-0.466,中華民國,普遍級,,牽猴子股份有限公司,3483269.1605
30530,守護我們的星球,7907943.0,359451.95,0.812,-0.831,923159.0,12.55,41,23,2.023,-0.653,-0.245,中華民國,普遍級,,牽猴子股份有限公司,3483269.1605
30560,長椅小情歌,2165856.0,144390.4,-0.163,-0.514,504818.0,7.07,23,15,-0.835,-0.479,-0.336,日本,普遍級,,光年映畫有限公司,4661519.714814815
30636,怪譚搜索,155607.0,31121.4,-0.451,-0.569,86273.0,9.8,22,5,-0.775,-0.681,-0.704,美國,輔12級,,原創娛樂股份有限公司,2439313.4121276597
30655,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,7470120.0,1067160.0,-0.479,-0.842,3037450.0,17.71,31,7,-0.912,-0.617,-0.598,韓國,普遍級,,采昌國際多媒體股份有限公司,1374924.815
30676,我們意外的勇氣,3249101.0,812275.25,4.181,-0.584,2183741.0,40.0,79,5,6.622,0.846,5.857,中華民國,普遍級,,華文創股份有限公司,3483269.1605
30699,此刻的我們,17400.0,5800.0,-0.182,-0.676,7875.0,1.0,1,3,-0.634,0.129,-0.274,美國,輔12級,,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,2439313.4121276597
30704,造山者－世紀的賭注,32014228.0,1524487.05,-0.012,0.173,3858264.0,27.43,59,21,-0.297,-0.438,-0.221,中華民國,普遍級,,視納華仁文化傳播股份有限公司,3483269.1605
30717,馴龍高手,131971183.0,5998690.14,1.973,-0.962,36493327.0,35.41,95,22,-0.674,6.902,2.211,美國,普遍級,,美商美國環球影片股份有限公司台灣分公司,2439313.4121276597
30738,星際寶貝：史迪奇,105651491.0,5031023.38,-0.215,-0.699,31225707.0,35.43,95,22,-0.617,-0.4,-0.39,美國,保護級,,台灣華特迪士尼股份有限公司,2439313.4121276597
30739,不可能的任務：最終清算,453190315.0,18127612.6,-0.19,-0.739,132919944.0,41.84,95,25,-0.854,-0.474,-0.394,美國,輔12級,,美商美國派拉蒙影片股份有限公司台灣分公司,2439313.4121276597
30808,滿血復活,29603.0,14801.5,0.0,0.0,19160.0,1.0,1,3,0.0,0.835,0.0,美國,限制級,,美商台灣索尼影業發行股份有限公司台灣分公司,2439313.4121276597
30809,名偵探柯南 獨眼的殘像,214891969.0,11310103.63,-0.133,-0.989,71677101.0,47.0,97,19,-0.994,-0.433,-0.405,日本,保護級,,普威爾國際股份有限公司,4661519.714814815
30863,我家妹妹不准嫁,1303617.0,325904.25,-0.356,-0.73,616591.0,18.25,22,4,-0.804,-0.751,-0.585,泰國,輔12級,,仲業股份有限公司,134796.16666666666
30864,世界就是這樣結束的,358553.0,89638.25,-0.278,-0.568,187235.0,10.25,16,4,-0.949,-0.235,-0.562,英國,輔12級,,東昊影業有限公司,153621.79833333334
30960,28年毀滅倒數,114850.0,28712.5,0.543,-0.618,51875.0,1.75,2,4,-0.397,2.213,0.724,美國,限制級,,美商台灣索尼影業發行股份有限公司台灣分公司,2439313.4121276597
31027,F1電影,570415385.0,30021862.37,-0.257,-0.826,96016586.0,72.42,95,19,-0.861,0.102,-0.037,美國,保護級,,美商華納兄弟（遠東）股份有限公司台灣分公司,2439313.4121276597
31037,暗影部隊,1264642.0,252928.4,-0.587,-0.82,700050.0,31.0,62,5,-0.988,-0.679,-0.847,美國,輔12級,,車庫娛樂股份有限公司,2439313.4121276597
31082,地球特派員,36551647.0,2030647.06,10.918,-0.733,12229929.0,31.44,91,18,-0.719,142.587,47.353,美國,普遍級,,台灣華特迪士尼股份有限公司,2439313.4121276597
31123,侏羅紀世界：重生,299137668.0,16618759.33,-0.279,-0.767,109792561.0,47.17,94,18,-0.825,-0.35,-0.424,美國,保護級,,美商美國環球影片股份有限公司台灣分公司,2439313.4121276597
31128,窒友梅根 2.0,87265.0,17453.0,-0.12,-0.675,40305.0,1.4,2,5,-0.903,1.259,0.025,美國,輔15級,,美商美國環球影片股份有限公司台灣分公司,2439313.4121276597
31158,黑白線人,1129371.0,225874.2,-0.481,-0.876,503703.0,23.6,38,5,-0.986,-0.538,-0.715,韓國,限制級,,可樂藝術文創股份有限公司,1374924.815
31159,皇家保姆亞瑟,165385.0,33077.0,-0.427,-0.921,83803.0,9.2,18,5,-0.93,-0.661,-0.555,泰國,普遍級,,可樂藝術文創股份有限公司,134796.16666666666
31186,超人,87895470.0,5493466.88,-0.429,-0.784,39777558.0,36.69,95,17,-0.834,-0.4,-0.504,美國,保護級,,美商華納兄弟（遠東）股份有限公司台灣分公司,2439313.4121276597
31190,電影哆啦A夢：大雄的繪畫世界物語,58218665.0,3638666.56,-0.259,-0.959,13994814.0,42.75,86,16,-0.918,-0.534,-0.383,日本,普遍級,,車庫娛樂股份有限公司,4661519.714814815
31191,病毒,783935.0,195983.75,-0.584,-0.988,489419.0,40.75,68,4,-0.999,-0.768,-0.882,韓國,保護級,,車庫娛樂股份有限公司,1374924.815
