gov_id,title_zh,total_amount,avg_amount_per_week,decline_rate_mean,is_long_tail,release_days,release_round,previous_total_amount,re_release_gap_days,long_tail_strength,region,movie_class,publisher
13460,仲夏魘,1224762.0,244952.4,-0.506,False,35,2,2453110.0,2220,0.8851291777986592,美國,限制級,車庫娛樂股份有限公司
17126,幻愛,943613.0,94361.3,-0.323,False,70,1,0.0,0,1.6233750996844971,香港,輔12級,光年映畫有限公司
21389,們,41965.0,13988.33,0.011,False,28,2,3332467.0,1163,1.5917340953973251,英國,限制級,車庫娛樂股份有限公司
21930,天黑請斃命,44734.0,11183.5,0.165,False,28,2,2477870.0,22,1.3438806568824737,美國,輔15級,美商台灣索尼影業發行股份有限公司台灣分公司
22894,一一,1895697.0,379139.4,-0.504,False,35,1,4742658.0,-27,0.8887126967371153,中華民國,保護級,傳影互動股份有限公司
22894,一一,1895697.0,379139.4,-0.504,False,35,1,4742658.0,-27,0.8887126967371153,中華民國,保護級,傳影互動股份有限公司
23322,阿凡達：水之道,590733.0,59073.3,0.033,False,70,3,746464676.0,22,2.3187647287960242,美國,保護級,博偉電影股份有限公司
23548,日麗,188491.0,62830.33,0.003,False,28,3,5337789.0,806,1.6046095986967979,英國,保護級,東昊影業有限公司
23614,我的鯨魚老爸,75755.0,25251.67,0.0,False,35,2,10699271.0,862,1.791759469228055,美國,保護級,車庫娛樂股份有限公司
24046,寶可噩夢,41773.0,13924.33,0.0,False,35,2,1653627.0,834,1.791759469228055,美國,限制級,薩摩亞商雄讚股份有限公司台灣分公司
24086,Fishmans,398633.0,56947.57,-0.236,False,49,1,0.0,0,1.5886933378433945,日本,普遍級,造次文化有限公司
25044,之前的我們,4440.0,634.29,0.521,False,56,2,8309019.0,442,1.052470572544049,美國,普遍級,車庫娛樂股份有限公司
25045,鬼手鬼手 請開口,44381.0,14793.67,-0.025,False,28,4,7157278.0,50,1.5692019646232478,英國,輔15級,薩摩亞商雄讚股份有限公司台灣分公司
26305,夢行者保羅,41074.0,13691.33,0.0,False,35,2,2743366.0,603,1.791759469228055,美國,輔12級,車庫娛樂股份有限公司
26439,鬼才之道,61115916.0,2107445.38,0.174,True,217,1,0.0,0,2.8626978557125744,中華民國,輔12級,牽猴子股份有限公司
26514,紅豬,11458379.0,1636911.29,-0.575,False,49,2,57760.0,302,0.8837626552139303,日本,普遍級,香港商甲上娛樂有限公司台灣分公司
26625,貓王與我,25650.0,12825.0,0.0,False,21,2,630041.0,568,1.3862943611198906,美國,保護級,車庫娛樂股份有限公司
26779,夢想集中營,115875.0,57937.5,0.0,False,21,2,3187111.0,512,1.3862943611198906,英國,保護級,車庫娛樂股份有限公司
27106,河鰻,739058.0,147811.6,0.083,False,35,1,0.0,0,1.6430434332821264,中華民國,輔15級,底噪影像有限公司
27343,帝國浩劫：美國內戰,38762.0,12920.67,0.0,False,35,2,22573750.0,435,1.791759469228055,美國,輔15級,車庫娛樂股份有限公司
27899,96分鐘,196353314.0,21817034.89,2.067,False,63,1,0.0,0,-2.4568582942246473,中華民國,輔12級,華影國際影藝有限公司
29081,粗獷派建築師,110178.0,36726.0,0.165,False,21,2,6340754.0,120,1.1575557915351087,美國,輔12級,美商美國環球影片股份有限公司台灣分公司
29111,台灣超人,370440.0,61740.0,0.518,False,49,2,27387382.0,15,1.0022908230896808,中華民國,普遍級,牽猴子股份有限公司
29378,我家的事,9928017.0,1241002.12,1.556,False,56,1,0.0,0,-1.221656864998938,中華民國,保護級,酷映有影工作室有限公司
29380,失明,2419129.0,345589.86,-0.072,False,49,1,0.0,0,1.9297217506788877,中華民國,輔15級,周子娛樂有限公司
29513,異教詭屋,45506.0,15168.67,0.0,False,35,2,3976777.0,239,1.791759469228055,美國,輔15級,車庫娛樂股份有限公司
29611,交換禮物,8472157.0,211803.92,0.161,True,308,1,0.0,0,3.193789828917298,中華民國,普遍級,台北双喜電影發行股份有限公司
29653,劇場版「進擊的巨人」完結篇THE LAST ATTACK,15790.0,7895.0,0.0,False,21,2,144173767.0,36,1.3862943611198906,日本,輔12級,木棉花國際股份有限公司
29831,乖女孩,52527.0,17509.0,-0.117,False,28,2,5232729.0,190,1.4211336766793106,美國,限制級,車庫娛樂股份有限公司
29882,進行曲,9878157.0,987815.7,0.012,False,70,1,0.0,0,2.3691205295247904,中華民國,普遍級,華映國際文創股份有限公司
30021,辛辛監獄劇團,62087.0,20695.67,0.0,False,35,2,293131.0,183,1.791759469228055,美國,保護級,薩摩亞商雄讚股份有限公司台灣分公司
30062,鬼吹簫,401685.0,100421.25,-0.554,False,28,1,0.0,0,0.7178093089456087,美國,輔12級,車庫娛樂股份有限公司
30155,QUEER,1795973.0,224496.62,0.123,False,56,1,0.0,0,1.9269659543238646,美國,限制級,采昌國際多媒體股份有限公司
30366,取精急轉彎,14073573.0,1563730.33,-0.58,False,63,1,0.0,0,0.9670857390574994,挪威,輔15級,原創娛樂股份有限公司
30436,泣聲驚魂,80162.0,26720.67,-0.429,False,21,1,0.0,0,0.7915740801994574,西班牙,輔15級,原創娛樂股份有限公司
30497,沈睡的水下巨人,2697918.0,245265.27,5.348,True,77,1,0.0,0,-10.804374113278225,中華民國,普遍級,牽猴子股份有限公司
30530,守護我們的星球,7907943.0,359451.95,0.812,True,161,1,0.0,0,0.5974741201054137,中華民國,普遍級,牽猴子股份有限公司
30560,長椅小情歌,2165856.0,144390.4,-0.163,True,105,1,0.0,0,2.3206567605146966,日本,普遍級,光年映畫有限公司
30636,怪譚搜索,155607.0,31121.4,-0.451,False,35,1,0.0,0,0.983675948606202,美國,輔12級,原創娛樂股份有限公司
30655,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,7470120.0,1067160.0,-0.479,False,49,1,0.0,0,1.0833890432151945,韓國,普遍級,采昌國際多媒體股份有限公司
30676,我們意外的勇氣,3249101.0,812275.25,4.181,False,35,1,0.0,0,-5.699586871614443,中華民國,普遍級,華文創股份有限公司
30699,此刻的我們,17400.0,5800.0,-0.182,False,21,2,399573.0,99,1.1339887873960706,美國,輔12級,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司
30704,造山者－世紀的賭注,32014228.0,1524487.05,-0.012,True,147,1,0.0,0,3.0539499439180164,中華民國,普遍級,視納華仁文化傳播股份有限公司
30717,馴龍高手,131971183.0,5998690.14,1.973,True,154,1,0.0,0,-3.050835872099063,美國,普遍級,美商美國環球影片股份有限公司台灣分公司
30738,星際寶貝：史迪奇,105651491.0,5031023.38,-0.215,True,154,1,0.0,0,2.4613629595043824,美國,保護級,台灣華特迪士尼股份有限公司
