gov_id,official_release_date,week_range,round_idx,rounds_cumsum,current_week_real_idx,current_week_active_idx,gap_real_week_2to1,gap_real_week_1tocurrent,amount,boxoffice_week_2,boxoffice_week_1,audience_week_2,audience_week_1,screens_week_2,screens_week_1,open_week1_days,open_week1_boxoffice,open_week1_boxoffice_daily_avg,open_week2_boxoffice,,tickets,theater_count
13460,2019/7/12,2019-07-08~2019-07-14,1,1,1,1,0,0,890052,,,,,,,3,890052,296684,959929,,3980,19
13460,2019/7/12,2019-07-15~2019-07-21,1,1,2,2,0,0,959929,,890052,,3980,,19,3,890052,296684,959929,,4255,19
13460,2019/7/12,2019-07-22~2019-07-28,1,1,3,3,0,0,360104,890052,959929,3980,4255,19,19,3,890052,296684,959929,,1621,13
13460,2019/7/12,2019-07-29~2019-08-04,1,1,4,4,0,0,167345,959929,360104,4255,1621,19,13,3,890052,296684,959929,,751,8
13460,2019/7/12,2019-08-05~2019-08-11,1,1,5,5,0,0,63720,360104,167345,1621,751,13,8,3,890052,296684,959929,,288,2
13460,2019/7/12,2019-08-12~2019-08-18,1,1,6,6,0,0,11960,167345,63720,751,288,8,2,3,890052,296684,959929,,53,2
13460,2019/7/12,2019-08-19~2019-08-25,1,1,7,,0,0,0,,,,,,,3,890052,296684,959929,,0,0
13460,2019/7/12,2019-08-26~2019-09-01,1,1,8,,0,0,0,,,,,,,3,890052,296684,959929,,0,0
13460,2019/7/12,2025-09-15~2025-09-21,2,2,1,1,0,0,537603,,,,,,,3,890052,296684,959929,,1983,38
13460,2019/7/12,2025-09-22~2025-09-28,2,2,2,2,0,0,492329,,537603,,1983,,38,3,890052,296684,959929,,1859,38
13460,2019/7/12,2025-09-29~2025-10-05,2,2,3,3,0,0,169103,537603,492329,1983,1859,38,38,3,890052,296684,959929,,634,22
13460,2019/7/12,2025-10-06~2025-10-12,2,2,4,4,0,0,24067,492329,169103,1859,634,38,22,3,890052,296684,959929,,95,6
13460,2019/7/12,2025-10-13~2025-10-19,2,2,5,5,0,0,1660,169103,24067,634,95,22,6,3,890052,296684,959929,,6,1
17126,2020/10/15,2020-10-12~2020-10-18,1,1,1,1,0,0,280921,,,,,,,4,280921,70230.25,273917,,1236,15
17126,2020/10/15,2020-10-19~2020-10-25,1,1,2,2,0,0,273917,,280921,,1236,,15,4,280921,70230.25,273917,,1205,15
17126,2020/10/15,2020-10-26~2020-11-01,1,1,3,3,0,0,130775,280921,273917,1236,1205,15,15,4,280921,70230.25,273917,,560,14
17126,2020/10/15,2020-11-02~2020-11-08,1,1,4,4,0,0,68680,273917,130775,1205,560,15,14,4,280921,70230.25,273917,,286,6
17126,2020/10/15,2020-11-09~2020-11-15,1,1,5,5,0,0,57405,130775,68680,560,286,14,6,4,280921,70230.25,273917,,246,5
17126,2020/10/15,2020-11-16~2020-11-22,1,1,6,6,0,0,46600,68680,57405,286,246,6,5,4,280921,70230.25,273917,,198,4
17126,2020/10/15,2020-11-23~2020-11-29,1,1,7,7,0,0,53270,57405,46600,246,198,5,4,4,280921,70230.25,273917,,230,4
17126,2020/10/15,2020-11-30~2020-12-06,1,1,8,8,0,0,26955,46600,53270,198,230,4,4,4,280921,70230.25,273917,,129,4
