gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
17126,2020-10-15,2020-10-12~2020-10-18,280921.0,1236.0,280921.0,1236,0.0,15,2025-11-03
17126,2020-10-15,2020-10-19~2020-10-25,273917.0,1205.0,554838.0,2441,-0.02493227633391594,15,2025-11-03
17126,2020-10-15,2020-10-26~2020-11-01,130775.0,560.0,685613.0,3001,-0.5225743564656447,14,2025-11-03
17126,2020-10-15,2020-11-02~2020-11-08,68680.0,286.0,754293.0,3287,-0.47482316956604853,6,2025-11-03
17126,2020-10-15,2020-11-09~2020-11-15,57405.0,246.0,811698.0,3533,-0.16416715200931858,5,2025-11-03
17126,2020-10-15,2020-11-16~2020-11-22,46600.0,198.0,858298.0,3731,-0.18822402229770926,4,2025-11-03
17126,2020-10-15,2020-11-23~2020-11-29,53270.0,230.0,911568.0,3961,0.14313304721030043,4,2025-11-03
17126,2020-10-15,2020-11-30~2020-12-06,26955.0,129.0,938523.0,4090,-0.4939928665290032,4,2025-11-03
17126,2020-10-15,2020-12-07~2020-12-13,3740.0,24.0,942263.0,4114,-0.861250231867928,2,2025-11-03
17126,2020-10-15,2020-12-14~2020-12-20,1350.0,9.0,943613.0,4123,-0.6390374331550802,1,2025-11-03
17126,2020-10-15,2020-12-21~2020-12-27,,,943613.0,4123,-1.0,0,2025-11-03
17126,2020-10-15,2020-12-28~2021-01-03,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-01-04~2021-01-10,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-01-11~2021-01-17,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-01-18~2021-01-24,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-01-25~2021-01-31,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-02-01~2021-02-07,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-02-08~2021-02-14,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-02-15~2021-02-21,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-02-22~2021-02-28,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-03-01~2021-03-07,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-03-08~2021-03-14,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-03-15~2021-03-21,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-03-22~2021-03-28,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-03-29~2021-04-04,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-04-05~2021-04-11,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-04-12~2021-04-18,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-04-19~2021-04-25,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-04-26~2021-05-02,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-05-03~2021-05-09,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-05-10~2021-05-16,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-05-17~2021-05-23,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-05-24~2021-05-30,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-05-31~2021-06-06,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-06-07~2021-06-13,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-06-14~2021-06-20,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-06-21~2021-06-27,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-06-28~2021-07-04,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-07-05~2021-07-11,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-07-12~2021-07-18,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-07-19~2021-07-25,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-07-26~2021-08-01,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-08-02~2021-08-08,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-08-09~2021-08-15,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-08-16~2021-08-22,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-08-23~2021-08-29,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-08-30~2021-09-05,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-09-06~2021-09-12,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-09-13~2021-09-19,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-09-20~2021-09-26,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-09-27~2021-10-03,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-10-04~2021-10-10,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-10-11~2021-10-17,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-10-18~2021-10-24,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-10-25~2021-10-31,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-11-01~2021-11-07,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-11-08~2021-11-14,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-11-15~2021-11-21,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-11-22~2021-11-28,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-11-29~2021-12-05,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-12-06~2021-12-12,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-12-13~2021-12-19,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-12-20~2021-12-26,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2021-12-27~2022-01-02,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2022-01-03~2022-01-09,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2022-01-10~2022-01-16,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2022-01-17~2022-01-23,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2022-01-24~2022-01-30,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2022-01-31~2022-02-06,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2022-02-07~2022-02-13,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2022-02-14~2022-02-20,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2022-02-21~2022-02-27,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2022-02-28~2022-03-06,,,943613.0,4123,0.0,0,2025-11-03
17126,2020-10-15,2022-03-07~2022-03-13,,,943613.0,4123,0.0,0,2025-11-03
