week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
2022-05-23~2022-05-29,,,0.0,0,0.0,0,2025-10-12
2022-05-30~2022-06-05,1627162.0,6726.0,1627162.0,6726,0.0,55,2025-10-12
2022-06-06~2022-06-12,1135447.0,4720.0,2762609.0,11446,-0.3021917915978864,56,2025-10-12
2022-06-13~2022-06-19,415865.0,1767.0,3178474.0,13213,-0.6337433627461255,56,2025-10-12
2022-06-20~2022-06-26,119751.0,510.0,3298225.0,13723,-0.7120435718322051,21,2025-10-12
2022-06-27~2022-07-03,28667.0,121.0,3326892.0,13844,-0.7606116024083306,6,2025-10-12
2022-07-04~2022-07-10,5575.0,23.0,3332467.0,13867,-0.8055255171451495,3,2025-10-12
2022-07-11~2022-07-17,,,3332467.0,13867,-1.0,0,2025-10-12
2022-07-18~2022-07-24,,,3332467.0,13867,0.0,0,2025-10-12
2022-07-25~2022-07-31,,,3332467.0,13867,0.0,0,2025-10-12
2022-08-01~2022-08-07,,,3332467.0,13867,0.0,0,2025-10-12
2022-08-08~2022-08-14,,,3332467.0,13867,0.0,0,2025-10-12
2022-08-15~2022-08-21,,,3332467.0,13867,0.0,0,2025-10-12
2022-08-22~2022-08-28,,,3332467.0,13867,0.0,0,2025-10-12
2022-08-29~2022-09-04,,,3332467.0,13867,0.0,0,2025-10-12
2022-09-05~2022-09-11,,,3332467.0,13867,0.0,0,2025-10-12
2022-09-12~2022-09-18,,,3332467.0,13867,0.0,0,2025-10-12
2022-09-19~2022-09-25,,,3332467.0,13867,0.0,0,2025-10-12
2022-09-26~2022-10-02,,,3332467.0,13867,0.0,0,2025-10-12
2022-10-03~2022-10-09,,,3332467.0,13867,0.0,0,2025-10-12
2022-10-10~2022-10-16,,,3332467.0,13867,0.0,0,2025-10-12
2022-10-17~2022-10-23,,,3332467.0,13867,0.0,0,2025-10-12
2022-10-24~2022-10-30,,,3332467.0,13867,0.0,0,2025-10-12
2022-10-31~2022-11-06,,,3332467.0,13867,0.0,0,2025-10-12
