week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
2025-03-10~2025-03-16,29210.0,127.0,29210.0,127,0.0,1,2025-10-12
2025-03-17~2025-03-23,,,29210.0,127,-1.0,0,2025-10-12
2025-03-24~2025-03-30,50540.0,266.0,79750.0,393,0.0,1,2025-10-12
2025-03-31~2025-04-06,25270.0,133.0,105020.0,526,-0.5,1,2025-10-12
2025-04-07~2025-04-13,,,105020.0,526,-1.0,0,2025-10-12
2025-04-14~2025-04-20,,,105020.0,526,0.0,0,2025-10-12
2025-04-21~2025-04-27,,,105020.0,526,0.0,0,2025-10-12
2025-04-28~2025-05-04,17600.0,80.0,122620.0,606,0.0,1,2025-10-12
2025-05-05~2025-05-11,57000.0,285.0,179620.0,891,2.2386363636363638,2,2025-10-12
2025-05-12~2025-05-18,22000.0,88.0,201620.0,979,-0.6140350877192983,1,2025-10-12
2025-05-19~2025-05-25,100140.0,461.0,301760.0,1440,3.5518181818181818,4,2025-10-12
2025-05-26~2025-06-01,89860.0,396.0,391620.0,1836,-0.10265628120631116,4,2025-10-12
2025-06-02~2025-06-08,312550.0,1292.0,704170.0,3128,2.4781882929000667,10,2025-10-12
2025-06-09~2025-06-15,3897522.0,15107.0,4601692.0,18235,11.470075187969925,63,2025-10-12
2025-06-16~2025-06-22,13463902.0,50974.0,18065594.0,69209,2.45447748595133,71,2025-10-12
2025-06-23~2025-06-29,8626126.0,32876.0,26691720.0,102085,-0.35931455829075404,71,2025-10-12
2025-06-30~2025-07-06,4534098.0,17585.0,31225818.0,119670,-0.4743760988420526,74,2025-10-12
2025-07-07~2025-07-13,2678568.0,10371.0,33904386.0,130041,-0.40923905923515547,67,2025-10-12
2025-07-14~2025-07-20,1667786.0,6731.0,35572172.0,136772,-0.37735909635297665,52,2025-10-12
2025-07-21~2025-07-27,996319.0,3952.0,36568491.0,140724,-0.4026098072534486,37,2025-10-12
2025-07-28~2025-08-03,430155.0,1730.0,36998646.0,142454,-0.5682557494135915,24,2025-10-12
2025-08-04~2025-08-10,358007.0,1449.0,37356653.0,143903,-0.16772558728830306,22,2025-10-12
2025-08-11~2025-08-17,149361.0,622.0,37506014.0,144525,-0.5827986603613896,15,2025-10-12
2025-08-18~2025-08-24,94329.0,409.0,37600343.0,144934,-0.36844959527587523,10,2025-10-12
2025-08-25~2025-08-31,91975.0,383.0,37692318.0,145317,-0.02495520995664112,4,2025-10-12
2025-09-01~2025-09-07,1135.0,5.0,37693453.0,145322,-0.9876596901331883,1,2025-10-12
2025-09-08~2025-09-14,23000.0,100.0,37716453.0,145422,19.26431718061674,1,2025-10-12
2025-09-15~2025-09-21,,,37716453.0,145422,-1.0,0,2025-10-12
2025-09-22~2025-09-28,57960.0,194.0,37774413.0,145616,0.0,2,2025-10-12
