week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
2025-07-14~2025-07-20,415546.0,1461,415546.0,1461,0.0,23,2025-10-12
2025-07-21~2025-07-27,504818.0,2084,920364.0,3545,0.21483060840436438,23,2025-10-12
2025-07-28~2025-08-03,421587.0,1735,1341951.0,5280,-0.16487328106367047,16,2025-10-12
2025-08-04~2025-08-10,268403.0,1098,1610354.0,6378,-0.3633508623368368,13,2025-10-12
2025-08-11~2025-08-17,188108.0,769,1798462.0,7147,-0.2991583551599647,11,2025-10-12
2025-08-18~2025-08-24,110879.0,461,1909341.0,7608,-0.4105567014693687,8,2025-10-12
2025-08-25~2025-08-31,69095.0,288,1978436.0,7896,-0.3768432254980655,3,2025-10-12
2025-09-01~2025-09-07,44780.0,187,2023216.0,8083,-0.35190679499240174,2,2025-10-12
2025-09-08~2025-09-14,38955.0,166,2062171.0,8249,-0.13008039303260385,1,2025-10-12
2025-09-15~2025-09-21,16525.0,68,2078696.0,8317,-0.5757925811834168,1,2025-10-12
2025-09-22~2025-09-28,21230.0,88,2099926.0,8405,0.28472012102874433,1,2025-10-12
2025-09-29~2025-10-05,15475.0,64,2115401.0,8469,-0.27107866227037214,1,2025-10-12
