gov_id,week_label,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
31364,2025W43,2025-08-04~2025-08-10,426740.0,1261,426740.0,1261,0.0,7,2025-10-26
31364,2025W43,2025-08-11~2025-08-17,10192343.0,37009,10619083.0,38270,22.884198809579605,82,2025-10-26
31364,2025W43,2025-08-18~2025-08-24,8233350.0,29834,18852433.0,68104,-0.19220242097425488,82,2025-10-26
31364,2025W43,2025-08-25~2025-08-31,4200319.0,14979,23052752.0,83083,-0.4898408302817201,81,2025-10-26
31364,2025W43,2025-09-01~2025-09-07,1447946.0,5101,24500698.0,88184,-0.6552771349033252,72,2025-10-26
31364,2025W43,2025-09-08~2025-09-14,445147.0,1549,24945845.0,89733,-0.6925665736153144,39,2025-10-26
31364,2025W43,2025-09-15~2025-09-21,140677.0,500,25086522.0,90233,-0.6839763044567301,18,2025-10-26
31364,2025W43,2025-09-22~2025-09-28,29124.0,105,25115646.0,90338,-0.7929725541488658,7,2025-10-26
31364,2025W43,2025-09-29~2025-10-05,21387.0,75,25137033.0,90413,-0.26565718994643595,2,2025-10-26
31364,2025W43,2025-10-06~2025-10-12,12656.0,43,25149689.0,90456,-0.4082386496469818,1,2025-10-26
31364,2025W43,2025-10-13~2025-10-19,6708.0,22,25156397.0,90478,-0.4699747155499368,1,2025-10-26
