week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
2024-01-01~2024-01-07,34400.0,58.0,34400.0,58,0.0,1,2025-10-12
2024-01-08~2024-01-14,,,34400.0,58,-1.0,0,2025-10-12
2024-01-15~2024-01-21,,,34400.0,58,0.0,0,2025-10-12
2024-01-22~2024-01-28,,,34400.0,58,0.0,0,2025-10-12
2024-01-29~2024-02-04,,,34400.0,58,0.0,0,2025-10-12
2024-02-05~2024-02-11,,,34400.0,58,0.0,0,2025-10-12
2024-02-12~2024-02-18,,,34400.0,58,0.0,0,2025-10-12
2024-02-19~2024-02-25,,,34400.0,58,0.0,0,2025-10-12
2024-02-26~2024-03-03,,,34400.0,58,0.0,0,2025-10-12
2024-03-04~2024-03-10,,,34400.0,58,0.0,0,2025-10-12
2024-03-11~2024-03-17,,,34400.0,58,0.0,0,2025-10-12
2024-03-18~2024-03-24,,,34400.0,58,0.0,0,2025-10-12
2024-03-25~2024-03-31,,,34400.0,58,0.0,0,2025-10-12
2024-04-01~2024-04-07,,,34400.0,58,0.0,0,2025-10-12
2024-04-08~2024-04-14,,,34400.0,58,0.0,0,2025-10-12
2024-04-15~2024-04-21,,,34400.0,58,0.0,0,2025-10-12
2024-04-22~2024-04-28,,,34400.0,58,0.0,0,2025-10-12
2024-04-29~2024-05-05,,,34400.0,58,0.0,0,2025-10-12
2024-05-06~2024-05-12,,,34400.0,58,0.0,0,2025-10-12
2024-05-13~2024-05-19,,,34400.0,58,0.0,0,2025-10-12
2024-05-20~2024-05-26,,,34400.0,58,0.0,0,2025-10-12
2024-05-27~2024-06-02,,,34400.0,58,0.0,0,2025-10-12
2024-06-03~2024-06-09,,,34400.0,58,0.0,0,2025-10-12
2024-06-10~2024-06-16,,,34400.0,58,0.0,0,2025-10-12
2024-06-17~2024-06-23,,,34400.0,58,0.0,0,2025-10-12
2024-06-24~2024-06-30,,,34400.0,58,0.0,0,2025-10-12
2024-07-01~2024-07-07,,,34400.0,58,0.0,0,2025-10-12
2024-07-08~2024-07-14,,,34400.0,58,0.0,0,2025-10-12
2024-07-15~2024-07-21,,,34400.0,58,0.0,0,2025-10-12
2024-07-22~2024-07-28,,,34400.0,58,0.0,0,2025-10-12
2024-07-29~2024-08-04,,,34400.0,58,0.0,0,2025-10-12
2024-08-05~2024-08-11,,,34400.0,58,0.0,0,2025-10-12
2024-08-12~2024-08-18,,,34400.0,58,0.0,0,2025-10-12
2024-08-19~2024-08-25,,,34400.0,58,0.0,0,2025-10-12
2024-08-26~2024-09-01,,,34400.0,58,0.0,0,2025-10-12
2024-09-02~2024-09-08,,,34400.0,58,0.0,0,2025-10-12
2024-09-09~2024-09-15,,,34400.0,58,0.0,0,2025-10-12
2024-09-16~2024-09-22,,,34400.0,58,0.0,0,2025-10-12
2024-09-23~2024-09-29,,,34400.0,58,0.0,0,2025-10-12
2024-09-30~2024-10-06,,,34400.0,58,0.0,0,2025-10-12
2024-10-07~2024-10-13,,,34400.0,58,0.0,0,2025-10-12
2024-10-14~2024-10-20,8591.0,33.0,42991.0,91,0.0,1,2025-10-12
2024-10-21~2024-10-27,23399.0,83.0,66390.0,174,1.7236642998486789,2,2025-10-12
2024-10-28~2024-11-03,25770.0,107.0,92160.0,281,0.10132911662891576,1,2025-10-12
2024-11-04~2024-11-10,,,92160.0,281,-1.0,0,2025-10-12
2024-11-11~2024-11-17,,,92160.0,281,0.0,0,2025-10-12
2024-11-18~2024-11-24,47700.0,196.0,139860.0,477,0.0,3,2025-10-12
2024-11-25~2024-12-01,,,139860.0,477,-1.0,0,2025-10-12
2024-12-02~2024-12-08,,,139860.0,477,0.0,0,2025-10-12
2024-12-09~2024-12-15,,,139860.0,477,0.0,0,2025-10-12
2024-12-16~2024-12-22,,,139860.0,477,0.0,0,2025-10-12
2024-12-23~2024-12-29,,,139860.0,477,0.0,0,2025-10-12
2024-12-30~2025-01-05,,,139860.0,477,0.0,0,2025-10-12
2025-01-06~2025-01-12,,,139860.0,477,0.0,0,2025-10-12
2025-01-13~2025-01-19,,,139860.0,477,0.0,0,2025-10-12
2025-01-20~2025-01-26,,,139860.0,477,0.0,0,2025-10-12
2025-01-27~2025-02-02,,,139860.0,477,0.0,0,2025-10-12
2025-02-03~2025-02-09,,,139860.0,477,0.0,0,2025-10-12
2025-02-10~2025-02-16,,,139860.0,477,0.0,0,2025-10-12
2025-02-17~2025-02-23,,,139860.0,477,0.0,0,2025-10-12
2025-02-24~2025-03-02,,,139860.0,477,0.0,0,2025-10-12
2025-03-03~2025-03-09,,,139860.0,477,0.0,0,2025-10-12
2025-03-10~2025-03-16,,,139860.0,477,0.0,0,2025-10-12
2025-03-17~2025-03-23,,,139860.0,477,0.0,0,2025-10-12
2025-03-24~2025-03-30,,,139860.0,477,0.0,0,2025-10-12
2025-03-31~2025-04-06,,,139860.0,477,0.0,0,2025-10-12
2025-04-07~2025-04-13,,,139860.0,477,0.0,0,2025-10-12
2025-04-14~2025-04-20,,,139860.0,477,0.0,0,2025-10-12
2025-04-21~2025-04-27,,,139860.0,477,0.0,0,2025-10-12
2025-04-28~2025-05-04,,,139860.0,477,0.0,0,2025-10-12
2025-05-05~2025-05-11,,,139860.0,477,0.0,0,2025-10-12
2025-05-12~2025-05-18,,,139860.0,477,0.0,0,2025-10-12
2025-05-19~2025-05-25,,,139860.0,477,0.0,0,2025-10-12
2025-05-26~2025-06-01,,,139860.0,477,0.0,0,2025-10-12
2025-06-02~2025-06-08,,,139860.0,477,0.0,0,2025-10-12
2025-06-09~2025-06-15,,,139860.0,477,0.0,0,2025-10-12
2025-06-16~2025-06-22,,,139860.0,477,0.0,0,2025-10-12
2025-06-23~2025-06-29,,,139860.0,477,0.0,0,2025-10-12
2025-06-30~2025-07-06,,,139860.0,477,0.0,0,2025-10-12
2025-07-07~2025-07-13,,,139860.0,477,0.0,0,2025-10-12
2025-07-14~2025-07-20,,,139860.0,477,0.0,0,2025-10-12
2025-07-21~2025-07-27,,,139860.0,477,0.0,0,2025-10-12
2025-07-28~2025-08-03,,,139860.0,477,0.0,0,2025-10-12
2025-08-04~2025-08-10,,,139860.0,477,0.0,0,2025-10-12
2025-08-11~2025-08-17,,,139860.0,477,0.0,0,2025-10-12
2025-08-18~2025-08-24,,,139860.0,477,0.0,0,2025-10-12
2025-08-25~2025-08-31,,,139860.0,477,0.0,0,2025-10-12
2025-09-01~2025-09-07,6081169.0,22207.0,6221029.0,22684,0.0,88,2025-10-12
2025-09-08~2025-09-14,3484341.0,13205.0,9705370.0,35889,-0.4270277639052623,88,2025-10-12
2025-09-15~2025-09-21,1258019.0,4814.0,10963389.0,40703,-0.6389506652764468,88,2025-10-12
2025-09-22~2025-09-28,493937.0,2006.0,11457326.0,42709,-0.607369205075599,79,2025-10-12
2025-09-29~2025-10-05,103653.0,404.0,11560979.0,43113,-0.790149351030597,40,2025-10-12
