week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
2025-03-24~2025-03-30,56117.0,260.0,56117.0,260,0.0,14,2025-10-12
2025-03-31~2025-04-06,47195.0,225.0,103312.0,485,-0.1589892545930823,14,2025-10-12
2025-04-07~2025-04-13,16835.0,82.0,120147.0,567,-0.6432884839495709,7,2025-10-12
2025-04-14~2025-04-20,5260.0,26.0,125407.0,593,-0.6875556875556875,2,2025-10-12
2025-04-21~2025-04-27,,,125407.0,593,-1.0,0,2025-10-12
2025-04-28~2025-05-04,,,125407.0,593,0.0,0,2025-10-12
2025-05-05~2025-05-11,,,125407.0,593,0.0,0,2025-10-12
2025-05-12~2025-05-18,,,125407.0,593,0.0,0,2025-10-12
2025-05-19~2025-05-25,,,125407.0,593,0.0,0,2025-10-12
2025-05-26~2025-06-01,,,125407.0,593,0.0,0,2025-10-12
2025-06-02~2025-06-08,,,125407.0,593,0.0,0,2025-10-12
2025-06-09~2025-06-15,,,125407.0,593,0.0,0,2025-10-12
2025-06-16~2025-06-22,,,125407.0,593,0.0,0,2025-10-12
2025-06-23~2025-06-29,,,125407.0,593,0.0,0,2025-10-12
2025-06-30~2025-07-06,,,125407.0,593,0.0,0,2025-10-12
2025-07-07~2025-07-13,,,125407.0,593,0.0,0,2025-10-12
2025-07-14~2025-07-20,,,125407.0,593,0.0,0,2025-10-12
2025-07-21~2025-07-27,5760.0,36.0,131167.0,629,0.0,1,2025-10-12
2025-07-28~2025-08-03,,,131167.0,629,-1.0,0,2025-10-12
2025-08-04~2025-08-10,460.0,2.0,131627.0,631,0.0,1,2025-10-12
