week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
2025-06-02~2025-06-08,22599218.0,83676,22599218.0,83676,0.0,88,2025-10-12
2025-06-09~2025-06-15,26492201.0,98932,49091419.0,182608,0.17226184552049545,88,2025-10-12
2025-06-16~2025-06-22,15112412.0,56232,64203831.0,238840,-0.4295524180871193,88,2025-10-12
2025-06-23~2025-06-29,6978788.0,26108,71182619.0,264948,-0.5382081960179487,88,2025-10-12
2025-06-30~2025-07-06,2869028.0,10731,74051647.0,275679,-0.5888930857335113,86,2025-10-12
2025-07-07~2025-07-13,1231241.0,4713,75282888.0,280392,-0.5708508247392496,77,2025-10-12
2025-07-14~2025-07-20,821377.0,3407,76104265.0,283799,-0.3328869002900326,42,2025-10-12
2025-07-21~2025-07-27,469651.0,2072,76573916.0,285871,-0.4282150583714908,15,2025-10-12
2025-07-28~2025-08-03,353900.0,1603,76927816.0,287474,-0.24646173435167817,3,2025-10-12
2025-08-04~2025-08-10,310810.0,1412,77238626.0,288886,-0.12175755863238202,1,2025-10-12
2025-08-11~2025-08-17,3420.0,15,77242046.0,288901,-0.9889964930343297,1,2025-10-12
2025-08-18~2025-08-24,1310.0,6,77243356.0,288907,-0.6169590643274854,1,2025-10-12
