gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
23548,2023-01-25,2023-01-23~2023-01-29,50445.0,227.0,50445.0,227,0.0,1,2025-11-05
23548,2023-01-25,2023-01-30~2023-02-05,,,50445.0,227,-1.0,0,2025-11-05
23548,2023-01-25,2023-02-06~2023-02-12,549690.0,2361.0,600135.0,2588,0.0,16,2025-11-05
23548,2023-01-25,2023-02-13~2023-02-19,1462053.0,6160.0,2062188.0,8748,1.6597773290400044,16,2025-11-05
23548,2023-01-25,2023-02-20~2023-02-26,1139755.0,4754.0,3201943.0,13502,-0.22044207699720872,14,2025-11-05
23548,2023-01-25,2023-02-27~2023-03-05,988318.0,4065.0,4190261.0,17567,-0.1328680286552812,14,2025-11-05
23548,2023-01-25,2023-03-06~2023-03-12,546563.0,2061.0,4736824.0,19628,-0.44697658041237737,13,2025-11-05
23548,2023-01-25,2023-03-13~2023-03-19,262845.0,1089.0,4999669.0,20717,-0.5190947795588066,12,2025-11-05
23548,2023-01-25,2023-03-20~2023-03-26,155110.0,662.0,5154779.0,21379,-0.40988034773345505,9,2025-11-05
23548,2023-01-25,2023-03-27~2023-04-02,96520.0,403.0,5251299.0,21782,-0.3777319321771646,8,2025-11-05
23548,2023-01-25,2023-04-03~2023-04-09,57020.0,228.0,5308319.0,22010,-0.4092416079569001,2,2025-11-05
23548,2023-01-25,2023-04-10~2023-04-16,11180.0,45.0,5319499.0,22055,-0.8039284461592424,1,2025-11-05
23548,2023-01-25,2023-04-17~2023-04-23,,,5319499.0,22055,-1.0,0,2025-11-05
23548,2023-01-25,2023-04-24~2023-04-30,,,5319499.0,22055,0.0,0,2025-11-05
23548,2023-01-25,2023-05-01~2023-05-07,1035.0,5.0,5320534.0,22060,0.0,1,2025-11-05
23548,2023-01-25,2023-05-08~2023-05-14,0.0,0.0,5320534.0,22060,-1.0,1,2025-11-05
23548,2023-01-25,2023-05-15~2023-05-21,,,5320534.0,22060,0.0,0,2025-11-05
23548,2023-01-25,2023-05-22~2023-05-28,2490.0,12.0,5323024.0,22072,0.0,1,2025-11-05
23548,2023-01-25,2023-05-29~2023-06-04,,,5323024.0,22072,-1.0,0,2025-11-05
23548,2023-01-25,2023-06-05~2023-06-11,,,5323024.0,22072,0.0,0,2025-11-05
23548,2023-01-25,2023-06-12~2023-06-18,,,5323024.0,22072,0.0,0,2025-11-05
23548,2023-01-25,2023-06-19~2023-06-25,8665.0,100.0,5331689.0,22172,0.0,2,2025-11-05
23548,2023-01-25,2023-06-26~2023-07-02,8385.0,114.0,5340074.0,22286,-0.03231390652048471,2,2025-11-05
23548,2023-01-25,2023-07-03~2023-07-09,1240.0,11.0,5341314.0,22297,-0.8521168753726893,1,2025-11-05
23548,2023-01-25,2023-07-10~2023-07-16,,,5341314.0,22297,-1.0,0,2025-11-05
23548,2023-01-25,2023-07-17~2023-07-23,,,5341314.0,22297,0.0,0,2025-11-05
23548,2023-01-25,2023-07-24~2023-07-30,,,5341314.0,22297,0.0,0,2025-11-05
23548,2023-01-25,2023-07-31~2023-08-06,,,5341314.0,22297,0.0,0,2025-11-05
23548,2023-01-25,2023-08-07~2023-08-13,24395.0,102.0,5365709.0,22399,0.0,1,2025-11-05
23548,2023-01-25,2023-08-14~2023-08-20,,,5365709.0,22399,-1.0,0,2025-11-05
23548,2023-01-25,2023-08-21~2023-08-27,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-08-28~2023-09-03,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-09-04~2023-09-10,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-09-11~2023-09-17,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-09-18~2023-09-24,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-09-25~2023-10-01,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-10-02~2023-10-08,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-10-09~2023-10-15,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-10-16~2023-10-22,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-10-23~2023-10-29,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-10-30~2023-11-05,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-11-06~2023-11-12,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-11-13~2023-11-19,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-11-20~2023-11-26,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-11-27~2023-12-03,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-12-04~2023-12-10,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-12-11~2023-12-17,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-12-18~2023-12-24,,,5365709.0,22399,0.0,0,2025-11-05
23548,2023-01-25,2023-12-25~2023-12-31,,,5365709.0,22399,0.0,0,2025-11-05
