gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
27105,2025-05-22,2025-05-05~2025-05-11,118930.0,508.0,118930.0,508,0.0,4,2025-11-11
27105,2025-05-22,2025-05-12~2025-05-18,907310.0,3129.0,1026240.0,3637,6.628941394097368,6,2025-11-11
27105,2025-05-22,2025-05-19~2025-05-25,3247107.0,12467.0,4273347.0,16104,2.5788286252769175,92,2025-11-11
27105,2025-05-22,2025-05-26~2025-06-01,3594867.0,13636.0,7868214.0,29740,0.10709841098553266,92,2025-11-11
27105,2025-05-22,2025-06-02~2025-06-08,1482745.0,5634.0,9350959.0,35374,-0.5875382872300978,92,2025-11-11
27105,2025-05-22,2025-06-09~2025-06-15,508536.0,1886.0,9859495.0,37260,-0.6570307099332656,69,2025-11-11
27105,2025-05-22,2025-06-16~2025-06-22,188159.0,705.0,10047654.0,37965,-0.629998662828197,19,2025-11-11
27105,2025-05-22,2025-06-23~2025-06-29,69252.0,267.0,10116906.0,38232,-0.6319495745619397,13,2025-11-11
27105,2025-05-22,2025-06-30~2025-07-06,23490.0,87.0,10140396.0,38319,-0.6608040201005025,3,2025-11-11
27105,2025-05-22,2025-07-07~2025-07-13,,,10140396.0,38319,-1.0,0,2025-11-11
27105,2025-05-22,2025-07-14~2025-07-20,,,10140396.0,38319,0.0,0,2025-11-11
27105,2025-05-22,2025-07-21~2025-07-27,,,10140396.0,38319,0.0,0,2025-11-11
27105,2025-05-22,2025-07-28~2025-08-03,,,10140396.0,38319,0.0,0,2025-11-11
27105,2025-05-22,2025-08-04~2025-08-10,7275.0,97.0,10147671.0,38416,0.0,1,2025-11-11
27105,2025-05-22,2025-08-11~2025-08-17,10950.0,146.0,10158621.0,38562,0.5051546391752577,1,2025-11-11
27105,2025-05-22,2025-08-18~2025-08-24,5475.0,73.0,10164096.0,38635,-0.5,1,2025-11-11
27105,2025-05-22,2025-08-25~2025-08-31,19745.0,167.0,10183841.0,38802,2.606392694063927,2,2025-11-11
27105,2025-05-22,2025-09-01~2025-09-07,32330.0,232.0,10216171.0,39034,0.6373765510255761,1,2025-11-11
27105,2025-05-22,2025-09-08~2025-09-14,15100.0,110.0,10231271.0,39144,-0.5329415403649861,1,2025-11-11
27105,2025-05-22,2025-09-15~2025-09-21,18800.0,136.0,10250071.0,39280,0.24503311258278146,1,2025-11-11
