gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
29246,2025-03-28,2025-03-03~2025-03-09,14880.0,62.0,14880.0,62,0.0,1,2025-11-11
29246,2025-03-28,2025-03-10~2025-03-16,8180.0,39.0,23060.0,101,-0.45026881720430106,2,2025-11-11
29246,2025-03-28,2025-03-17~2025-03-23,44980.0,173.0,68040.0,274,4.49877750611247,1,2025-11-11
29246,2025-03-28,2025-03-24~2025-03-30,251260.0,1049.0,319300.0,1323,4.58603823921743,35,2025-11-11
29246,2025-03-28,2025-03-31~2025-04-06,284413.0,1199.0,603713.0,2522,0.13194698718458966,35,2025-11-11
29246,2025-03-28,2025-04-07~2025-04-13,161428.0,676.0,765141.0,3198,-0.43241694296674205,33,2025-11-11
29246,2025-03-28,2025-04-14~2025-04-20,116424.0,553.0,881565.0,3751,-0.27878682756399137,7,2025-11-11
29246,2025-03-28,2025-04-21~2025-04-27,103115.0,402.0,984680.0,4153,-0.11431491788634646,6,2025-11-11
29246,2025-03-28,2025-04-28~2025-05-04,42640.0,186.0,1027320.0,4339,-0.5864811133200796,2,2025-11-11
29246,2025-03-28,2025-05-05~2025-05-11,17600.0,88.0,1044920.0,4427,-0.5872420262664165,1,2025-11-11
29246,2025-03-28,2025-05-12~2025-05-18,,,1044920.0,4427,-1.0,0,2025-11-11
29246,2025-03-28,2025-05-19~2025-05-25,28880.0,123.0,1073800.0,4550,0.0,2,2025-11-11
29246,2025-03-28,2025-05-26~2025-06-01,,,1073800.0,4550,-1.0,0,2025-11-11
29246,2025-03-28,2025-06-02~2025-06-08,,,1073800.0,4550,0.0,0,2025-11-11
29246,2025-03-28,2025-06-09~2025-06-15,23040.0,96.0,1096840.0,4646,0.0,1,2025-11-11
29246,2025-03-28,2025-06-16~2025-06-22,,,1096840.0,4646,-1.0,0,2025-11-11
29246,2025-03-28,2025-06-23~2025-06-29,,,1096840.0,4646,0.0,0,2025-11-11
29246,2025-03-28,2025-06-30~2025-07-06,7500.0,30.0,1104340.0,4676,0.0,1,2025-11-11
29246,2025-03-28,2025-07-07~2025-07-13,,,1104340.0,4676,-1.0,0,2025-11-11
29246,2025-03-28,2025-07-14~2025-07-20,,,1104340.0,4676,0.0,0,2025-11-11
29246,2025-03-28,2025-07-21~2025-07-27,,,1104340.0,4676,0.0,0,2025-11-11
29246,2025-03-28,2025-07-28~2025-08-03,,,1104340.0,4676,0.0,0,2025-11-11
29246,2025-03-28,2025-08-04~2025-08-10,,,1104340.0,4676,0.0,0,2025-11-11
29246,2025-03-28,2025-08-11~2025-08-17,,,1104340.0,4676,0.0,0,2025-11-11
29246,2025-03-28,2025-08-18~2025-08-24,,,1104340.0,4676,0.0,0,2025-11-11
29246,2025-03-28,2025-08-25~2025-08-31,23400.0,90.0,1127740.0,4766,0.0,1,2025-11-11
29246,2025-03-28,2025-09-01~2025-09-07,,,1127740.0,4766,-1.0,0,2025-11-11
29246,2025-03-28,2025-09-08~2025-09-14,,,1127740.0,4766,0.0,0,2025-11-11
29246,2025-03-28,2025-09-15~2025-09-21,,,1127740.0,4766,0.0,0,2025-11-11
29246,2025-03-28,2025-09-22~2025-09-28,25300.0,110.0,1153040.0,4876,0.0,1,2025-11-11
