gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
29695,2025-07-19,2025-07-14~2025-07-20,20350.0,85.0,20350.0,85,0.0,1,2025-11-11
29695,2025-07-19,2025-07-21~2025-07-27,,,20350.0,85,-1.0,0,2025-11-11
29695,2025-07-19,2025-07-28~2025-08-03,13950.0,59.0,34300.0,144,0.0,6,2025-11-11
29695,2025-07-19,2025-08-04~2025-08-10,37535.0,152.0,71835.0,296,1.6906810035842295,6,2025-11-11
29695,2025-07-19,2025-08-11~2025-08-17,3130.0,10.0,74965.0,306,-0.916611162914613,2,2025-11-11
29695,2025-07-19,2025-08-18~2025-08-24,1210.0,4.0,76175.0,310,-0.6134185303514377,1,2025-11-11
29695,2025-07-19,2025-08-25~2025-08-31,,,76175.0,310,-1.0,0,2025-11-11
29695,2025-07-19,2025-09-01~2025-09-07,,,76175.0,310,0.0,0,2025-11-11
29695,2025-07-19,2025-09-08~2025-09-14,,,76175.0,310,0.0,0,2025-11-11
29695,2025-07-19,2025-09-15~2025-09-21,955.0,4.0,77130.0,314,0.0,1,2025-11-11
