gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
29831,2025-01-17,2025-01-13~2025-01-19,1472095.0,5808.0,1472095.0,5808,0.0,77,2025-11-05
29831,2025-01-17,2025-01-20~2025-01-26,2070696.0,8213.0,3542791.0,14021,0.40663204480689086,77,2025-11-05
29831,2025-01-17,2025-01-27~2025-02-02,1065539.0,4140.0,4608330.0,18161,-0.48541987814725096,77,2025-11-05
29831,2025-01-17,2025-02-03~2025-02-09,386441.0,1474.0,4994771.0,19635,-0.6373281503539523,45,2025-11-05
29831,2025-01-17,2025-02-10~2025-02-16,138003.0,505.0,5132774.0,20140,-0.6428872712781512,18,2025-11-05
29831,2025-01-17,2025-02-17~2025-02-23,64035.0,240.0,5196809.0,20380,-0.5359883480793896,8,2025-11-05
29831,2025-01-17,2025-02-24~2025-03-02,26440.0,102.0,5223249.0,20482,-0.5871008042476771,7,2025-11-05
29831,2025-01-17,2025-03-03~2025-03-09,8480.0,36.0,5231729.0,20518,-0.6792738275340393,2,2025-11-05
29831,2025-01-17,2025-03-10~2025-03-16,1000.0,6.0,5232729.0,20524,-0.8820754716981132,1,2025-11-05
29831,2025-01-17,2025-03-17~2025-03-23,,,5232729.0,20524,-1.0,0,2025-11-05
29831,2025-01-17,2025-03-24~2025-03-30,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-03-31~2025-04-06,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-04-07~2025-04-13,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-04-14~2025-04-20,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-04-21~2025-04-27,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-04-28~2025-05-04,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-05-05~2025-05-11,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-05-12~2025-05-18,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-05-19~2025-05-25,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-05-26~2025-06-01,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-06-02~2025-06-08,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-06-09~2025-06-15,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-06-16~2025-06-22,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-06-23~2025-06-29,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-06-30~2025-07-06,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-07-07~2025-07-13,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-07-14~2025-07-20,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-07-21~2025-07-27,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-07-28~2025-08-03,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-08-04~2025-08-10,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-08-11~2025-08-17,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-08-18~2025-08-24,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-08-25~2025-08-31,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-09-01~2025-09-07,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-09-08~2025-09-14,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-09-15~2025-09-21,,,5232729.0,20524,0.0,0,2025-11-05
29831,2025-01-17,2025-09-22~2025-09-28,19611.0,67.0,5252340.0,20591,0.0,1,2025-11-05
29831,2025-01-17,2025-09-29~2025-10-05,12726.0,46.0,5265066.0,20637,-0.3510784763653052,1,2025-11-05
29831,2025-01-17,2025-10-06~2025-10-12,,,5265066.0,20637,-1.0,0,2025-11-05
29831,2025-01-17,2025-10-13~2025-10-19,20190.0,76.0,5285256.0,20713,0.0,1,2025-11-05
