gov_id,week_label,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
29882,2025W43,2025-07-07~2025-07-13,54970.0,239,54970.0,239,0.0,1,2025-10-28
29882,2025W43,2025-07-14~2025-07-20,59560.0,248,114530.0,487,0.08350009095870475,2,2025-10-28
29882,2025W43,2025-07-21~2025-07-27,202430.0,895,316960.0,1382,2.3987575554063127,5,2025-10-28
29882,2025W43,2025-07-28~2025-08-03,339760.0,1369,656720.0,2751,0.678407350689127,8,2025-10-28
29882,2025W43,2025-08-04~2025-08-10,308150.0,1269,964870.0,4020,-0.09303626089004002,8,2025-10-28
29882,2025W43,2025-08-11~2025-08-17,496690.0,2072,1461560.0,6092,0.6118448807398994,10,2025-10-28
29882,2025W43,2025-08-18~2025-08-24,709140.0,2925,2170700.0,9017,0.42773158307998954,15,2025-10-28
29882,2025W43,2025-08-25~2025-08-31,2629324.0,10390,4800024.0,19407,2.7077643342640383,80,2025-10-28
29882,2025W43,2025-09-01~2025-09-07,2440679.0,9392,7240703.0,28799,-0.07174657820793481,81,2025-10-28
29882,2025W43,2025-09-08~2025-09-14,2045706.0,7844,9286409.0,36643,-0.1618291467251531,79,2025-10-28
29882,2025W43,2025-09-15~2025-09-21,1095851.0,4414,10382260.0,41057,-0.4643164755834905,53,2025-10-28
29882,2025W43,2025-09-22~2025-09-28,714779.0,2920,11097039.0,43977,-0.34774070562512605,38,2025-10-28
29882,2025W43,2025-09-29~2025-10-05,485815.0,1965,11582854.0,45942,-0.3203283812199295,17,2025-10-28
29882,2025W43,2025-10-06~2025-10-12,114753.0,438,11697607.0,46380,-0.7637928017866884,7,2025-10-28
29882,2025W43,2025-10-13~2025-10-19,198080.0,902,11895687.0,47282,0.7261422359328297,9,2025-10-28
