gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
30670,2025-05-30,2025-05-26~2025-06-01,74958.0,280.0,74958.0,280,0.0,8,2025-11-11
30670,2025-05-30,2025-06-02~2025-06-08,103556.0,399.0,178514.0,679,0.3815203180447717,8,2025-11-11
30670,2025-05-30,2025-06-09~2025-06-15,43012.0,163.0,221526.0,842,-0.5846498512881919,8,2025-11-11
30670,2025-05-30,2025-06-16~2025-06-22,5299.0,20.0,226825.0,862,-0.8768018227471404,7,2025-11-11
30670,2025-05-30,2025-06-23~2025-06-29,1865.0,7.0,228690.0,869,-0.648046801283261,1,2025-11-11
30670,2025-05-30,2025-06-30~2025-07-06,,,228690.0,869,-1.0,0,2025-11-11
30670,2025-05-30,2025-07-07~2025-07-13,,,228690.0,869,0.0,0,2025-11-11
30670,2025-05-30,2025-07-14~2025-07-20,22880.0,88.0,251570.0,957,0.0,1,2025-11-11
30670,2025-05-30,2025-07-21~2025-07-27,,,251570.0,957,-1.0,0,2025-11-11
30670,2025-05-30,2025-07-28~2025-08-03,,,251570.0,957,0.0,0,2025-11-11
30670,2025-05-30,2025-08-04~2025-08-10,,,251570.0,957,0.0,0,2025-11-11
30670,2025-05-30,2025-08-11~2025-08-17,,,251570.0,957,0.0,0,2025-11-11
30670,2025-05-30,2025-08-18~2025-08-24,,,251570.0,957,0.0,0,2025-11-11
30670,2025-05-30,2025-08-25~2025-08-31,,,251570.0,957,0.0,0,2025-11-11
30670,2025-05-30,2025-09-01~2025-09-07,17160.0,66.0,268730.0,1023,0.0,1,2025-11-11
