gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
30717,2025-06-07,2025-06-02~2025-06-08,1248821.0,3242,1248821.0,3242,0.0,17,2025-11-06
30717,2025-06-07,2025-06-09~2025-06-15,34538141.0,112886,35786962.0,116128,26.656598503708697,95,2025-11-06
30717,2025-06-07,2025-06-16~2025-06-22,36493327.0,117597,72280289.0,233725,0.05660947414627788,95,2025-11-06
30717,2025-06-07,2025-06-23~2025-06-29,24546023.0,85240,96826312.0,318965,-0.32738325009391445,95,2025-11-06
30717,2025-06-07,2025-06-30~2025-07-06,14048388.0,51074,110874700.0,370039,-0.4276715213702847,94,2025-11-06
30717,2025-06-07,2025-07-07~2025-07-13,7749222.0,28080,118623922.0,398119,-0.44839066233079555,90,2025-11-06
30717,2025-06-07,2025-07-14~2025-07-20,5419765.0,17164,124043687.0,415283,-0.30060527366489176,78,2025-11-06
30717,2025-06-07,2025-07-21~2025-07-27,3214432.0,9456,127258119.0,424739,-0.40690564996821815,67,2025-11-06
30717,2025-06-07,2025-07-28~2025-08-03,1488359.0,4669,128746478.0,429408,-0.53697605051219,44,2025-11-06
30717,2025-06-07,2025-08-04~2025-08-10,1160088.0,3022,129906566.0,432430,-0.2205590183551146,33,2025-11-06
30717,2025-06-07,2025-08-11~2025-08-17,590738.0,1575,130497304.0,434005,-0.49078173379950485,24,2025-11-06
30717,2025-06-07,2025-08-18~2025-08-24,121952.0,465,130619256.0,434470,-0.7935599199645189,11,2025-11-06
30717,2025-06-07,2025-08-25~2025-08-31,108012.0,454,130727268.0,434924,-0.11430726843348203,7,2025-11-06
30717,2025-06-07,2025-09-01~2025-09-07,9820.0,48,130737088.0,434972,-0.9090841758323149,2,2025-11-06
30717,2025-06-07,2025-09-08~2025-09-14,164220.0,295,130901308.0,435267,15.723014256619145,3,2025-11-06
30717,2025-06-07,2025-09-15~2025-09-21,342945.0,1059,131244253.0,436326,1.0883266350018268,8,2025-11-06
30717,2025-06-07,2025-09-22~2025-09-28,465375.0,1176,131709628.0,437502,0.35699601976993395,6,2025-11-06
30717,2025-06-07,2025-09-29~2025-10-05,173280.0,548,131882908.0,438050,-0.6276551168412571,5,2025-11-06
30717,2025-06-07,2025-10-06~2025-10-12,17625.0,235,131900533.0,438285,-0.8982860110803325,1,2025-11-06
30717,2025-06-07,2025-10-13~2025-10-19,7125.0,95,131907658.0,438380,-0.5957446808510638,1,2025-11-06
30717,2025-06-07,2025-10-20~2025-10-26,61200.0,291,131968858.0,438671,7.589473684210526,2,2025-11-06
30717,2025-06-07,2025-10-27~2025-11-02,2325.0,31,131971183.0,438702,-0.9620098039215687,1,2025-11-06
