gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
30783,2025-05-29,2025-05-26~2025-06-01,319266.0,1205.0,319266.0,1205,0.0,24,2025-11-11
30783,2025-05-29,2025-06-02~2025-06-08,119626.0,485.0,438892.0,1690,-0.6253093032142477,23,2025-11-11
30783,2025-05-29,2025-06-09~2025-06-15,14220.0,62.0,453112.0,1752,-0.881129520338388,12,2025-11-11
30783,2025-05-29,2025-06-16~2025-06-22,19420.0,90.0,472532.0,1842,0.3656821378340366,5,2025-11-11
30783,2025-05-29,2025-06-23~2025-06-29,10820.0,50.0,483352.0,1892,-0.4428424304840371,2,2025-11-11
30783,2025-05-29,2025-06-30~2025-07-06,220.0,1.0,483572.0,1893,-0.9796672828096118,1,2025-11-11
30783,2025-05-29,2025-07-07~2025-07-13,20790.0,99.0,504362.0,1992,93.5,2,2025-11-11
30783,2025-05-29,2025-07-14~2025-07-20,,,504362.0,1992,-1.0,0,2025-11-11
30783,2025-05-29,2025-07-21~2025-07-27,,,504362.0,1992,0.0,0,2025-11-11
30783,2025-05-29,2025-07-28~2025-08-03,,,504362.0,1992,0.0,0,2025-11-11
30783,2025-05-29,2025-08-04~2025-08-10,7950.0,106.0,512312.0,2098,0.0,1,2025-11-11
30783,2025-05-29,2025-08-11~2025-08-17,11325.0,151.0,523637.0,2249,0.42452830188679247,1,2025-11-11
30783,2025-05-29,2025-08-18~2025-08-24,10350.0,138.0,533987.0,2387,-0.08609271523178808,1,2025-11-11
30783,2025-05-29,2025-08-25~2025-08-31,7725.0,103.0,541712.0,2490,-0.2536231884057971,1,2025-11-11
30783,2025-05-29,2025-09-01~2025-09-07,825.0,11.0,542537.0,2501,-0.8932038834951457,1,2025-11-11
