gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
30784,2025-05-29,2025-05-26~2025-06-01,643032.0,2679.0,643032.0,2679,0.0,33,2025-11-11
30784,2025-05-29,2025-06-02~2025-06-08,442752.0,1895.0,1085784.0,4574,-0.3114619490165342,32,2025-11-11
30784,2025-05-29,2025-06-09~2025-06-15,171393.0,744.0,1257177.0,5318,-0.6128916413703382,17,2025-11-11
30784,2025-05-29,2025-06-16~2025-06-22,73860.0,330.0,1331037.0,5648,-0.5690605800703646,8,2025-11-11
30784,2025-05-29,2025-06-23~2025-06-29,35615.0,151.0,1366652.0,5799,-0.5178039534253994,4,2025-11-11
30784,2025-05-29,2025-06-30~2025-07-06,16805.0,73.0,1383457.0,5872,-0.5281482521409518,4,2025-11-11
30784,2025-05-29,2025-07-07~2025-07-13,3280.0,15.0,1386737.0,5887,-0.8048199940493901,1,2025-11-11
30784,2025-05-29,2025-07-14~2025-07-20,,,1386737.0,5887,-1.0,0,2025-11-11
30784,2025-05-29,2025-07-21~2025-07-27,,,1386737.0,5887,0.0,0,2025-11-11
30784,2025-05-29,2025-07-28~2025-08-03,,,1386737.0,5887,0.0,0,2025-11-11
30784,2025-05-29,2025-08-04~2025-08-10,,,1386737.0,5887,0.0,0,2025-11-11
30784,2025-05-29,2025-08-11~2025-08-17,10950.0,146.0,1397687.0,6033,0.0,1,2025-11-11
30784,2025-05-29,2025-08-18~2025-08-24,27095.0,258.0,1424782.0,6291,1.4744292237442922,2,2025-11-11
30784,2025-05-29,2025-08-25~2025-08-31,39760.0,341.0,1464542.0,6632,0.46742941502122165,2,2025-11-11
30784,2025-05-29,2025-09-01~2025-09-07,15090.0,130.0,1479632.0,6762,-0.6204728370221329,2,2025-11-11
