gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
30808,2025-05-27,2025-05-26~2025-06-01,2768630.0,10562.0,2768630.0,10562,0.0,82,2025-10-29
30808,2025-05-27,2025-06-02~2025-06-08,2036672.0,7746.0,4805302.0,18308,-0.2643755214672961,82,2025-10-29
30808,2025-05-27,2025-06-09~2025-06-15,641183.0,2371.0,5446485.0,20679,-0.6851810208025642,79,2025-10-29
30808,2025-05-27,2025-06-16~2025-06-22,154828.0,557.0,5601313.0,21236,-0.7585275966455755,30,2025-10-29
30808,2025-05-27,2025-06-23~2025-06-29,18700.0,65.0,5620013.0,21301,-0.8792208127728834,8,2025-10-29
30808,2025-05-27,2025-06-30~2025-07-06,,,5620013.0,21301,-1.0,0,2025-10-29
30808,2025-05-27,2025-07-07~2025-07-13,3445.0,16.0,5623458.0,21317,0.0,1,2025-10-29
30808,2025-05-27,2025-07-14~2025-07-20,12850.0,53.0,5636308.0,21370,2.7300435413642963,1,2025-10-29
30808,2025-05-27,2025-07-21~2025-07-27,6735.0,28.0,5643043.0,21398,-0.47587548638132293,1,2025-10-29
30808,2025-05-27,2025-07-28~2025-08-03,6750.0,90.0,5649793.0,21488,0.0022271714922048997,1,2025-10-29
30808,2025-05-27,2025-08-04~2025-08-10,8250.0,110.0,5658043.0,21598,0.2222222222222222,1,2025-10-29
30808,2025-05-27,2025-08-11~2025-08-17,2700.0,36.0,5660743.0,21634,-0.6727272727272727,1,2025-10-29
30808,2025-05-27,2025-08-18~2025-08-24,,,5660743.0,21634,-1.0,0,2025-10-29
30808,2025-05-27,2025-08-25~2025-08-31,,,5660743.0,21634,0.0,0,2025-10-29
30808,2025-05-27,2025-09-01~2025-09-07,,,5660743.0,21634,0.0,0,2025-10-29
30808,2025-05-27,2025-09-08~2025-09-14,,,5660743.0,21634,0.0,0,2025-10-29
30808,2025-05-27,2025-09-15~2025-09-21,16199.0,55.0,5676942.0,21689,0.0,1,2025-10-29
30808,2025-05-27,2025-09-22~2025-09-28,,,5676942.0,21689,-1.0,0,2025-10-29
30808,2025-05-27,2025-09-29~2025-10-05,,,5676942.0,21689,0.0,0,2025-10-29
30808,2025-05-27,2025-10-06~2025-10-12,10443.0,32.0,5687385.0,21721,0.0,1,2025-10-29
30808,2025-05-27,2025-10-13~2025-10-19,,,5687385.0,21721,-1.0,0,2025-10-29
30808,2025-05-27,2025-10-20~2025-10-26,19160.0,73.0,5706545.0,21794,0.0,1,2025-10-29
