gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
30809,2025-06-25,2025-06-23~2025-06-29,71677101.0,261771,71677101.0,261771,0.0,97,2025-11-11
30809,2025-06-25,2025-06-30~2025-07-06,56906148.0,205859,128583249.0,467630,-0.2060763171769461,97,2025-11-11
30809,2025-06-25,2025-07-07~2025-07-13,31273318.0,114687,159856567.0,582317,-0.45044043395803207,96,2025-11-11
30809,2025-06-25,2025-07-14~2025-07-20,20927632.0,76430,180784199.0,658747,-0.33081510570768347,94,2025-11-11
30809,2025-06-25,2025-07-21~2025-07-27,12370227.0,45254,193154426.0,704001,-0.40890460038670406,93,2025-11-11
30809,2025-06-25,2025-07-28~2025-08-03,8306567.0,30312,201460993.0,734313,-0.3285032683717122,90,2025-11-11
30809,2025-06-25,2025-08-04~2025-08-10,5006820.0,18118,206467813.0,752431,-0.39724557690318996,89,2025-11-11
30809,2025-06-25,2025-08-11~2025-08-17,3496664.0,12726,209964477.0,765157,-0.30161979060561395,71,2025-11-11
30809,2025-06-25,2025-08-18~2025-08-24,2058252.0,7525,212022729.0,772682,-0.41136694861159095,56,2025-11-11
30809,2025-06-25,2025-08-25~2025-08-31,1231105.0,4564,213253834.0,777246,-0.40186867302934726,33,2025-11-11
30809,2025-06-25,2025-09-01~2025-09-07,269936.0,986,213523770.0,778232,-0.7807368177369112,23,2025-11-11
30809,2025-06-25,2025-09-08~2025-09-14,362963.0,1045,213886733.0,779277,0.344626133602039,18,2025-11-11
30809,2025-06-25,2025-09-15~2025-09-21,287343.0,653,214174076.0,779930,-0.2083407950672658,13,2025-11-11
30809,2025-06-25,2025-09-22~2025-09-28,290614.0,634,214464690.0,780564,0.011383607744055014,8,2025-11-11
30809,2025-06-25,2025-09-29~2025-10-05,147111.0,340,214611801.0,780904,-0.49379245321973475,6,2025-11-11
30809,2025-06-25,2025-10-06~2025-10-12,32100.0,113,214643901.0,781017,-0.7817974182759957,2,2025-11-11
30809,2025-06-25,2025-10-13~2025-10-19,163590.0,278,214807491.0,781295,4.09626168224299,3,2025-11-11
30809,2025-06-25,2025-10-20~2025-10-26,83518.0,143,214891009.0,781438,-0.489467571367443,3,2025-11-11
30809,2025-06-25,2025-10-27~2025-11-02,1820.0,7,214892829.0,781445,-0.9782082904284106,1,2025-11-11
30809,2025-06-25,2025-11-03~2025-11-09,17440.0,72,214910269.0,781517,8.582417582417582,2,2025-11-11
