gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
30833,2025-06-06,2025-05-26~2025-06-01,184541.0,328.0,184541.0,328,0.0,1,2025-11-11
30833,2025-06-06,2025-06-02~2025-06-08,12036657.0,45437.0,12221198.0,45765,64.2248389246834,94,2025-11-11
30833,2025-06-06,2025-06-09~2025-06-15,9857649.0,37249.0,22078847.0,83014,-0.18103099556629387,94,2025-11-11
30833,2025-06-06,2025-06-16~2025-06-22,4569297.0,17111.0,26648144.0,100125,-0.5364719315934255,93,2025-11-11
30833,2025-06-06,2025-06-23~2025-06-29,1940032.0,7340.0,28588176.0,107465,-0.5754200263191471,87,2025-11-11
30833,2025-06-06,2025-06-30~2025-07-06,693248.0,2553.0,29281424.0,110018,-0.6426615643453304,46,2025-11-11
30833,2025-06-06,2025-07-07~2025-07-13,176573.0,638.0,29457997.0,110656,-0.74529605566839,21,2025-11-11
30833,2025-06-06,2025-07-14~2025-07-20,26255.0,93.0,29484252.0,110749,-0.8513079576152639,3,2025-11-11
30833,2025-06-06,2025-07-21~2025-07-27,9095.0,37.0,29493347.0,110786,-0.6535897924204913,2,2025-11-11
30833,2025-06-06,2025-07-28~2025-08-03,1500.0,5.0,29494847.0,110791,-0.8350742166025289,1,2025-11-11
30833,2025-06-06,2025-08-04~2025-08-10,880.0,4.0,29495727.0,110795,-0.41333333333333333,1,2025-11-11
30833,2025-06-06,2025-08-11~2025-08-17,,,29495727.0,110795,-1.0,0,2025-11-11
30833,2025-06-06,2025-08-18~2025-08-24,,,29495727.0,110795,0.0,0,2025-11-11
30833,2025-06-06,2025-08-25~2025-08-31,,,29495727.0,110795,0.0,0,2025-11-11
30833,2025-06-06,2025-09-01~2025-09-07,,,29495727.0,110795,0.0,0,2025-11-11
30833,2025-06-06,2025-09-08~2025-09-14,9450.0,126.0,29505177.0,110921,0.0,1,2025-11-11
30833,2025-06-06,2025-09-15~2025-09-21,12150.0,162.0,29517327.0,111083,0.2857142857142857,1,2025-11-11
30833,2025-06-06,2025-09-22~2025-09-28,8925.0,119.0,29526252.0,111202,-0.2654320987654321,1,2025-11-11
30833,2025-06-06,2025-09-29~2025-10-05,3075.0,41.0,29529327.0,111243,-0.6554621848739496,1,2025-11-11
