gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
30854,2025-06-06,2025-06-02~2025-06-08,900381.0,3450.0,900381.0,3450,0.0,30,2025-11-11
30854,2025-06-06,2025-06-09~2025-06-15,965754.0,3799.0,1866135.0,7249,0.07260593015623386,30,2025-11-11
30854,2025-06-06,2025-06-16~2025-06-22,413812.0,1635.0,2279947.0,8884,-0.57151407087105,29,2025-11-11
30854,2025-06-06,2025-06-23~2025-06-29,156891.0,625.0,2436838.0,9509,-0.6208640638744164,16,2025-11-11
30854,2025-06-06,2025-06-30~2025-07-06,83985.0,344.0,2520823.0,9853,-0.464692047344972,6,2025-11-11
30854,2025-06-06,2025-07-07~2025-07-13,48550.0,203.0,2569373.0,10056,-0.421920581056141,3,2025-11-11
30854,2025-06-06,2025-07-14~2025-07-20,27195.0,114.0,2596568.0,10170,-0.43985581874356333,2,2025-11-11
30854,2025-06-06,2025-07-21~2025-07-27,18085.0,73.0,2614653.0,10243,-0.3349880492737636,1,2025-11-11
30854,2025-06-06,2025-07-28~2025-08-03,6110.0,28.0,2620763.0,10271,-0.6621509538291401,1,2025-11-11
30854,2025-06-06,2025-08-04~2025-08-10,,,2620763.0,10271,-1.0,0,2025-11-11
30854,2025-06-06,2025-08-11~2025-08-17,,,2620763.0,10271,0.0,0,2025-11-11
30854,2025-06-06,2025-08-18~2025-08-24,5925.0,79.0,2626688.0,10350,0.0,1,2025-11-11
30854,2025-06-06,2025-08-25~2025-08-31,6900.0,92.0,2633588.0,10442,0.16455696202531644,1,2025-11-11
30854,2025-06-06,2025-09-01~2025-09-07,1575.0,21.0,2635163.0,10463,-0.7717391304347826,1,2025-11-11
