gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
30863,2025-06-06,2025-06-02~2025-06-08,616591.0,2559.0,616591.0,2559,0.0,22,2025-11-05
30863,2025-06-06,2025-06-09~2025-06-15,357749.0,1464.0,974340.0,4023,-0.419795293800915,22,2025-11-05
30863,2025-06-06,2025-06-16~2025-06-22,259207.0,836.0,1233547.0,4859,-0.27545010607996107,17,2025-11-05
30863,2025-06-06,2025-06-23~2025-06-29,70070.0,320.0,1303617.0,5179,-0.7296755103064346,12,2025-11-05
30863,2025-06-06,2025-06-30~2025-07-06,,,1303617.0,5179,-1.0,0,2025-11-05
30863,2025-06-06,2025-07-07~2025-07-13,,,1303617.0,5179,0.0,0,2025-11-05
30863,2025-06-06,2025-07-14~2025-07-20,,,1303617.0,5179,0.0,0,2025-11-05
30863,2025-06-06,2025-07-21~2025-07-27,,,1303617.0,5179,0.0,0,2025-11-05
30863,2025-06-06,2025-07-28~2025-08-03,,,1303617.0,5179,0.0,0,2025-11-05
30863,2025-06-06,2025-08-04~2025-08-10,,,1303617.0,5179,0.0,0,2025-11-05
30863,2025-06-06,2025-08-11~2025-08-17,,,1303617.0,5179,0.0,0,2025-11-05
30863,2025-06-06,2025-08-18~2025-08-24,,,1303617.0,5179,0.0,0,2025-11-05
30863,2025-06-06,2025-08-25~2025-08-31,,,1303617.0,5179,0.0,0,2025-11-05
30863,2025-06-06,2025-09-01~2025-09-07,,,1303617.0,5179,0.0,0,2025-11-05
30863,2025-06-06,2025-09-08~2025-09-14,,,1303617.0,5179,0.0,0,2025-11-05
30863,2025-06-06,2025-09-15~2025-09-21,,,1303617.0,5179,0.0,0,2025-11-05
30863,2025-06-06,2025-09-22~2025-09-28,,,1303617.0,5179,0.0,0,2025-11-05
30863,2025-06-06,2025-09-29~2025-10-05,,,1303617.0,5179,0.0,0,2025-11-05
30863,2025-06-06,2025-10-06~2025-10-12,,,1303617.0,5179,0.0,0,2025-11-05
30863,2025-06-06,2025-10-13~2025-10-19,5853.0,19.0,1309470.0,5198,0.0,1,2025-11-05
