gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
30946,2025-06-16,2025-06-16~2025-06-22,991321.0,3973.0,991321.0,3973,0.0,63,2025-11-11
30946,2025-06-16,2025-06-23~2025-06-29,318174.0,1266.0,1309495.0,5239,-0.6790403915583347,63,2025-11-11
30946,2025-06-16,2025-06-30~2025-07-06,30905.0,127.0,1340400.0,5366,-0.9028676133184986,28,2025-11-11
30946,2025-06-16,2025-07-07~2025-07-13,550.0,3.0,1340950.0,5369,-0.9822035269373888,2,2025-11-11
30946,2025-06-16,2025-07-14~2025-07-20,,,1340950.0,5369,-1.0,0,2025-11-11
30946,2025-06-16,2025-07-21~2025-07-27,,,1340950.0,5369,0.0,0,2025-11-11
30946,2025-06-16,2025-07-28~2025-08-03,,,1340950.0,5369,0.0,0,2025-11-11
30946,2025-06-16,2025-08-04~2025-08-10,,,1340950.0,5369,0.0,0,2025-11-11
30946,2025-06-16,2025-08-11~2025-08-17,,,1340950.0,5369,0.0,0,2025-11-11
30946,2025-06-16,2025-08-18~2025-08-24,,,1340950.0,5369,0.0,0,2025-11-11
30946,2025-06-16,2025-08-25~2025-08-31,10050.0,134.0,1351000.0,5503,0.0,1,2025-11-11
30946,2025-06-16,2025-09-01~2025-09-07,13350.0,178.0,1364350.0,5681,0.3283582089552239,1,2025-11-11
30946,2025-06-16,2025-09-08~2025-09-14,10425.0,139.0,1374775.0,5820,-0.21910112359550563,1,2025-11-11
30946,2025-06-16,2025-09-15~2025-09-21,3450.0,46.0,1378225.0,5866,-0.6690647482014388,1,2025-11-11
