gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
30960,2025-06-17,2025-06-16~2025-06-22,12155308.0,42837.0,12155308.0,42837,0.0,95,2025-11-06
30960,2025-06-17,2025-06-23~2025-06-29,5831325.0,21803.0,17986633.0,64640,-0.5202651384892921,95,2025-11-06
30960,2025-06-17,2025-06-30~2025-07-06,1882710.0,6980.0,19869343.0,71620,-0.6771385577034379,94,2025-11-06
30960,2025-06-17,2025-07-07~2025-07-13,603700.0,2243.0,20473043.0,73863,-0.6793451992075253,81,2025-11-06
30960,2025-06-17,2025-07-14~2025-07-20,175162.0,655.0,20648205.0,74518,-0.7098525757826735,19,2025-11-06
30960,2025-06-17,2025-07-21~2025-07-27,48511.0,187.0,20696716.0,74705,-0.723050661673194,7,2025-11-06
30960,2025-06-17,2025-07-28~2025-08-03,12010.0,46.0,20708726.0,74751,-0.7524272845334048,1,2025-11-06
30960,2025-06-17,2025-08-04~2025-08-10,4370.0,17.0,20713096.0,74768,-0.6361365528726062,1,2025-11-06
30960,2025-06-17,2025-08-11~2025-08-17,2200.0,8.0,20715296.0,74776,-0.4965675057208238,1,2025-11-06
30960,2025-06-17,2025-08-18~2025-08-24,,,20715296.0,74776,-1.0,0,2025-11-06
30960,2025-06-17,2025-08-25~2025-08-31,,,20715296.0,74776,0.0,0,2025-11-06
30960,2025-06-17,2025-09-01~2025-09-07,,,20715296.0,74776,0.0,0,2025-11-06
30960,2025-06-17,2025-09-08~2025-09-14,,,20715296.0,74776,0.0,0,2025-11-06
30960,2025-06-17,2025-09-15~2025-09-21,10240.0,32.0,20725536.0,74808,0.0,1,2025-11-06
30960,2025-06-17,2025-09-22~2025-09-28,32905.0,294.0,20758441.0,75102,2.21337890625,2,2025-11-06
30960,2025-06-17,2025-09-29~2025-10-05,51875.0,445.0,20810316.0,75547,0.5765081294636073,2,2025-11-06
30960,2025-06-17,2025-10-06~2025-10-12,19830.0,168.0,20830146.0,75715,-0.6177349397590362,2,2025-11-06
