gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
31186,2025-07-08,2025-07-07~2025-07-13,39777558.0,131374.0,39777558.0,131374,0.0,95,2025-11-11
31186,2025-07-08,2025-07-14~2025-07-20,27826177.0,93531.0,67603735.0,224905,-0.3004553723483981,95,2025-11-11
31186,2025-07-08,2025-07-21~2025-07-27,10824812.0,39142.0,78428547.0,264047,-0.6109845775795935,95,2025-11-11
31186,2025-07-08,2025-07-28~2025-08-03,5410260.0,19937.0,83838807.0,283984,-0.5001982482467132,95,2025-11-11
31186,2025-07-08,2025-08-04~2025-08-10,2361781.0,8669.0,86200588.0,292653,-0.5634625692665417,88,2025-11-11
31186,2025-07-08,2025-08-11~2025-08-17,1019380.0,3589.0,87219968.0,296242,-0.568385045014758,63,2025-11-11
31186,2025-07-08,2025-08-18~2025-08-24,326157.0,1213.0,87546125.0,297455,-0.6800437520846004,29,2025-11-11
31186,2025-07-08,2025-08-25~2025-08-31,147590.0,576.0,87693715.0,298031,-0.5474878662729912,11,2025-11-11
31186,2025-07-08,2025-09-01~2025-09-07,34940.0,142.0,87728655.0,298173,-0.7632630937055356,4,2025-11-11
31186,2025-07-08,2025-09-08~2025-09-14,29530.0,132.0,87758185.0,298305,-0.15483686319404694,2,2025-11-11
31186,2025-07-08,2025-09-15~2025-09-21,2530.0,10.0,87760715.0,298315,-0.9143244158482898,1,2025-11-11
31186,2025-07-08,2025-09-22~2025-09-28,,,87760715.0,298315,-1.0,0,2025-11-11
31186,2025-07-08,2025-09-29~2025-10-05,40475.0,416.0,87801190.0,298731,0.0,2,2025-11-11
31186,2025-07-08,2025-10-06~2025-10-12,57565.0,621.0,87858755.0,299352,0.4222359481161211,2,2025-11-11
31186,2025-07-08,2025-10-13~2025-10-19,19015.0,203.0,87877770.0,299555,-0.669677755580648,2,2025-11-11
31186,2025-07-08,2025-10-20~2025-10-26,14550.0,153.0,87892320.0,299708,-0.23481462003681305,2,2025-11-11
31186,2025-07-08,2025-10-27~2025-11-02,7275.0,97.0,87899595.0,299805,-0.5,1,2025-11-11
31186,2025-07-08,2025-11-03~2025-11-09,4875.0,65.0,87904470.0,299870,-0.32989690721649484,1,2025-11-11
