gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
31251,2025-07-18,2025-07-14~2025-07-20,1578156.0,6053.0,1578156.0,6053,0.0,82,2025-11-06
31251,2025-07-18,2025-07-21~2025-07-27,1430238.0,5597.0,3008394.0,11650,-0.09372837666238319,82,2025-11-06
31251,2025-07-18,2025-07-28~2025-08-03,753294.0,2937.0,3761688.0,14587,-0.47330863814274265,77,2025-11-06
31251,2025-07-18,2025-08-04~2025-08-10,201884.0,849.0,3963572.0,15436,-0.7319983963764479,33,2025-11-06
31251,2025-07-18,2025-08-11~2025-08-17,48870.0,224.0,4012442.0,15660,-0.7579302966059718,8,2025-11-06
31251,2025-07-18,2025-08-18~2025-08-24,32610.0,149.0,4045052.0,15809,-0.332719459791283,4,2025-11-06
31251,2025-07-18,2025-08-25~2025-08-31,75700.0,318.0,4120752.0,16127,1.321373811714198,4,2025-11-06
31251,2025-07-18,2025-09-01~2025-09-07,6300.0,30.0,4127052.0,16157,-0.916776750330251,1,2025-11-06
31251,2025-07-18,2025-09-08~2025-09-14,,,4127052.0,16157,-1.0,0,2025-11-06
31251,2025-07-18,2025-09-15~2025-09-21,,,4127052.0,16157,0.0,0,2025-11-06
31251,2025-07-18,2025-09-22~2025-09-28,,,4127052.0,16157,0.0,0,2025-11-06
31251,2025-07-18,2025-09-29~2025-10-05,,,4127052.0,16157,0.0,0,2025-11-06
31251,2025-07-18,2025-10-06~2025-10-12,11250.0,150.0,4138302.0,16307,0.0,1,2025-11-06
31251,2025-07-18,2025-10-13~2025-10-19,6000.0,80.0,4144302.0,16387,-0.4666666666666667,1,2025-11-06
31251,2025-07-18,2025-10-20~2025-10-26,5325.0,71.0,4149627.0,16458,-0.1125,1,2025-11-06
31251,2025-07-18,2025-10-27~2025-11-02,825.0,11.0,4150452.0,16469,-0.8450704225352113,1,2025-11-06
