gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
31323,2025-07-27,2025-07-21~2025-07-27,136825.0,494.0,136825.0,494,0.0,6,2025-11-11
31323,2025-07-27,2025-07-28~2025-08-03,409162.0,1554.0,545987.0,2048,1.9904038004750595,19,2025-11-11
31323,2025-07-27,2025-08-04~2025-08-10,490833.0,1908.0,1036820.0,3956,0.19960553521588026,19,2025-11-11
31323,2025-07-27,2025-08-11~2025-08-17,244046.0,982.0,1280866.0,4938,-0.5027921920490268,18,2025-11-11
31323,2025-07-27,2025-08-18~2025-08-24,59047.0,233.0,1339913.0,5171,-0.7580497119395524,8,2025-11-11
31323,2025-07-27,2025-08-25~2025-08-31,76574.0,323.0,1416487.0,5494,0.2968313377478957,4,2025-11-11
31323,2025-07-27,2025-09-01~2025-09-07,8080.0,31.0,1424567.0,5525,-0.8944811554835845,2,2025-11-11
31323,2025-07-27,2025-09-08~2025-09-14,,,1424567.0,5525,-1.0,0,2025-11-11
31323,2025-07-27,2025-09-15~2025-09-21,,,1424567.0,5525,0.0,0,2025-11-11
31323,2025-07-27,2025-09-22~2025-09-28,38334.0,173.0,1462901.0,5698,0.0,2,2025-11-11
