gov_id,official_release_date,week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
31559,2025-08-22,2025-08-18~2025-08-24,3615847.0,13740.0,3615847.0,13740,0.0,83,2025-11-11
31559,2025-08-22,2025-08-25~2025-08-31,3499711.0,13354.0,7115558.0,27094,-0.032118615638327616,83,2025-11-11
31559,2025-08-22,2025-09-01~2025-09-07,952141.0,3584.0,8067699.0,30678,-0.7279372496757589,80,2025-11-11
31559,2025-08-22,2025-09-08~2025-09-14,335401.0,1251.0,8403100.0,31929,-0.6477401981429222,55,2025-11-11
31559,2025-08-22,2025-09-15~2025-09-21,152758.0,575.0,8555858.0,32504,-0.5445511492213798,18,2025-11-11
31559,2025-08-22,2025-09-22~2025-09-28,10350.0,39.0,8566208.0,32543,-0.9322457743620629,3,2025-11-11
31559,2025-08-22,2025-09-29~2025-10-05,5412.0,18.0,8571620.0,32561,-0.4771014492753623,1,2025-11-11
31559,2025-08-22,2025-10-06~2025-10-12,,,8571620.0,32561,-1.0,0,2025-11-11
31559,2025-08-22,2025-10-13~2025-10-19,,,8571620.0,32561,0.0,0,2025-11-11
31559,2025-08-22,2025-10-20~2025-10-26,,,8571620.0,32561,0.0,0,2025-11-11
31559,2025-08-22,2025-10-27~2025-11-02,14775.0,197.0,8586395.0,32758,0.0,1,2025-11-11
31559,2025-08-22,2025-11-03~2025-11-09,15825.0,211.0,8602220.0,32969,0.07106598984771574,1,2025-11-11
