atmovies_id,title_zh,release_date,screen_count,source_url
ften36604188,創：戰神,2025/10/9,93,https://www.atmovies.com.tw/movie/ften36604188/
fmcn39232790,泥娃娃,2025/10/9,89,https://www.atmovies.com.tw/movie/fmcn39232790/
fshk44968738,風林火山,2025/10/9,82,https://www.atmovies.com.tw/movie/fshk44968738/
faen13650700,奇幻導航,2025/10/9,76,https://www.atmovies.com.tw/movie/faen13650700/
fnko41527793,徵人啟弒,2025/10/9,73,https://www.atmovies.com.tw/movie/fnko41527793/
fcen34581826,狼來了,2025/10/9,62,https://www.atmovies.com.tw/movie/fcen34581826/
fpen14197038,鬼吹簫,2025/10/9,52,https://www.atmovies.com.tw/movie/fpen14197038/
fben37510071,碰碰狐和貝貝彬歡唱電影,2025/10/9,43,https://www.atmovies.com.tw/movie/fben37510071/
feen15551346,世界就是這樣結束的,2025/10/9,12,https://www.atmovies.com.tw/movie/feen15551346/
fgde27775137,卡夫卡最後的愛,2025/10/9,12,https://www.atmovies.com.tw/movie/fgde27775137/
fyja91211428,銀魂劇場版 2D 真選組動亂篇,2025/10/9,10,https://www.atmovies.com.tw/movie/fyja91211428/
fmcn47188718,他年她日,2025/10/3,95,https://www.atmovies.com.tw/movie/fmcn47188718/
fcjp30472557,劇場版『鏈鋸人 蕾潔篇』,2025/9/24,92,https://www.atmovies.com.tw/movie/fcjp30472557/
fmtw48244467,96分鐘,2025/9/5,88,https://www.atmovies.com.tw/movie/fmtw48244467/
fdjp32820897,「鬼滅之刃」 猗窩座再襲,2025/8/8,87,https://www.atmovies.com.tw/movie/fdjp32820897/
foen30144839,一戰再戰,2025/9/25,73,https://www.atmovies.com.tw/movie/foen30144839/
fgen32214143,蓋比的娃娃屋大電影,2025/10/3,67,https://www.atmovies.com.tw/movie/fgen32214143/
fmjp32600395,一百公尺。,2025/10/3,62,https://www.atmovies.com.tw/movie/fmjp32600395/
fbtw96355546,突破：三千米的泳氣,2025/10/3,46,https://www.atmovies.com.tw/movie/fbtw96355546/
fjin27433995,夢想巨無霸,2025/10/3,34,https://www.atmovies.com.tw/movie/fjin27433995/
fcen22898462,厲陰宅：最終聖事,2025/9/4,29,https://www.atmovies.com.tw/movie/fcen22898462/
fsen11092020,暗影部隊,2025/10/3,21,https://www.atmovies.com.tw/movie/fsen11092020/
fjjp36956670,劇場版 咒術迴戰 懷玉．玉折,2025/9/5,19,https://www.atmovies.com.tw/movie/fjjp36956670/
fgcn53656183,角頭-鬥陣欸,2025/8/21,12,https://www.atmovies.com.tw/movie/fgcn53656183/
fsjp33256912,電影版 神奇柑仔店 錢天堂,2025/9/26,11,https://www.atmovies.com.tw/movie/fsjp33256912/
fyen00244316,一一,2017/7/28,11,https://www.atmovies.com.tw/movie/fyen00244316/
fmjp36592985,電影版小林家的龍女僕：害怕寂寞的龍,2025/9/12,5,https://www.atmovies.com.tw/movie/fmjp36592985/
ffcn48566873,我家的事,2025/9/12,21,https://www.atmovies.com.tw/movie/ffcn48566873/
ffen16311594,F1電影,2025/6/25,19,https://www.atmovies.com.tw/movie/ffen16311594/
fejp35222590,8號出口,2025/9/19,18,https://www.atmovies.com.tw/movie/fejp35222590/
fren31973693,沒好婚姻,2025/9/26,17,https://www.atmovies.com.tw/movie/fren31973693/
fcjp35009463,電影蠟筆小新：超華麗,2025/8/22,15,https://www.atmovies.com.tw/movie/fcjp35009463/
fecn21718805,河鰻,2025/10/3,13,https://www.atmovies.com.tw/movie/fecn21718805/
ften31184028,永遠在一起,2025/9/26,7,https://www.atmovies.com.tw/movie/ften31184028/
fgjp33829458,陰陽眼見子,2025/10/3,6,https://www.atmovies.com.tw/movie/fgjp33829458/
foen31520900,皇家保姆亞瑟,2025/10/3,5,https://www.atmovies.com.tw/movie/foen31520900/
focn20865078,熱烈,2025/9/26,5,https://www.atmovies.com.tw/movie/focn20865078/
fdde31116299,光,2025/10/3,4,https://www.atmovies.com.tw/movie/fdde31116299/
fpcz10996076,傲嬌公主的奇幻冒險,2025/9/26,3,https://www.atmovies.com.tw/movie/fpcz10996076/
fdjp36551651,龍之心-靈界探訪記,2025/9/12,3,https://www.atmovies.com.tw/movie/fdjp36551651/
fmjp35652414,劇場版 歌之☆王子殿下♪ TABOO NIGHT XXXX,2025/8/8,3,https://www.atmovies.com.tw/movie/fmjp35652414/
fdjp35891502,名偵探柯南：獨眼的殘像,2025/6/25,3,https://www.atmovies.com.tw/movie/fdjp35891502/
ffjp14141970,FISHMANS,2023/4/21,3,https://www.atmovies.com.tw/movie/ffjp14141970/
fren35231528,陌路兄弟,2025/9/26,2,https://www.atmovies.com.tw/movie/fren35231528/
fsen44682810,疾速營救,2025/9/26,2,https://www.atmovies.com.tw/movie/fsen44682810/
flen10374610,大競走,2025/9/12,2,https://www.atmovies.com.tw/movie/flen10374610/
fmcn37093338,進行曲,2025/8/29,2,https://www.atmovies.com.tw/movie/fmcn37093338/
fmen30253473,天作之合,2025/8/29,2,https://www.atmovies.com.tw/movie/fmen30253473/
fscn98058855,我在荒野做了一場夢,2025/8/22,2,https://www.atmovies.com.tw/movie/fscn98058855/
facn99839420,造山者－世紀的賭注,2025/6/13,2,https://www.atmovies.com.tw/movie/facn99839420/
flus43783958,樂來越愛你,2020/4/10,2,https://www.atmovies.com.tw/movie/flus43783958/
ftzh24002218,十年,2016/8/5,2,https://www.atmovies.com.tw/movie/ftzh24002218/
fscn35724819,搗破法蘭克,2025/10/3,1,https://www.atmovies.com.tw/movie/fscn35724819/
ftth36590795,淒厲人師,2025/9/26,1,https://www.atmovies.com.tw/movie/ftth36590795/
fuko33514451,醜得要命,2025/9/26,1,https://www.atmovies.com.tw/movie/fuko33514451/
fpin31434122,血怨,2025/9/26,1,https://www.atmovies.com.tw/movie/fpin31434122/
fsjp34459901,捏造：史上最惡殺人教師,2025/9/19,1,https://www.atmovies.com.tw/movie/fsjp34459901/
fsin33349807,鬼祭,2025/9/19,1,https://www.atmovies.com.tw/movie/fsin33349807/
fajp37529019,小水滴的英雄,2025/9/12,1,https://www.atmovies.com.tw/movie/fajp37529019/
fbjp34388944,致我所愛之人,2025/9/5,1,https://www.atmovies.com.tw/movie/fbjp34388944/
fwen26581740,凶器,2025/8/14,1,https://www.atmovies.com.tw/movie/fwen26581740/
fdjp33512868,大雄的繪畫世界物語,2025/7/18,1,https://www.atmovies.com.tw/movie/fdjp33512868/
faone0411161,阿基拉,2025/6/24,1,https://www.atmovies.com.tw/movie/faone0411161/
ficn28853268,看不見的國家,2025/6/13,1,https://www.atmovies.com.tw/movie/ficn28853268/
fben87181546,復仇芭蕾,2025/6/6,1,https://www.atmovies.com.tw/movie/fben87181546/
fako92197800,ATEEZ演唱會電影,2025/5/9,1,https://www.atmovies.com.tw/movie/fako92197800/
faen19770238,日麗,2023/2/10,1,https://www.atmovies.com.tw/movie/faen19770238/
fben58110652,天黑請斃命,2022/8/19,1,https://www.atmovies.com.tw/movie/fben58110652/
fmen38772262,仲夏魘,2019/7/12,1,https://www.atmovies.com.tw/movie/fmen38772262/
fnjp80408664,無人知曉的夏日清晨,2005/2/4,1,https://www.atmovies.com.tw/movie/fnjp80408664/
