gov_id,gov_title_zh,gov_title_en,region,rating,official_release_date,publisher,film_length,director,actor_list,source_file
13460,仲夏魘,MIDSOMMAR,美國,限制級,2019-07-12,車庫娛樂股份有限公司,146,,,13460_仲夏魘.csv
15103,燃燒女子的畫像,Portrait of A Lady on Fire,法國,輔15級,2019-12-20,東昊影業有限公司,121,瑟琳席安瑪,諾耶米梅蘭特; 阿黛兒艾奈爾; 盧安娜巴拉米; 薇拉莉葛琳諾; Christel Baras; Armande Boulanger; Guy Delamarche; Clement Bouyssou; Michele Clement; Cecile Morel,15103_燃燒女子的畫像.csv
16739,八月三十一日，我在奧斯陸,"Oslo, August 31st",挪威,輔15級,2023-08-29,好威映象有限公司,94,,,16739_八月三十一日，我在奧斯陸.csv
17126,幻愛,Beyond the Dream,香港,輔12級,2020-10-15,光年映畫有限公司,118,周冠威,蔡思韵; 劉俊謙; 潘燦良; 鮑起靜; 張滿源; 黃嵐; 魏綺珊; 駱振偉; 蘇皓兒,17126_幻愛.csv
21389,們,MEN,英國,限制級,2022-05-31,車庫娛樂股份有限公司,100,九把刀,柯震東; 陳妍希; 敖犬; 胡家瑋; 郝劭文; 蔡昌憲; 鄢勝宇; 柯義浤; 王彩樺; 李維維; 邱彥翔; 李鳳新; 段正平; 高麗紅[TW]; 蔡武雄; 許麗娜; 劉雨辰; 陳永晉; 嚴藝文; 賴炳輝; 陳繼平,21389_們.csv
21930,天黑請斃命,BODIES BODIES BODIES,美國,輔15級,2022-08-19,美商台灣索尼影業發行股份有限公司台灣分公司,94,哈琳娜瑞金,雅蔓德拉史坦柏; 瑪麗亞巴卡洛娃; 瑞秋森諾特; 雀絲蘇萬德斯; 彼得戴維森; 麥哈拉哈羅德; 李培斯; Conner O'Malley; Semih Senturk,21930_天黑請斃命.csv
22894,一一 25周年4K數位修復版,YIYI-A ONE AND A TWO,中華民國,保護級,2025-09-19,傳影互動股份有限公司,173,,,22894_一一 25周年4K數位修復版.csv
22894,一一,YIYI-A ONE AND A TWO,中華民國,保護級,2025-10-01,傳影互動股份有限公司,173,,,22894_一一.csv
22962,即使，這份戀情今晚會從世上消失,EVEN IF THIS LOVE DISAPPEARS TONIGHT,日本,普遍級,2022-11-11,車庫娛樂股份有限公司,121,三木孝浩,道枝駿佑; 福本莉子; 古川琴音; 松本穗香; 萩原聖人; 野波麻帆; 水野美紀; 野間口徹; 前田航基; 西垣匠,22962_即使，這份戀情今晚會從世上消失.csv
23322,阿凡達：水之道,AVATAR: THE WAY OF WATER,美國,保護級,2022-12-14,博偉電影股份有限公司,192,詹姆斯卡麥隆,山姆沃辛頓; 柔伊莎達娜; 楊紫瓊; 凱特溫絲蕾; 雪歌妮薇佛; 傑梅奈克萊門特; 奧娜卓別林; 喬凡尼瑞比希; 史帝芬朗; 愛迪法珂; 克里夫柯提斯; 克蘿伊科爾曼; CCH龐德 CCH Pounder; 喬大衛摩爾; 貝里巴斯; 傑米弗拉特斯; 傑克查恩,23322_阿凡達：水之道.csv
23548,日麗,Aftersun,英國,保護級,2023-01-25,東昊影業有限公司,101,Charlotte Wells,保羅梅茲卡爾; Frankie Corio; Celia Rowlson-Hall; Kayleigh Coleman; Sally Messham; Harry Perdios; Ethan Smith; Ruby Thompson; Brooklyn Toulson,23548_日麗.csv
23614,我的鯨魚老爸,THE WHALE,美國,保護級,2023-02-02,車庫娛樂股份有限公司,116,戴倫亞洛諾夫斯基,布蘭登費雪; 莎蒂辛克; 周洪; 泰辛普金斯; 珊曼莎摩頓; Sathya Sridharan; Jacey Sink,23614_我的鯨魚老爸.csv
24046,寶可噩夢,Beau Is Afraid,美國,限制級,2023-04-21,薩摩亞商雄讚股份有限公司台灣分公司,179,亞瑞阿斯特,瓦昆菲尼克斯; 帕可兒波茜; 奈森連恩; 哈莉絲奎爾斯; 艾美萊恩; Richard Kind; 柔伊利斯特瓊斯; Michael Gandolfini; Patti LuPone; Kylie Rogers; 丹尼斯曼努奇; 阿爾緬納哈普蒂安; 史蒂芬亨德森; Julia Antonelli; Theodore Pellerin,24046_寶可噩夢.csv
24086,Fishmans,The Fishmans Movie,日本,普遍級,2023-04-21,造次文化有限公司,172,,,24086_Fishmans.csv
24118,我的幸福婚約,AS LONG AS WE BOTH SHALL LIVE,日本,保護級,2023-05-06,天馬行空數位有限公司,113,,,24118_我的幸福婚約.csv
25044,之前的我們,PAST LIVES,美國,普遍級,2023-07-28,車庫娛樂股份有限公司,105,席琳宋,劉台午; 約翰馬加羅; 葛麗塔李,25044_之前的我們.csv
25045,鬼手鬼手 請開口,Talk to Me,英國,輔15級,2023-08-11,薩摩亞商雄讚股份有限公司台灣分公司,94,麥可菲利浦; 丹尼菲利普,蘇菲魏爾德; 柔伊泰拉克斯; 喬伯德; 克里斯阿洛西奧,25045_鬼手鬼手 請開口.csv
26305,夢行者保羅,DREAM SCENARIO,美國,輔12級,2023-12-04,車庫娛樂股份有限公司,101,克里斯多佛博格利,麥可塞拉; 狄倫貝克; 尼可拉斯凱吉; 茱莉安娜妮克遜,26305_夢行者保羅.csv
26439,鬼才之道,Dead Talents Society,中華民國,輔12級,2024-08-07,牽猴子股份有限公司,110,徐漢強,百白; 陳柏霖; 張榕容; 王淨; 曾威豪; 姚以緹,26439_鬼才之道.csv
26514,紅豬,Porco Rosso,日本,普遍級,2024-01-01,香港商甲上娛樂有限公司台灣分公司,93,宮崎駿,岡村明美; 上條恆彥; 桂三枝; 森山周一郎; 加藤登紀子,26514_紅豬.csv
26625,貓王與我,PRISCILLA,美國,保護級,2024-01-26,車庫娛樂股份有限公司,112,蘇菲亞柯波拉,卡莉史派妮; 雅各艾洛迪,26625_貓王與我.csv
