gov_id,atmovies_id,gov_title_zh,gov_title_en,region,rating,release_date,publisher,film_length,director,actor_list,source_file
13460,fmen38772262,仲夏魘,MIDSOMMAR,美國,限制級,2019-07-12,車庫娛樂股份有限公司,8760,,,13460_仲夏魘_fmen38772262.csv
16264,faone0411161,阿基拉,AKIRA,日本,輔15級,2020-06-24,車庫娛樂股份有限公司,7500,大友克洋,岩田光央; 佐佐木望; 小山茉美; 石田太郎; 大倉正章; 草尾毅; 玄田哲章; 淵崎有里子; 大竹宏; 中村龍彥; 神藤一弘; 北村弘一; 鈴木瑞穗,16264_阿基拉_faone0411161.csv
22894,fyen00244316,一一,YIYI-A ONE AND A TWO,中華民國,保護級,2025-10-01,傳影互動股份有限公司,10380,,,22894_一一_fyen00244316.csv
27106,fecn21718805,河鰻,EEL,中華民國,輔15級,2025-09-25,底噪影像有限公司,6120,朱駿騰,柯泯薰; 潘綱大,27106_河鰻_fecn21718805.csv
27899,fmtw48244467,96分鐘,96 MINUTES,中華民國,輔12級,2025-09-05,華影國際影藝有限公司,7080,洪子烜,林柏宏; 王柏傑; 宋芸樺; 李李仁,27899_96分鐘_fmtw48244467.csv
29378,ffcn48566873,我家的事,Family Matters,中華民國,保護級,2025-09-12,酷映有影工作室有限公司,5880,潘客印,曾敬驊; 高伊玲; 藍葦華; 黃珮琪,29378_我家的事_ffcn48566873.csv
29380,fbcn35332631,失明,Blind Love,中華民國,輔15級,2025-09-11,周子娛樂有限公司,8520,周美豫,王渝萱; 李銘忠; 吳可熙; 林依晨; 劉敬; 李沐,29380_失明_fbcn35332631.csv
29513,fhen28015403,異教詭屋,HERETIC,美國,輔15級,2024-11-29,車庫娛樂股份有限公司,6660,布萊恩伍茲; 史考特貝克,休葛蘭; 蘇菲柴契爾; 克洛伊伊絲特,29513_異教詭屋_fhen28015403.csv
29882,fmcn37093338,進行曲,Marching Boys,中華民國,普遍級,2025-08-29,華映國際文創股份有限公司,7020,姜瑞智,余杰恩; 劉育仁; 黃迪揚; 馬志翔; 李李仁; 牧森,29882_進行曲_fmcn37093338.csv
30008,ficn28853268,看不見的國家,Invisible Nation,中華民國,輔12級,2025-06-13,燕翼企業有限公司,4920,葛靜文,林昶佐; 蔡英文; 南西裴洛西,30008_看不見的國家_ficn28853268.csv
30062,fpen14197038,鬼吹簫,THE PIPER,美國,輔12級,2025-10-09,車庫娛樂股份有限公司,5700,埃林格爾托羅森,朱利安山德斯; 夏綠蒂霍普,30062_鬼吹簫_fpen14197038.csv
30560,fajp33477504,長椅小情歌,AT THE BENCH,日本,普遍級,2025-07-18,光年映畫有限公司,5160,奧山由之,廣瀨鈴; 草彅剛; 吉岡里帆; 仲野太賀; 神木隆之介,30560_長椅小情歌_fajp33477504.csv
30704,facn99839420,造山者－世紀的賭注,A Chip Odyssey,中華民國,普遍級,2025-06-13,視納華仁文化傳播股份有限公司,6300,蕭菊貞,,30704_造山者－世紀的賭注_facn99839420.csv
30809,fdjp35891502,名偵探柯南 獨眼的殘像,Detective Conan The Movie: One-Eyed Flashback,日本,保護級,2025-06-25,普威爾國際股份有限公司,6540,,,30809_名偵探柯南 獨眼的殘像_fdjp35891502.csv
