gov_id,title_zh,title_en,imdb_id,Year,Runtime,Genre,Language,Country,Director,Writer,Actors,Plot,Awards,Poster,imdbRating,imdbVotes,Metascore,source,fetched_at
22894,一一,YIYI-A ONE AND A TWO,tt0244316,2000,173 min,Drama,"Mandarin, Min Nan, Hokkien, English, Japanese, French","Taiwan, Japan",Edward Yang,Edward Yang,"Nien-Jen Wu, Elaine Jin, Issei Ogata","Portrait of a middle-class family in Taipei. A man in his forties, his teenage daughter and his eight-year-old son experience life, navigating between remorse, hope and disappointment.",14 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BNTAyMDQ5Y2MtZDk0NC00N2IyLWE5OTgtZjJkZWNlMDBhMDhlXkEyXkFqcGc@._V1_SX300.jpg,8.1,"31,921",94,omdb,2025-10-13 04:04:05
31037,暗影部隊,SHADOW FORCE,tt11092020,2025,104 min,"Action, Drama, Thriller","English, French, Spanish, German",United States,Joe Carnahan,"Leon Chills, Joe Carnahan","Kerry Washington, Omar Sy, Jahleel Kamara","An estranged couple with a bounty on their heads must go on the run with their son to avoid their former employer, a unit of shadow ops that has been sent to kill them.",N/A,https://m.media-amazon.com/images/M/MV5BMTUyZTUyOTMtOGU5OC00MmM1LTk0NWUtMjNlMTU4ZTkwMDRjXkEyXkFqcGc@._V1_SX300.jpg,4.7,"3,482",27,omdb,2025-10-13 04:04:07
31159,皇家保姆亞瑟,OUT OF THE NEST,tt31520900,2024,84 min,Animation,"English, Thai","Thailand, China","Arturo A. Hernandez, Veerapatra Jinanavin, Jeff Schu","Gillian Berrow, Arturo A. Hernandez",N/A,"In the Kingdom of Castilia, a dark force rises again. Days from the coronation of the new Emperor and Empress, their seven royal fledglings are taken and it's up to one hero to return them safely; a teenage delivery boy, Arthur th...",N/A,https://m.media-amazon.com/images/M/MV5BZmNjMTE5N2YtODg3OS00ZDNlLWE3ZDItZTAzOGZmY2JjOTgyXkEyXkFqcGc@._V1_SX300.jpg,N/A,69,N/A,omdb,2025-10-13 04:04:08
31702,光,The light,tt0388562,2004,105 min,"Drama, Romance",French,France,Philippe Lioret,"Emmanuel Courcol, Claude Faraldo, Gilles Legrand","Sandrine Bonnaire, Philippe Torreton, Grégori Derangère","Camille arrives at the island Ouessant where she was born, to sell the house of her parents. She finds a book of a certain Antoine and starts reading. A story of a stranger is told who came 1963 to the island. He wasn't well received and left again after 2 month.",3 nominations,https://m.media-amazon.com/images/M/MV5BMjI5NDQ4MjkzOV5BMl5BanBnXkFtZTgwNzI5ODkwMzE@._V1_SX300.jpg,7.0,"1,650",N/A,omdb,2025-10-13 04:04:10
31748,卡夫卡最後的愛,The Glory of Life,tt27775137,2024,98 min,"Drama, Romance",German,"Germany, Austria","Judith Kaufmann, Georg Maas","Georg Maas, Michael Gutmann, Michael Kumpfmüller","Henriette Confurius, Sabin Tambrea, Manuel Rubey",The last year in Franz Kafka's life and its surprising love story.,2 nominations,https://m.media-amazon.com/images/M/MV5BYWMzZmIwMmMtZTQyMi00MTM4LTgyNGUtNGRmNDBhMDc3OTI1XkEyXkFqcGc@._V1_SX300.jpg,6.6,308,N/A,omdb,2025-10-13 04:04:12
31776,搗破法蘭克,Smashing Frank,tt35724819,2025,88 min,"Action, Comedy, Drama",Cantonese,Hong Kong,Trevor Choi,Trevor Choi,"Hedwig Tam, Ka-Hei Lam, Ka-Ki Sham","Four young people plan a heist to fight back against rich boomers, only to be caught in a wealthy church's money laundering conspiracy.",N/A,https://m.media-amazon.com/images/M/MV5BZWY1MTM4NGYtNjI5Mi00MTZhLTkwYTQtYThkZGQ4MTYzZDc4XkEyXkFqcGc@._V1_SX300.jpg,N/A,17,N/A,omdb,2025-10-13 04:04:13
31777,奇幻導航,A BIG BOLD BEAUTIFUL JOURNEY,tt13650700,2025,109 min,"Drama, Fantasy, Romance",English,"Ireland, United States",Kogonada,Seth Reiss,"Colin Farrell, Margot Robbie, Phoebe Waller-Bridge","Two strangers who meet at a mutual friend's wedding have the chance to relive important moments from their pasts, illuminating the path that led them to the present and gaining the opportunity to change their futures.",1 nomination total,https://m.media-amazon.com/images/M/MV5BMzMwZWJiYjEtM2RkMi00ZDhjLTk4ZmMtZDQ2NDY2YTJkOTE5XkEyXkFqcGc@._V1_SX300.jpg,6.2,"6,588",43,omdb,2025-10-13 04:04:15
31808,夢想巨無霸,Jumbo,tt27433995,2025,102 min,"Animation, Adventure, Comedy","Indonesian, German",Indonesia,Ryan Adriandhy,"Ryan Adriandhy, Widya Arifianti","Prince Poetiray, Quinn Salman, Yusuf Ozkan","Don, a chubby boy bullied as ""Jumbo"", encounters Meri, a spirit seeking help to reunite with her troubled family's spirits. Their journey unfolds.",N/A,https://m.media-amazon.com/images/M/MV5BOTNlNmI2NzQtNjNkZS00MzZlLTg2MTAtZjZhNjE3ZmQ3NGNhXkEyXkFqcGc@._V1_SX300.jpg,8.1,"3,028",N/A,omdb,2025-10-13 04:04:17
31842,蓋比的娃娃屋大電影,GABBY'S DOLLHOUSE: THE MOVIE,tt32214143,2025,98 min,"Animation, Adventure, Comedy",English,"Canada, United States",Ryan Crego,"Traci Paige Johnson, Jennifer Twomey, Ryan Crego","Laila Lockhart Kraner, Kristen Wiig, Carla Tassara",Gabby and Grandma Gigi's road trip takes an unexpected turn when Gabby's prized dollhouse ends up with eccentric cat lady Vera. Gabby embarks on a adventure to reunite the Gabby Cats and retrieve her beloved dollhouse before it's ...,N/A,https://m.media-amazon.com/images/M/MV5BMmUwNTg3ODMtZGQxZi00Y2VmLWJhMTEtZTc5ZGM1Nzc5MDViXkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,omdb,2025-10-13 04:04:18
31863,他年她日,MEASURE IN LOVE,tt33830021,2025,N/A,"Fantasy, Romance",Mandarin,"Taiwan, Hong Kong",Siu-Ping Kung,N/A,"Greg Han Hsu, Angela Yuen, Jack Tan",Greg Han Hsu and Angela Yuen compose a fantasy love story that transcends time zones and is intertwined with fate.,N/A,https://m.media-amazon.com/images/M/MV5BMWZlZDk5Y2YtYWI1NS00MGY3LWJhOTQtN2RiYTE2MDhkNjg4XkEyXkFqcGc@._V1_SX300.jpg,N/A,N/A,N/A,omdb,2025-10-13 04:04:20
