gov_id,gov_title_zh,gov_title_en,imdb_id,atmovies_id,omdb_title_en,Year,Runtime,Genre,Language,Country,Director,Writer,Actors,Plot,Awards,Poster,imdbRating,imdbVotes,Metascore,source,fetched_at
13460,仲夏魘,MIDSOMMAR,tt8772262,fmen38772262,Midsommar,2019,148 min,"Drama, Horror, Mystery","English, Swedish","United States, Sweden",Ari Aster,Ari Aster,"Florence Pugh, Jack Reynor, Vilhelm Blomgren","Dani (Florence Pugh) and Christian (Jack Reynor) are a young American couple with a relationship on the brink of falling apart. But after a family tragedy keeps them together, Christian invites a grieving Dani to join him and his friends on a trip to a once-in-a-lifetime midsummer festival in a remote Swedish village. What begins as a carefree summer holiday in the North European land of eternal sunlight takes a sinister turn when the insular villagers invite their guests to partake in festivities that render the pastoral paradise increasingly unnerving and viscerally disturbing.",27 wins & 74 nominations total,https://m.media-amazon.com/images/M/MV5BMzQxNzQzOTQwM15BMl5BanBnXkFtZTgwMDQ2NTcwODM@._V1_SX300.jpg,7.1,"457,462",72,omdb,2025-10-13 18:34:13
16264,阿基拉,AKIRA,tt0094625,faone0411161,Akira,1988,124 min,"Animation, Action, Drama",Japanese,Japan,Katsuhiro Ôtomo,"Katsuhiro Ôtomo, Izô Hashimoto","Mitsuo Iwata, Nozomu Sasaki, Mami Koyama","2019. 31 years after being destroyed during World War 3, Tokyo (now 'Neo-Tokyo') has been rebuilt and is a thriving metropolis. Shotaro Kaneda is the leader of a biker gang. His friend Tetsuo is injured in an accident and taken to a top-secret government facility. He develops telekinetic powers but decides to use them for evil rather than good. He has the same powers as Akira, the force that destroyed Tokyo in 1988, and now it appears that history will repeat itself.",1 win total,https://m.media-amazon.com/images/M/MV5BYWUxMGRhZDQtMTBmMi00N2IxLWE5NmYtMDMyMWExODAwNWYzXkEyXkFqcGc@._V1_SX300.jpg,8.0,"220,198",68,omdb,2025-10-13 18:34:15
22894,一一,YIYI-A ONE AND A TWO,tt0244316,fyen00244316,Yi Yi,2000,173 min,Drama,"Mandarin, Min Nan, Hokkien, English, Japanese, French","Taiwan, Japan",Edward Yang,Edward Yang,"Nien-Jen Wu, Elaine Jin, Issei Ogata","Portrait of a middle-class family in Taipei. A man in his forties, his teenage daughter and his eight-year-old son experience life, navigating between remorse, hope and disappointment.",14 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BNTAyMDQ5Y2MtZDk0NC00N2IyLWE5OTgtZjJkZWNlMDBhMDhlXkEyXkFqcGc@._V1_SX300.jpg,8.1,"31,921",94,omdb,2025-10-13 18:34:17
27106,河鰻,EEL,tt2546132,fecn21718805,Eel,2014,80 min,Drama,English,United States,James Kaelan,James Kaelan,"Nathalie Biermanns, Ty Foster, Sina J. Henrie",N/A,1 nomination,https://m.media-amazon.com/images/M/MV5BMTIzYWZiMzktODU1MS00YTQxLThmMDItODZiMzQ5ZmI3YmY3XkEyXkFqcGdeQXVyOTkyOTE4MQ@@._V1_SX300.jpg,6.8,8,N/A,omdb,2025-10-13 18:34:19
27899,96分鐘,96 MINUTES,tt1641385,fmtw48244467,96 Minutes,2011,93 min,"Drama, Thriller",English,United States,Aimee Lagos,Aimee Lagos,"Brittany Snow, Evan Ross, Sharon Conley","Inspired by true events, 96 minutes is the story of four young lives slammed together in one shocking moment. The events of the night in inner city Atlanta, Georgia, unfold in real time as we inter-cut between a carjacking and the beginning of that day, following four separate kids - who they are, where they come from, and the seemingly innocuous decisions that lead them towards a life changing conclusion. With no adults to guide them, they're left on their own to try to survive not only this night, but the complex reality of the world they live in.",7 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMTQxNjQ2ODM5Ml5BMl5BanBnXkFtZTcwMTM3NDk1Nw@@._V1_SX300.jpg,5.7,"3,428",51,omdb,2025-10-13 18:34:21
29378,我家的事,Family Matters,tt0096579,ffcn48566873,Family Matters,1989–1998,30 min,"Adventure, Comedy, Drama",English,United States,N/A,"William Bickley, Robert L. Boyett, Thomas L. Miller","Reginald VelJohnson, Jaleel White, Darius McCrary","The Winslow family is a pretty normal family except for one thing, their neighbor Steve Urkel. A genius and klutz, Steve makes some really weird inventions while driving the Winslows insane and having an unrequited crush on Laura, the Winslow's middle child.",Nominated for 1 Primetime Emmy. 16 wins & 24 nominations total,https://m.media-amazon.com/images/M/MV5BN2YxNmI0NzgtMGM5Yi00YjJmLThjZmEtYTQ3ZTljYTU4MjdiXkEyXkFqcGc@._V1_SX300.jpg,6.6,"31,388",N/A,omdb,2025-10-13 18:34:23
29380,失明,Blind Love,tt1294728,fbcn35332631,Blind Love,2005,64 min,Romance,Japanese,Japan,Daisuke Gotô,Daisuke Gotô,"Konatsu, Shôta Kotaki, Yôta Kawase","In this Cyrano-De-Bergerac-esque comedy of errors, a blind girl falls in love with a ventriloquist by merely being able to hear his voice. However, when she meets him, she mistakes his friend for the ventriloquist. She starts dating the friend without realizing it's the wrong man and not the man she fell for. This bittersweet Japanese film won lots of international praise for its bold performances",1 win,https://m.media-amazon.com/images/M/MV5BMTMwMDU2NjE5OF5BMl5BanBnXkFtZTcwNTQ4Nzg5Mg@@._V1_SX300.jpg,5.4,198,N/A,omdb,2025-10-13 18:34:25
29513,異教詭屋,HERETIC,tt28015403,fhen28015403,Heretic,2024,111 min,"Horror, Thriller",English,"United States, Canada","Scott Beck, Bryan Woods","Scott Beck, Bryan Woods","Hugh Grant, Sophie Thatcher, Chloe East",Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.,Nominated for 1 BAFTA Award4 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BMzFiMWM4YjAtY2Y3Yi00MDIzLTk0N2MtYTAwNGM3ZmMwODhlXkEyXkFqcGc@._V1_SX300.jpg,7.0,"194,544",71,omdb,2025-10-13 18:34:27
29882,進行曲,Marching Boys,no_imdb,fmcn37093338,,,,,,,,,,,,,,,,omdb,2025-10-13 18:34:29
30008,看不見的國家,Invisible Nation,tt28853268,ficn28853268,Invisible Nation,2023,85 min,Documentary,"English, Chinese","United States, Taiwan",Vanessa Hope,N/A,"Chu Chen, Yu-jie Chen, Bi-Khim Hsiao","Taiwan's first female president, Tsai Ing-wen, centers this portrait of the constantly colonized island, as it struggles to preserve its hard-won democracy, autonomy and freedom from fear of authoritarian aggression.",2 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BNWM0NWE0YjctOWFkNS00MzFlLWI2YzgtMzkwNGUyY2YxYjEwXkEyXkFqcGc@._V1_SX300.jpg,7.9,109,N/A,omdb,2025-10-13 18:34:31
30062,鬼吹簫,THE PIPER,tt4718500,fpen14197038,The Piper,2015,119 min,"Horror, Mystery, Thriller",Korean,South Korea,Kwang-tae Kim,Kwang-tae Kim,"Ryu Seung-ryong, Lee Sung-min, Chun Woo-hee","South Korea after the Korean War. A father and also a musician is traveling with his son through the country to find a new home. They arrive at a remote village in the middle of the mountains. Though the people are polite, they seem also afraid of something. The father decides that they stay at night, because he thinks that they are just superstitious. But it turns out that the villagers are afraid because of supernatural and very deadly reason.",1 nomination total,https://m.media-amazon.com/images/M/MV5BNDJlZWU3ZWQtMDEwNi00YjRmLThhNjUtN2U1OTM1ZWNlMzc4XkEyXkFqcGc@._V1_SX300.jpg,6.4,"2,035",N/A,omdb,2025-10-13 16:21:10
30560,長椅小情歌,AT THE BENCH,tt33477504,fajp33477504,At the Bench,2024,86 min,Drama,Japanese,Japan,Yoshiyuki Okayama,N/A,"Yoshiyoshi Arakawa, Suzu Hirose, Mio Imada",A bench at a riverside park is host to a variety of people and their daily lives.,N/A,https://m.media-amazon.com/images/M/MV5BODdiY2Y5N2UtN2Q1NC00YzgxLWIxNjEtODcxYjJjNzk3ZGQ5XkEyXkFqcGc@._V1_SX300.jpg,N/A,12,N/A,omdb,2025-10-13 18:34:33
30704,造山者－世紀的賭注,A Chip Odyssey,no_imdb,facn99839420,,,,,,,,,,,,,,,,omdb,2025-10-13 18:34:35
30809,名偵探柯南 獨眼的殘像,Detective Conan The Movie: One-Eyed Flashback,no_imdb,fdjp35891502,,,,,,,,,,,,,,,,omdb,2025-10-13 18:34:37
30864,世界就是這樣結束的,The End,tt0077504,feen15551346,The End,1978,100 min,"Comedy, Drama",English,United States,Burt Reynolds,Jerry Belson,"Burt Reynolds, Sally Field, Dom DeLuise","Wendell Lawson has only 6 months to live. Not wanting to live his last few months of life waiting for the end, he decides to take his own life. He enlists the help of a humorously delusional mental patient, and the movie chronicles his many unsuccessful attempts to kill himself. Will he ever succeed...?",N/A,https://m.media-amazon.com/images/M/MV5BMjI5MTM3NTMyM15BMl5BanBnXkFtZTcwOTU2NDE0NA@@._V1_SX300.jpg,6.1,"4,561",46,omdb,2025-10-13 16:21:14
30940,捍衛任務：復仇芭蕾,BALLERINA,tt7181546,fben87181546,Ballerina,2025,124 min,"Action, Thriller","English, Russian, Spanish, German","United States, Hungary",Len Wiseman,"Shay Hatten, Derek Kolstad","Ana de Armas, Keanu Reeves, Ian McShane",An assassin trained in the traditions of the Ruska Roma organization sets out to seek revenge after her father's death.,1 win & 3 nominations total,https://m.media-amazon.com/images/M/MV5BNzdhZmY2OTQtYWI4OC00ZThkLTlhZjAtNzE2YzRjM2Q5YjJlXkEyXkFqcGc@._V1_SX300.jpg,6.9,"105,272",59,omdb,2025-10-13 18:34:40
31027,F1電影,F1,tt16311594,ffen16311594,F1: The Movie,2025,155 min,"Action, Drama, Sport","English, Spanish, German, Italian",United States,Joseph Kosinski,"Joseph Kosinski, Ehren Kruger","Brad Pitt, Damson Idris, Javier Bardem",A Formula One driver comes out of retirement to mentor and team up with a younger driver.,7 nominations total,https://m.media-amazon.com/images/M/MV5BZTYwYjJhNzYtY2ZiZS00ZmYxLWJkZjctYjRlNGIxYjI3ZTU0XkEyXkFqcGc@._V1_SX300.jpg,7.8,"208,676",68,omdb,2025-10-13 18:34:42
31037,暗影部隊,SHADOW FORCE,tt11092020,fsen11092020,Shadow Force,2025,104 min,"Action, Drama, Thriller","English, French, Spanish, German",United States,Joe Carnahan,"Leon Chills, Joe Carnahan","Kerry Washington, Omar Sy, Jahleel Kamara","An estranged couple with a bounty on their heads must go on the run with their son to avoid their former employer, a unit of shadow ops that has been sent to kill them.",N/A,https://m.media-amazon.com/images/M/MV5BMTUyZTUyOTMtOGU5OC00MmM1LTk0NWUtMjNlMTU4ZTkwMDRjXkEyXkFqcGc@._V1_SX300.jpg,4.7,"3,482",27,omdb,2025-10-13 18:34:45
31159,皇家保姆亞瑟,OUT OF THE NEST,tt31520900,foen31520900,Out of the Nest,2024,84 min,Animation,"English, Thai","Thailand, China","Arturo A. Hernandez, Veerapatra Jinanavin, Jeff Schu","Gillian Berrow, Arturo A. Hernandez",N/A,"In the Kingdom of Castilia, a dark force rises again. Days from the coronation of the new Emperor and Empress, their seven royal fledglings are taken and it's up to one hero to return them safely; a teenage delivery boy, Arthur th...",N/A,https://m.media-amazon.com/images/M/MV5BZmNjMTE5N2YtODg3OS00ZDNlLWE3ZDItZTAzOGZmY2JjOTgyXkEyXkFqcGc@._V1_SX300.jpg,N/A,69,N/A,omdb,2025-10-13 18:34:47
31190,電影哆啦A夢：大雄的繪畫世界物語,DORAEMON THE MOVIE: NOBITA'S ART WORLD TALES,no_imdb,fdjp33512868,,,,,,,,,,,,,,,,omdb,2025-10-13 18:34:49
31301,我在荒野做了一場夢,Seven Ages of a Man,no_imdb,fscn98058855,,,,,,,,,,,,,,,,omdb,2025-10-13 18:34:50
31355,電影蠟筆小新：超華麗！灼熱的春日部舞者們,CRAYON SHINCHAN THE MOVIE: SUPER HOT! THE SPICY KASUKABE DANCERS,no_imdb,fcjp35009463,,,,,,,,,,,,,,,,omdb,2025-10-13 18:34:53
31364,凶器,WEAPONS,tt26581740,fwen26581740,Weapons,2025,128 min,"Horror, Mystery",English,United States,Zach Cregger,Zach Cregger,"Julia Garner, Josh Brolin, Alden Ehrenreich","When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",1 nomination total,https://m.media-amazon.com/images/M/MV5BNTBhNWJjZWItYzY3NS00M2NkLThmOWYtYTlmNzBmN2UxZWFjXkEyXkFqcGc@._V1_SX300.jpg,7.6,"159,990",81,omdb,2025-10-13 18:34:55
31365,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,Demon Slayer：Kimetsu no Yaiba Infinity Castle,no_imdb,fdjp32820897,,,,,,,,,,,,,,,,omdb,2025-10-13 18:34:57
31402,天作之合,MATERIALISTS,tt30253473,fmen30253473,Materialists,2025,116 min,"Comedy, Romance",English,"United States, Finland, United Kingdom",Celine Song,Celine Song,"Dakota Johnson, Chris Evans, Pedro Pascal",An ambitious young New York City matchmaker finds herself torn between the perfect match and her imperfect ex.,6 nominations total,https://m.media-amazon.com/images/M/MV5BNmQxMTI1YmEtOGY3Yi00NzVlLWEzMjAtYTI1NWZkNDFiMDg1XkEyXkFqcGc@._V1_SX300.jpg,6.3,"60,266",70,omdb,2025-10-13 18:34:59
31474,角頭－鬥陣欸,GATAO: Big Brothers,no_imdb,fgcn53656183,,,,,,,,,,,,,,,,omdb,2025-10-13 18:35:01
31520,龍之心-靈界探訪記-,ドラゴン・ハート-霊界探訪記-,no_imdb,fdjp36551651,,,,,,,,,,,,,,,,omdb,2025-10-13 18:35:03
31523,樂來越愛你,La La Land,tt3783958,flus43783958,La La Land,2016,128 min,"Comedy, Drama, Music","English, Cantonese","United States, Hong Kong",Damien Chazelle,Damien Chazelle,"Ryan Gosling, Emma Stone, Rosemarie DeWitt","Aspiring actress serves lattes to movie stars in between auditions and jazz musician Sebastian scrapes by playing cocktail-party gigs in dingy bars. But as success mounts, they are faced with decisions that fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",Won 6 Oscars. 242 wins & 307 nominations total,https://m.media-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_SX300.jpg,8.0,"735,553",94,omdb,2025-10-13 18:35:05
31541,熱烈,One and Only,tt20865078,focn20865078,One and Only,2023,124 min,"Comedy, Drama, Sport",Mandarin,China,Da Peng,"Da Peng, Biao Su","Huang Bo, Yibo Wang, Mintao Liu","Ding Lei, a street dance veteran, invites a young entertainer to join his club. However, they are faced with a series of challenges.",21 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BY2M1MDRlMTItZDIxNS00YjJlLTg0ZGYtMjg4M2ExNTNiZWMzXkEyXkFqcGc@._V1_SX300.jpg,6.8,"3,189",N/A,omdb,2025-10-13 18:35:07
